Lon,Lat,Value,Name
101.407,29.53,10.9,CP03_Wang
101.47,29.173,12.4,CP05_Wang
101.926,28.326,9.6,CP06_Wang
102.534,28.524,8.6,CP07_Wang
102.596,28.829,9.8,CP08_Wang
102.039,29.226,12.3,CP10_Wang
103.156,29.2,6.9,CP13_Wang
99.89,26.461,3.4,DIAN_Wang
104.311,24.879,6.6,F076_Wang
104.921,26.567,7.9,F080_Wang
104.272,23.353,6.5,F081_Wang
103.933,26.706,7.6,F356_Wang
104.088,26.251,7.8,F357_Wang
104.246,24.24,6.9,F358_Wang
104.529,30.914,6.7,F359_Wang
104.633,28.741,6.5,F360_Wang
104.824,22.951,6.7,F361_Wang
104.934,25.073,7,F362_Wang
105.046,25.739,6.8,F363_Wang
105.034,27.849,6.5,F364_Wang
105.137,31.767,6.4,F365_Wang
105.209,23.756,6.2,F366_Wang
105.412,29.901,5.9,F367_Wang
105.426,24.354,7.3,F368_Wang
104.444,31.802,7.5,H035_Wang
100.728,31.862,12.8,H039_Wang
101.615,31.77,11.6,H040_Wang
104.782,31.486,7.1,H043_Wang
104.187,31.353,7.3,H044_Wang
103.612,31.474,8.8,H045_Wang
102.67,31.85,10.6,H046_Wang
102.096,31.466,11.5,H047_Wang
104.441,31.157,7.6,H048_Wang
103.692,31.06,7.6,H049_Wang
103.145,31.008,8.9,H050_Wang
102.775,30.992,9,H051_Wang
101.163,30.955,13.5,H053_Wang
100.75,31.297,16.3,H054_Wang
100.297,31.646,17.7,H056_Wang
100.241,31.32,19.5,H057_Wang
104.077,30.732,6.5,H058_Wang
103.865,30.692,7.4,H059_Wang
103.41,30.415,7.7,H060_Wang
102.841,30.253,9.1,H061_Wang
100.929,31.143,15.5,H062_Wang
100.307,30.925,18.2,H063_Wang
103.845,30.041,6.2,H064_Wang
101.788,30.074,11.2,H066_Wang
101.486,30.075,14.4,H067_Wang
101.023,30.106,15.7,H068_Wang
99.168,30.094,16,H069_Wang
104.536,30.374,7.5,H071_Wang
102.817,29.789,8,H072_Wang
102.29,29.848,8.6,H073_Wang
101.558,29.846,12.9,H074_Wang
100.39,29.695,15.2,H075_Wang
103.468,29.602,6.9,H076_Wang
102.655,29.348,8.6,H077_Wang
102.08,29.688,11.4,H078_Wang
100.121,29.175,13.5,H080_Wang
103.261,29.228,7.5,H081_Wang
102.439,29.263,11.1,H082_Wang
101.518,28.964,11.6,H083_Wang
103.043,28.847,8.4,H086_Wang
