ÐòºÅ,normalization_mutual_sparseness,log10_nor_mutual_sp
1,4.47E-05,-4.349974185
2,4.47E-05,-4.349974185
3,4.47E-05,-4.349974185
4,4.47E-05,-4.349974185
5,4.47E-05,-4.349974185
6,4.47E-05,-4.349974185
7,4.47E-05,-4.349974185
8,4.47E-05,-4.349974185
9,4.47E-05,-4.349974185
10,4.47E-05,-4.349974185
11,4.47E-05,-4.349974185
12,4.47E-05,-4.349974185
13,4.47E-05,-4.349974185
14,4.47E-05,-4.349974185
15,4.47E-05,-4.349974185
16,4.47E-05,-4.349974185
17,4.47E-05,-4.349974185
18,4.47E-05,-4.349974185
19,4.47E-05,-4.349974185
20,4.47E-05,-4.349974185
21,4.47E-05,-4.349974185
22,4.47E-05,-4.349974185
23,4.47E-05,-4.349974185
24,4.47E-05,-4.349974185
25,4.47E-05,-4.349974185
26,4.47E-05,-4.349974185
27,4.47E-05,-4.349974185
28,4.47E-05,-4.349974185
29,4.47E-05,-4.349974185
30,4.47E-05,-4.349974185
31,4.47E-05,-4.349974185
32,4.47E-05,-4.349974185
33,4.47E-05,-4.349974185
34,4.47E-05,-4.349974185
35,4.47E-05,-4.349974185
36,4.47E-05,-4.349974185
37,4.47E-05,-4.349974185
38,4.47E-05,-4.349974185
39,4.47E-05,-4.349974185
40,4.47E-05,-4.349974185
41,4.47E-05,-4.349974185
42,4.47E-05,-4.349974185
43,4.47E-05,-4.349974185
44,4.47E-05,-4.349974185
45,4.47E-05,-4.349974185
46,4.47E-05,-4.349974185
47,4.47E-05,-4.349974185
48,4.47E-05,-4.349974185
49,4.47E-05,-4.349974185
50,4.47E-05,-4.349974185
51,4.47E-05,-4.349974185
52,4.47E-05,-4.349974185
53,4.47E-05,-4.349974185
54,4.47E-05,-4.349974185
55,4.47E-05,-4.349974185
56,4.47E-05,-4.349974185
57,4.47E-05,-4.349974185
58,4.47E-05,-4.349974185
59,4.47E-05,-4.349974185
60,4.47E-05,-4.349974185
61,4.47E-05,-4.349974185
62,4.47E-05,-4.349974185
63,4.47E-05,-4.349974185
64,4.47E-05,-4.349974185
65,4.47E-05,-4.349974185
66,4.47E-05,-4.349974185
67,4.47E-05,-4.349974185
68,4.47E-05,-4.349974185
69,4.47E-05,-4.349974185
70,4.47E-05,-4.349974185
71,4.47E-05,-4.349974185
72,4.47E-05,-4.349974185
73,4.47E-05,-4.349974185
74,4.47E-05,-4.349974185
75,4.47E-05,-4.349974185
76,4.47E-05,-4.349974185
77,4.47E-05,-4.349974185
78,4.47E-05,-4.349974185
79,4.47E-05,-4.349974185
80,4.47E-05,-4.349974185
81,4.47E-05,-4.349974185
82,4.47E-05,-4.349974185
83,4.47E-05,-4.349974185
84,4.47E-05,-4.349974185
85,4.47E-05,-4.349974185
