ÐòºÅ,self_density,log10_self_sp
1,0.001999898,-2.698992202
2,0.00200159,-2.698624832
3,0.002002809,-2.69836046
4,0.002003645,-2.698179302
5,0.002004903,-2.697906623
6,0.002006207,-2.697624252
7,0.00200652,-2.697556471
8,0.002008107,-2.697213236
9,0.002008152,-2.697203451
10,0.002008588,-2.697109144
11,0.002009093,-2.697000063
12,0.002009892,-2.696827377
13,0.002011012,-2.696585233
14,0.0020112,-2.696544758
15,0.002011603,-2.696457832
16,0.00201196,-2.69638061
17,0.002012063,-2.696358462
18,0.002012641,-2.696233693
19,0.002012703,-2.696220211
20,0.002013705,-2.696004051
21,0.002014172,-2.69590337
22,0.002014625,-2.695805708
23,0.002014782,-2.695771841
24,0.002015423,-2.695633823
25,0.002016253,-2.69545494
26,0.002017292,-2.695231143
27,0.002017351,-2.695218459
28,0.002019135,-2.694834552
29,0.00201935,-2.694788453
30,0.00202034,-2.694575619
31,0.002020419,-2.694558504
32,0.002020829,-2.694470332
33,0.002022038,-2.694210753
34,0.002022347,-2.694144388
35,0.002023628,-2.693869411
36,0.002023796,-2.693833367
37,0.002025513,-2.69346493
38,0.002027079,-2.693129348
39,0.002030119,-2.69247851
40,0.002032001,-2.692076013
41,0.002033485,-2.691759032
42,0.002033858,-2.691679412
43,0.002382285,-2.623006264
44,0.002382616,-2.622945865
45,0.002384487,-2.622605123
46,0.002384872,-2.622534918
47,0.002385201,-2.622475038
48,0.002387748,-2.622011536
49,0.002389558,-2.621682507
50,0.002389937,-2.621613567
51,0.002391124,-2.621397942
52,0.002392038,-2.621231971
53,0.002393567,-2.620954438
54,0.002394271,-2.620826605
55,0.002394475,-2.62078963
56,0.002394884,-2.620715482
57,0.002395175,-2.62066267
58,0.002396636,-2.620397919
59,0.002397249,-2.620286822
60,0.002397251,-2.620286574
61,0.002397575,-2.620227875
62,0.002397815,-2.620184386
63,0.002399928,-2.619801817
64,0.002400133,-2.619764633
65,0.0024002,-2.619752545
66,0.002400418,-2.619713058
67,0.002402405,-2.619353816
68,0.002402737,-2.619293697
69,0.002402834,-2.619276251
70,0.002402917,-2.619261173
71,0.002403381,-2.619177397
72,0.002403476,-2.619160142
73,0.002404175,-2.619034012
74,0.002405038,-2.618877992
75,0.002405599,-2.618776687
76,0.002406267,-2.618656134
77,0.002406395,-2.618633123
78,0.002406812,-2.618557808
79,0.002407253,-2.618478337
80,0.002407442,-2.61844418
81,0.00240783,-2.618374256
82,0.002408415,-2.618268731
83,0.002408906,-2.618180162
84,0.002409199,-2.618127351
85,0.002409445,-2.61808296
86,0.002409644,-2.618047129
87,0.002828744,-2.548406397
88,0.002836867,-2.547161085
89,0.002840389,-2.546622208
90,0.002860728,-2.543523421
91,0.002865593,-2.542785421
92,0.002866208,-2.542692272
93,0.003373901,-2.471867678
