Long,Lat,v1_sp_75_555_111_1021_0__real3,Name
-0.13,-2.28,-1.153175116,name339
0.04,-2.12,-1.302037477,name488
0,-1.88,-0.491564065,name398
-0.26,-2.16,-1.089934707,name709
0.04,-1.55,-0.957275867,name696
-0.22,-1.87,-0.731262565,name865
-0.27,-1.53,-0.271045327,name879
-0.66,-2.49,-0.878642261,name237
-0.91,-2.71,0.705543041,name298
-1.19,-3.09,1.20531702,name944
-0.96,-3.54,0.069896474,name748
-1.24,-3.3,0.689809918,name499
-0.61,-3.13,-0.11375048,name103
-0.39,-3.48,0.489152193,name731
-0.59,-3.77,-1.346446633,name59
-0.24,-3.09,-0.068549238,name632
-0.09,-3.25,1.039888024,name28
0.04,-2.91,0.262431473,name541
0.32,-2.49,-0.576669216,name483
0.49,-1.84,1.174212694,name187
0.35,-1.05,-1.111618996,name651
0.04,-0.83,0.47036916,name536
0.64,-1,-0.452721536,name409
0.56,-1.37,-0.950103879,name584
0.65,-1.59,1.209254265,name767
0.98,-1.4,-0.003615558,name804
0.93,-1.22,0.366864711,name862
0.56,-2.35,1.252412081,name842
0.82,-2.13,1.423732042,name11
0.76,-2.34,1.283791423,name69
0.45,-2.82,-0.445315182,name256
0.28,-3.16,1.27520895,name687
-0.22,-3.76,0.110339254,name592
0.46,-3.29,-0.668455243,name87
0.76,-2.83,-0.090467267,name302
0.8,-2.57,0.373840898,name476
1.15,-2.33,-0.801696777,name202
0.89,-3.26,-0.377572566,name147
0.44,-3.75,-0.14097634,name48
-2.82,-3.27,-0.957675278,name41
1.66,-4.56,-1.262913466,name42
-0.05,-1.04,-1.113321424,name43
0.24,-3.45,-0.963230252,name44
-2.92,1.73,-0.284631222,name45
2.89,-3.2,-1.002266288,name46
4.13,3.71,0.512837887,name47
1.68,2.68,-0.741047263,name48
-4.08,-0.32,0.235484019,name49
3.55,-0.8,-0.58517307,name50
-4.71,4.14,-1.596356034,name51
-2.92,-1.96,-0.888810456,name52
-1.88,-0.3,-0.426082164,name53
2.93,3.44,-0.737288058,name54
-0.91,-3.18,1.013202906,name55
1.23,-1.21,0.026109878,name56
2.65,-4.32,-1.179628491,name57
-1.78,3.74,-0.299739242,name58
-1.08,-4.06,-1.175065517,name59
0.66,0.21,1.679249525,name60
0.06,0.22,-1.05036819,name61
-4.88,0.38,-1.455524683,name62
1.13,-0.01,-0.17944999,name63
2,0.52,-0.392524719,name64
4.36,-3.08,-0.270087004,name65
1.25,-0.88,0.942213237,name66
3.76,-2.94,-0.633866847,name67
1.51,-3.21,-0.217093945,name68
2.62,1.65,0.697695673,name69
3.11,1.04,-0.738743186,name70
-0.56,-4.66,-0.783250988,name71
1.95,4.84,-1.065418482,name72
4.46,-2.58,-0.64322865,name73
3.93,-2.36,-0.494537055,name74
-2.66,2.89,-1.129222631,name75
-4.42,-4.64,-0.705485344,name76
-4.89,-4.12,-1.776093006,name77
3.98,-4.38,-2.56124711,name78
-3.06,-2.32,-0.15944232,name79
-0.57,-2.95,0.314483464,name80
-2.6,-1.76,-0.393571943,name81
1.51,-4.77,-1.366881132,name82
-2.46,-2.87,1.765079975,name83
0.28,4.66,-0.455330342,name84
-4.65,-3.86,-1.045595765,name85
-0.44,-2.61,-1.053586125,name86
4.28,-2.78,-0.660072207,name87
0,1.52,2.073593378,name88
1.4,4.43,0.574540675,name89
-2.55,3.79,-0.467087597,name90
4.52,-3.75,-0.976458371,name91
0.37,-4.31,-2.193270683,name92
-4.92,-4.6,-1.505461693,name93
4.08,2.49,-0.404456228,name94
-4.86,4.56,-0.777746558,name95
-2.92,-0.98,-2.579626799,name96
-3.91,2.01,0.700187743,name97
4.12,0.14,-1.09145093,name98
2.46,0.1,0.205378711,name99
-4.43,-4.07,-1.564151883,name100
-1.19,1.02,0.554633915,name101
-2.16,3.95,-0.289102823,name102
-1.02,-4.44,-0.74091512,name103
-3.09,-3.12,-1.400200129,name104
1.5,-4.36,-1.048041224,name105
-2.77,-3.47,-2.722396374,name106
4.68,-1.17,-0.496253848,name107
0.76,-4.64,-3.026473045,name108
-3.59,-4.21,-0.486377269,name109
4.4,3.18,-1.363472104,name110
-2.3,-3.18,-0.485619426,name111
1.36,3.48,0.42835924,name112
1.27,-2.65,-0.698274791,name113
-4.92,-2.46,0.285573751,name114
2.2,3.41,-1.231384397,name115
1.47,-2.55,-1.433059573,name116
4.68,-2.92,-0.713282943,name117
-4.57,2.75,-0.638264716,name118
-3.1,-1.99,-0.728675067,name119
4.46,2.81,-2.37511158,name120
3.91,3.95,0.559671044,name121
-1.98,-3.13,0.267626822,name122
3.94,3.36,0.05349103,name123
-2.38,3.69,1.180116773,name124
2.99,2.34,-1.818523884,name125
4.13,-0.85,-1.000604749,name126
-2.81,-0.29,-0.898374259,name127
1.51,1.41,-1.991205573,name128
-0.81,2.56,-0.377744585,name129
0.61,4.08,-0.251657456,name130
-4,-2.25,0.197963357,name131
1.96,-1.35,-1.803955078,name132
3.12,2.74,-1.467549562,name133
4.45,-4.53,-0.445528716,name134
1.21,0.49,-1.611516476,name135
1.76,4.04,0.227836534,name136
-4.75,2.07,-0.58330673,name137
4.83,4.86,0.734269738,name138
1.11,-1.07,-0.29618305,name139
-3.22,0.63,-1.744505405,name140
-4.65,-2.1,-0.632392883,name141
-3.26,-2.6,0.685886025,name142
-2.49,2.16,-2.365648031,name143
0.96,0.17,1.123349786,name144
1.2,-4.75,-2.242322922,name145
-2.91,-2.8,-0.18428804,name146
-0.47,-2.32,-0.746469438,name147
-2.44,3.06,-0.662791967,name148
3.25,-4.37,-1.982138753,name149
-1.74,-3.05,0.441031635,name150
0.81,-0.7,-0.495316356,name151
2.5,1.41,1.539116979,name152
-0.07,-4.75,-0.688215792,name153
1.44,0.7,-1.869664073,name154
1.26,-1.73,-0.491532624,name155
-3.12,4.84,-0.390008807,name156
4.57,1.89,-0.183683172,name157
3.98,-2.75,-0.724356294,name158
-3.91,-1.78,-0.278311431,name159
-0.71,-1.41,0.216679975,name160
1.79,3.29,-0.62010479,name161
-4.2,-1.99,-0.38180086,name162
-4.28,0.97,-0.235313714,name163
3.81,0.17,0.222608507,name164
-2.32,0.38,-0.228525445,name165
0.1,-1.37,-0.652807415,name166
-4.72,0.09,-1.239637852,name167
2.82,0.16,0.157200694,name168
-2.65,1.91,-1.030497909,name169
2.94,4.88,0.150154337,name170
-2.26,2.35,-2.708734274,name171
1.87,2.08,0.801069558,name172
0.22,1.26,0.632619858,name173
-2.59,-0.55,-1.283553839,name174
-2.33,-0.72,0.844860911,name175
-0.07,-0.12,-0.661310673,name176
3.39,-0.53,-1.352065921,name177
-4.51,1.2,-0.620931745,name178
0.44,3.64,1.801600456,name179
3.95,1.63,-0.24016811,name180
2.81,1.64,-0.290226758,name181
-0.23,1.29,1.59176147,name182
1.93,-4.15,-1.483474493,name183
-4.25,-0.05,-1.037918687,name184
-1.18,-1,-0.710001528,name185
-4.23,4.06,-0.215823844,name186
-4.55,3.02,-0.871419072,name187
1.74,-3.69,-2.295210361,name188
-4.83,-4.97,-1.239476562,name189
4.85,4.47,2.056123018,name190
-1.39,0.78,-0.873946488,name191
-3.34,1.05,-2.553477287,name192
0.56,2.87,0.861456752,name193
-4.94,3.64,-1.749431491,name194
4.27,0.37,0.080574125,name195
0.22,-3.66,-0.375811636,name196
1.43,-3.55,-0.415513963,name197
2.42,-0.3,0.901191831,name198
-0.91,2.26,-0.517947316,name199
-4.16,2.44,-0.499415606,name200
-3.79,-1.53,0.027850991,name201
-1.91,-4.42,-1.010539532,name202
-4.09,-0.83,0.620400071,name203
1.39,1.28,-2.957772017,name204
2.76,-1.22,-1.275703788,name205
3.76,-1.7,0.665868104,name206
-0.49,1.25,0.598806143,name207
-1.93,-1.68,-0.41490373,name208
-1.15,2.9,-1.089286089,name209
-1.6,3.48,-1.860998034,name210
-2,2.25,-1.771499634,name211
4.99,-0.44,-0.520101309,name212
2.31,-0.05,0.479304165,name213
3.91,-3.22,0.490590245,name214
-0.15,3.19,0.845977962,name215
-0.91,2.96,-0.697012067,name216
-1.62,-1.76,-0.877625585,name217
0.67,-2.03,1.210802197,name218
-1.47,2.57,1.024649978,name219
-4.41,1.38,-0.008546066,name220
2.79,4.25,-0.502669096,name221
2.41,4.83,-1.366760254,name222
1.44,1.76,-1.672957659,name223
-4.33,-0.26,-0.955000103,name224
3.54,-3.9,-2.614894867,name225
-1.12,4.72,-0.401692808,name226
0.39,-4.6,-1.827464342,name227
-3.72,2.11,0.59372282,name228
0.29,-0.05,-0.060515057,name229
0.55,2.52,-0.721994698,name230
3.19,-1.45,-0.95086664,name231
1.84,0.01,1.25718832,name232
1.1,1.56,-2.488076687,name233
-3.97,2.59,-0.267316252,name234
1.88,2.92,-1.382778645,name235
-1.33,-4.84,0.063909322,name236
-1.72,1.28,-0.149731889,name237
3.39,3.32,0.561851144,name238
-4.17,-3.36,0.583096206,name239
-4.37,3.09,0.249304518,name240
