Long,Lat,Value,v1_sp_75_555_111_1021_0__real3,abs-Resiual,SQ-Residual,R_error
-5,-5,-1.015779184,-0.318902969,0.696876215,0.485636459,2.185229625
-4.9,-5,-1.147865207,-1.00916028,0.138704927,0.019239057,0.137445884
-4.8,-5,-1.195564784,-1.113017082,0.082547702,0.006814123,0.07416571
-4.7,-5,-0.977581632,-1.034934998,0.057353366,0.003289409,0.05541736
-4.6,-5,-0.872887649,-0.99938637,0.126498721,0.016001926,0.126576392
-4.5,-5,-0.801229805,-0.446570516,0.354659289,0.125783211,0.794184292
-4.4,-5,-0.723774003,-0.629801989,0.093972014,0.008830739,0.149208824
-4.3,-5,-0.634727225,0.304832697,0.939559922,0.882772848,3.082215036
-4.2,-5,-0.528337863,0.349833101,0.878170964,0.771184242,2.510256923
-4.1,-5,-0.390821172,-0.379218996,0.011602176,0.00013461,0.030594922
-4,-5,-0.153092703,-0.300092429,0.146999726,0.02160892,0.489848167
-3.9,-5,-0.326277551,0.028008606,0.354286157,0.125518681,12.64918923
-3.8,-5,-0.545796246,-0.275031805,0.270764441,0.073313382,0.984484106
-3.7,-5,-0.613645532,-0.92047596,0.306830428,0.094144912,0.333338883
-3.6,-5,-0.612605067,-0.73937571,0.126770643,0.016070796,0.171456327
-3.5,-5,-0.562711235,0.310492277,0.873203512,0.762484374,2.812319587
-3.4,-5,-0.428562415,-0.03262179,0.395940625,0.156768978,12.1373053
-3.3,-5,-0.097535108,0.6378299,0.735365008,0.540761695,1.152917114
-3.2,-5,0.440019514,0.808814287,0.368794773,0.136009585,0.455969657
-3.1,-5,0.045355212,0.379295409,0.333940197,0.111516055,0.880422461
-3,-5,-0.481607148,0.212123826,0.693730974,0.481262664,3.270405721
-2.9,-5,-0.650010208,-0.064487994,0.585522214,0.342836263,9.079553844
-2.8,-5,-0.743446412,-0.711343646,0.032102766,0.001030588,0.045129757
-2.7,-5,-0.64616236,-0.539061904,0.107100456,0.011470508,0.198679326
-2.6,-5,-0.388169533,-0.117075056,0.271094477,0.073492216,2.315561372
-2.5,-5,-0.159840485,0.139668956,0.299509441,0.089705905,2.144423853
-2.4,-5,-0.011584192,0.401740134,0.413324326,0.170836999,1.028835038
