 Name            Lon(deg)        Lat(deg)        Elev(m) 
name9          -1.7043143111    -2.8615517772   7.547     
name15         -1.7492186384    -2.9657747799   0.945     
name27         -1.7532774646    -2.9657747799   0.945     
name30         -1.9580595794    -3.2127970724   4.245     
name34         -1.8459451438    -3.0630708382   7.659     
name66         -1.7007085167    -2.8615517772   7.547     
name70         -1.8427513733    -3.0630708382   7.659     
name75         -2.7163807960    -3.9057613478   3.813     
name83         -1.6737035726    -2.7841602735   1.018     
name101        -2.2336667109    -3.5229606215   1.648     
name121        -1.6316730449    -2.7785090387   9.053     
name133        -1.6248111172    -2.7785090387   9.053     
name142        -1.6335528280    -2.9527256174   1.256     
name146        -2.7168282223    -3.9057613478   3.813     
name150        -1.6334559709    -2.9527256174   1.256     
name160        -1.6791067908    -2.7841602735   1.018     
name186        -2.2342056184    -3.5229606215   1.648     
name189        -1.9576750537    -3.2127970724   4.245     
