Long	Lat	Value	true-Value	abs-Resiual	SQ-Residual	R_error
-50	-50	69.55826548	71.71067812	2.152412635	4.63288015	0.030015232
-46	-50	67.5374721	68.94115101	1.403678905	1.970314468	0.020360538
-42	-50	65.47644164	66.29931087	0.822869228	0.677113766	0.01241143
-38	-50	63.13587019	63.80127387	0.665403679	0.442762056	0.010429317
-34	-50	61.50540866	61.46486583	0.040542826	0.001643721	0.00065961
-30	-50	61.10863978	59.30951895	1.799120836	3.236835783	0.030334436
-26	-50	61.24840825	57.35601121	3.892397033	15.15075466	0.067863803
-22	-50	60.14269585	55.62600113	4.516694717	20.40053116	0.081197545
-18	-50	57.61608039	54.14132102	3.474759365	12.07395265	0.064179434
-14	-50	54.06214465	52.92301994	1.13912471	1.297605104	0.021524182
-10	-50	51.19578063	51.99019514	0.794414504	0.631094404	0.015280083
-6	-50	50.0532918	51.35871325	1.30542145	1.704125162	0.025417721
-2	-50	49.55400926	51.03998401	1.485974753	2.208120967	0.029113935
2	-50	48.79092481	51.03998401	2.249059201	5.058267287	0.044064653
6	-50	48.59274947	51.35871325	2.765963783	7.650555647	0.053855784
10	-50	49.99145018	51.99019514	1.998744959	3.994981411	0.038444652
14	-50	52.12074414	52.92301994	0.802275806	0.643646469	0.015159298
18	-50	53.63310888	54.14132102	0.508212145	0.258279584	0.00938677
22	-50	55.42836039	55.62600113	0.197640741	0.039061863	0.003553028
26	-50	57.43781814	57.35601121	0.081806922	0.006692373	0.001426301
30	-50	59.19453461	59.30951895	0.114984337	0.013221398	0.001938716
34	-50	60.78404346	61.46486583	0.680822375	0.463519106	0.01107661
38	-50	62.01924479	63.80127387	1.782029087	3.175627667	0.027930933
42	-50	63.45931458	66.29931087	2.839996286	8.065578902	0.042835985
46	-50	65.03636614	68.94115101	3.904784869	15.24734487	0.056639392
50	-50	65.95932011	71.71067812	5.751358007	33.07811892	0.080202254
-50	-46	67.25697781	68.94115101	1.684173193	2.836439345	0.024429142
-46	-46	65.54170862	66.05382387	0.512115247	0.262262026	0.007752999
-42	-46	63.06391938	63.28964601	0.225726633	0.050952513	0.003566565
-38	-46	59.88299758	60.66573556	0.782737981	0.612678747	0.012902472
-34	-46	57.52612337	58.20139858	0.675275215	0.455996617	0.011602388
-30	-46	57.56160608	55.91812087	1.643485206	2.701043622	0.029390923
-26	-46	58.54131818	53.83937925	4.701938924	22.10822965	0.087332711
-22	-46	57.5548068	51.99019514	5.564611669	30.96490303	0.107031944
-18	-46	54.02195845	50.39635614	3.625602305	13.14499207	0.071941755
-14	-46	49.91807217	49.08326112	0.834811046	0.696909483	0.01700806
-10	-46	46.67855762	48.07440918	1.395851565	1.948401592	0.029035231
-6	-46	46.9143907	47.38965402	0.475263316	0.22587522	0.010028841
-2	-46	46.21313839	47.04345773	0.830319344	0.689430213	0.017650049
2	-46	44.99421235	47.04345773	2.049245383	4.199406639	0.043560688
6	-46	44.45236404	47.38965402	2.937289979	8.627672423	0.061981672
10	-46	46.28566182	48.07440918	1.788747362	3.199617126	0.037207891
14	-46	48.88112613	49.08326112	0.202134986	0.040858552	0.004118206
18	-46	50.69307827	50.39635614	0.296722132	0.088044023	0.00588777
22	-46	49.89624161	51.99019514	2.093953524	4.384641363	0.040275931
26	-46	52.28866035	53.83937925	1.550718901	2.40472911	0.028802689
30	-46	56.21133063	55.91812087	0.293209755	0.085971961	0.005243555
34	-46	59.00057319	58.20139858	0.79917461	0.638680057	0.013731193
38	-46	60.19179716	60.66573556	0.473938397	0.224617604	0.007812291
42	-46	61.84661962	63.28964601	1.443026386	2.08232515	0.022800355
