Long,Lat,Value,true-Value,abs-Resiual,SQ-Residual,R_error
-50,-50,69.87973238,71.71067812,1.830945741,3.352362306,0.0255324
-46,-50,68.05798549,68.94115101,0.883165514,0.779981326,0.012810426
-42,-50,65.88473334,66.29931087,0.41457753,0.171874529,0.00625312
-38,-50,63.51701349,63.80127387,0.28426038,0.080803964,0.004455403
-34,-50,61.30402037,61.46486583,0.160845465,0.025871263,0.002616868
-30,-50,59.36637786,59.30951895,0.056858916,0.003232936,0.000958681
-26,-50,57.84548099,57.35601121,0.489469778,0.239580663,0.008533888
-22,-50,56.98247172,55.62600113,1.356470589,1.840012459,0.024385549
-18,-50,56.4841266,54.14132102,2.342805576,5.488737965,0.043272043
-14,-50,54.56406468,52.92301994,1.641044739,2.693027837,0.031008146
-10,-50,52.12198898,51.99019514,0.131793848,0.017369618,0.002534975
-6,-50,50.76904956,51.35871325,0.589663691,0.347703269,0.011481279
-2,-50,49.92975697,51.03998401,1.110227043,1.232604087,0.021752104
2,-50,49.08553867,51.03998401,1.954445341,3.819856592,0.038292436
6,-50,48.66016608,51.35871325,2.698547167,7.282156814,0.052543123
10,-50,49.9386194,51.99019514,2.051575739,4.208963014,0.03946082
14,-50,51.93045645,52.92301994,0.992563497,0.985182296,0.018754854
18,-50,53.36145794,54.14132102,0.779863086,0.608186433,0.014404212
22,-50,55.12875687,55.62600113,0.497244263,0.247251857,0.008939062
26,-50,57.25291263,57.35601121,0.103098585,0.010629318,0.00179752
30,-50,59.17911093,59.30951895,0.13040802,0.017006252,0.00219877
34,-50,60.82605932,61.46486583,0.638806511,0.408073758,0.010393035
38,-50,62.10546454,63.80127387,1.695809335,2.875769299,0.026579553
42,-50,63.51529597,66.29931087,2.784014894,7.750738933,0.041991611
46,-50,65.01336945,68.94115101,3.927781555,15.42746794,0.056972962
50,-50,65.91498466,71.71067812,5.795693463,33.59006272,0.080820508
-50,-46,67.56907891,68.94115101,1.372072098,1.882581843,0.019902077
-46,-46,65.64466833,66.05382387,0.409155536,0.167408253,0.006194275
-42,-46,63.13199627,63.28964601,0.157649744,0.024853442,0.002490925
-38,-46,60.14426498,60.66573556,0.521470581,0.271931567,0.008595801
-34,-46,57.51735513,58.20139858,0.684043454,0.467915448,0.011753042
-30,-46,55.10070281,55.91812087,0.817418063,0.668172289,0.014618125
-26,-46,53.06478471,53.83937925,0.774594549,0.599996715,0.014387137
-22,-46,51.88578492,51.99019514,0.104410212,0.010901492,0.002008267
-18,-46,51.27727406,50.39635614,0.880917915,0.776016373,0.017479794
-14,-46,49.54167347,49.08326112,0.458412352,0.210141884,0.009339484
-10,-46,47.27266666,48.07440918,0.801742519,0.642791066,0.016677116
-6,-46,47.37521056,47.38965402,0.014443455,0.000208613,0.000304781
-2,-46,46.49846375,47.04345773,0.544993984,0.297018443,0.011584905
2,-46,45.11041663,47.04345773,1.933041105,3.736647915,0.041090541
6,-46,44.56255865,47.38965402,2.827095367,7.992468212,0.059656383
10,-46,46.25736344,48.07440918,1.817045741,3.301655225,0.037796528
14,-46,48.69829069,49.08326112,0.384970433,0.148202235,0.007843212
18,-46,50.47742302,50.39635614,0.081066875,0.006571838,0.001608586
22,-46,49.96923567,51.99019514,2.020959464,4.084277154,0.038871935
26,-46,52.35376676,53.83937925,1.485612492,2.207044477,0.027593418
30,-46,56.23877253,55.91812087,0.320651656,0.102817484,0.005734307
34,-46,59.00787903,58.20139858,0.806480449,0.650410714,0.013856719
38,-46,60.28023793,60.66573556,0.385497627,0.14860842,0.006354454
42,-46,61.90433015,63.28964601,1.385315855,1.919100017,0.021888507
46,-46,62.96393127,66.05382387,3.089892597,9.547436259,0.046778406
50,-46,63.59347063,68.94115101,5.347680379,28.59768543,0.077568771
-50,-42,64.80086792,66.29931087,1.498442951,2.245331276,0.022601184
-46,-42,62.74430284,63.28964601,0.545343172,0.297399175,0.008616625
-42,-42,59.77636239,60.39696962,0.620607227,0.38515333,0.01027547
-38,-42,56.3578526,57.63920903,1.281356439,1.641874324,0.022230639
-34,-42,53.55791952,55.03702434,1.479104827,2.187751091,0.026874724
-30,-42,50.72658137,52.6139516,1.887370228,3.562166378,0.035872049
-26,-42,47.79597072,50.39635614,2.600385426,6.762004363,0.051598679
-22,-42,46.00635802,48.41307836,2.406720345,5.79230282,0.049712194
-18,-42,45.48322497,46.69463864,1.211413667,1.467523072,0.025943314
-14,-42,45.01111978,45.27188724,0.260767464,0.06799967,0.005760031
-10,-42,45.1635902,44.17406629,0.989523915,0.979157578,0.022400562
-6,-42,45.28335416,43.42640687,1.856947284,3.448253217,0.042760786
-2,-42,43.41791562,43.04759208,0.370323533,0.137139519,0.008602654
