Lon,Lat,Value,Name,min_distance,sum_min_distance,normalization_mutual_sparseness,self_mean_distance,self_density,Long1,Lat1,Value1,Name1,dDist,dV,dV_dDist,log10_nor_mutual_sp,log10_self_sp
100.307,30.925,18.2,H063_Wang,0.0171172427686226,93.0368639540598,0.000183983445283311,4.63575128516625,0.00369244200468549,100.309,30.942,17.6,Y270_Wang,0.0171172427686226,0.599999999999998,35.0523742702213,-3.73522125278153,-2.43268631720569
104.536,30.374,7.5,H071_Wang,0.0174928556845366,93.0368639540598,0.000188020693530408,4.47847834399126,0.00390598197443706,104.545,30.389,7.5,JYAN_Wang,0.0174928556845366,0.0867593941114322,4.95970444597713,-3.72579434971775,-2.4082697652521
102.655,29.348,8.6,H077_Wang,0.0230217288664389,93.0368639540598,0.000247447386853094,3.26549551018595,0.00704999556564324,102.632,29.349,10,HANY_Wang,0.0230217288664389,1.4,60.8121139868398,-3.60651712815824,-2.15181115617417
103.121,28.312,6.9,H089_Wang,0.0264196896272481,93.0368639540598,0.00028397012221192,3.00994941870849,0.00877745302397285,103.134,28.335,8.9,MEIG_Wang,0.0264196896272481,2,75.7011164104399,-3.54672735164694,-2.05663148615586
103.166,26.105,7.4,H120_Wang,0.0152970585407789,93.0368639540598,0.000164419326820091,3.09261049933221,0.00494632561846442,103.181,26.108,8.2,YNDC_Wang,0.0152970585407789,0.799999999999999,52.297636036847,-3.78404713425347,-2.30571729726556
100.876,24.417,1.5,H153_Wang,0.0206155281280868,93.0368639540598,0.000221584512331224,4.03228091115275,0.00511262200782366,100.881,24.437,2.7,YNJD_Wang,0.0206155281280868,1.2,58.2085500087242,-3.65446059793344,-2.29135631483941
102.496,23.719,4.4,H156_Wang,0.0158113883008455,93.0368639540598,0.000169947563028919,4.22528605908115,0.00374208706339847,102.501,23.704,4.2,HB07_Wang,0.0158113883008455,0.2,12.6491106406707,-3.76968505862244,-2.42688611242295
101.685,23.434,3.6,H158_Wang,0.0205912602819771,93.0368639540598,0.000221323671143352,4.5059432037577,0.00456980022846385,101.675,23.416,4.4,YNMJ_Wang,0.0205912602819771,0.8,38.8514344942848,-3.65497213466213,-2.34010278495688
103.222,22.771,7.2,H173_Wang,0.0180277563773233,93.0368639540598,0.000193770034921051,5.05532179512156,0.0035660947231332,103.232,22.786,8,YNJP_Wang,0.0180277563773233,0.8,44.3760156980102,-3.71271338246904,-2.44780712521347
98.599,29.671,16.3,H186_Wang,0.0203960780543717,93.0368639540598,0.000219225769093453,4.98382218071704,0.00409245701688282,98.595,29.691,16.8,MKZ1_Wang,0.0203960780543717,0.5,24.5145168922724,-3.65910839764518,-2.38801587329138
102.501,23.704,4.2,HB07_Wang,0.0158113883008455,93.0368639540598,0.000169947563028919,4.23666292256534,0.00373203830227578,102.496,23.719,4.4,H156_Wang,0.0158113883008455,0.2,12.6491106406707,-3.76968505862244,-2.42805390769573
100.309,30.942,17.6,Y270_Wang,0.0171172427686226,93.0368639540598,0.000183983445283311,4.64635664569092,0.00368401396489814,100.307,30.925,18.2,H063_Wang,0.0171172427686226,0.599999999999998,35.0523742702213,-3.73522125278153,-2.43367873220301
100.237,29.986,15.5,Y274_Wang,0.019924858845163,93.0368639540598,0.000214160903521013,4.10918110309802,0.00484886364101623,100.218,29.992,17,SCLT_Wang,0.019924858845163,1.5,75.2828419843056,-3.66925980957718,-2.31436002887414
100.218,29.992,17,SCLT_Wang,0.019924858845163,93.0368639540598,0.000214160903521013,4.12155790802743,0.00483430277816938,100.237,29.986,15.5,Y274_Wang,0.019924858845163,1.5,75.2828419843056,-3.66925980957718,-2.31566615269331
103.181,26.108,8.2,YNDC_Wang,0.0152970585407789,93.0368639540598,0.000164419326820091,3.09599318357276,0.0049409212597575,103.166,26.105,7.4,H120_Wang,0.0152970585407789,0.799999999999999,52.297636036847,-3.78404713425347,-2.3061920671236
100.881,24.437,2.7,YNJD_Wang,0.0206155281280868,93.0368639540598,0.000221584512331224,4.01783208856263,0.00513100788526529,100.876,24.417,1.5,H153_Wang,0.0206155281280868,1.2,58.2085500087242,-3.65446059793344,-2.28979731792607
103.232,22.786,8,YNJP_Wang,0.0180277563773233,93.0368639540598,0.000193770034921051,5.04493847141106,0.00357343434007847,103.222,22.771,7.2,H173_Wang,0.0180277563773233,0.8,44.3760156980102,-3.71271338246904,-2.4469141934155
101.675,23.416,4.4,YNMJ_Wang,0.0205912602819771,93.0368639540598,0.000221323671143352,4.52191666532957,0.00455365762041887,101.685,23.434,3.6,H158_Wang,0.0205912602819771,0.8,38.8514344942848,-3.65497213466213,-2.34163962614789
104.545,30.389,7.5,JYAN_Wang,0.0174928556845366,93.0368639540598,0.000188020693530408,4.49200997856474,0.00389421567806174,104.536,30.374,7.5,H071_Wang,0.0174928556845366,0.0136937112504923,0.7828173682698,-3.72579434971775,-2.40957999909278
102.632,29.349,10,HANY_Wang,0.0230217288664389,93.0368639540598,0.000247447386853094,3.26321733114351,0.00705491744197482,102.655,29.348,8.6,H077_Wang,0.0230217288664389,1.4,60.8121139868398,-3.60651712815824,-2.15150806407895
103.134,28.335,8.9,MEIG_Wang,0.0264196896272481,93.0368639540598,0.00028397012221192,3.01872494385358,0.00875193670130205,103.121,28.312,6.9,H089_Wang,0.0264196896272481,2,75.7011164104399,-3.54672735164694,-2.0578958320498
98.595,29.691,16.8,MKZ1_Wang,0.0203960780543717,93.0368639540598,0.000219225769093453,4.99468697081541,0.00408355482006151,98.599,29.671,16.3,H186_Wang,0.0203960780543717,0.5,24.5145168922724,-3.65910839764518,-2.38896160980968
102.051,29.731,14.09,ZD15_Zhuy,0.0518652099195601,93.0368639540598,0.000557469455818828,3.43885749984653,0.0150821050078041,102.08,29.688,11.4,H078_Wang,0.0518652099195601,2.69,51.8652099195595,-3.25377892295735,-1.82153803980087
103.8496,31.6712,10.076,GSTS_Wuww,0.019002368273446,93.0368639540598,0.000204245580362953,5.0743928828414,0.00374475700092139,103.8306,31.6709,10.413,H025_Wuww,0.019002368273446,0.337,17.7346315548955,-3.68984733232186,-2.42657635862751
