Long,Lat,v1_sp_75_555_111_1021_0__real3,Name,min_distance,sum_min_distance,normalization_mutual_sparseness,self_mean_distance,self_density,Long1,Lat1,Value1,Name1,dDist,dV,dV_dDist,log10_nor_mutual_sp,log10_self_sp
-0.25,-2.45,-2.379865646,name809,0.208086520466848,223.609446869656,0.000930580185139243,4.28606260881092,0.0485495755566151,-0.13,-2.28,-1.153175116,name339,0.208086520466848,1.22669053,5.89509847753657,-3.03124619914458,-1.31381456254744
-0.13,-2.28,-1.153175116,name339,0.176918060129541,223.609446869656,0.00079119224436286,4.21498419445079,0.0419735998921328,-0.26,-2.16,-1.089934707,name709,0.176918060129541,0.0632404089999998,0.357455925945009,-3.10171797854804,-1.37702378165238
0.04,-2.12,-1.302037477,name488,0.233452350598575,223.609446869656,0.00104401828217328,4.15509749690328,0.0561845662520706,-0.13,-2.28,-1.153175116,name339,0.233452350598575,0.148862361,0.637656295249609,-2.98129189618294,-1.25038296756432
0,-1.88,-0.491564065,name398,0.220227155455452,223.609446869656,0.000984874112156024,4.07716910862147,0.0540147218789052,-0.22,-1.87,-0.731262565,name865,0.220227155455452,0.2396985,1.0884148210709,-3.00661927802013,-1.26748785574387
-0.26,-2.16,-1.089934707,name709,0.176918060129541,223.609446869656,0.00079119224436286,4.17646764690113,0.0423606921176108,-0.13,-2.28,-1.153175116,name339,0.176918060129541,0.0632404089999998,0.357455925945009,-3.10171797854804,-1.37303695270989
0.04,-1.55,-0.957275867,name696,0.189736659610103,223.609446869656,0.000848518084840582,3.98655974605383,0.0475940840465058,0.1,-1.37,-0.652807415,name166,0.189736659610103,0.304468452,1.60468963997608,-3.07133889693762,-1.32244702680957
-0.22,-1.87,-0.731262565,name865,0.212132034355964,223.609446869656,0.000948672058920738,4.07967200058399,0.0519973258452146,-0.43,-1.84,-0.539370298,name923,0.212132034355964,0.191892267,0.904588821686397,-3.02288389043359,-1.28401899099079
-0.27,-1.53,-0.271045327,name879,0.219544984001002,223.609446869656,0.000981823384809748,3.99007153000133,0.0550228191024255,-0.46,-1.42,0.278351694,name668,0.219544984001002,0.549397021,2.5024348586233,-3.00796662820184,-1.25945716223309
-0.66,-2.49,-0.878642261,name237,0.199248588451713,223.609446869656,0.000891056219855757,4.33735173022895,0.0459378442986443,-0.85,-2.43,-0.794688821,name713,0.199248588451713,0.0839534399999999,0.421350237170417,-3.0500948939397,-1.33782938857438
-0.91,-2.71,0.705543041,name298,0.257099202643649,223.609446869656,0.00114976896657463,4.4677320091781,0.0575457977594644,-0.66,-2.77,-0.365011424,name653,0.257099202643649,1.070554465,4.16397427137818,-2.93938941757844,-1.23998638491881
