ÐòºÅ,dV_dDist
1,0.003363509
2,0.021529403
3,0.021529403
4,0.025281101
5,0.032164512
6,0.037401189
7,0.043717498
8,0.043717498
9,0.045421415
10,0.045421415
11,0.055340704
12,0.056433097
13,0.056433097
14,0.057253847
15,0.057263425
16,0.057263425
17,0.057762614
18,0.062598587
19,0.073331035
20,0.074173774
21,0.076906848
22,0.076906848
23,0.087776972
24,0.090747846
25,0.090747846
26,0.091079183
27,0.098693564
28,0.10355336
29,0.10355336
30,0.103840885
31,0.123033912
32,0.123351152
33,0.123351152
34,0.132006953
35,0.136660944
36,0.136660944
37,0.137435232
38,0.139718987
39,0.139801305
40,0.14371259
41,0.14371259
42,0.147350556
43,0.156700956
44,0.158971615
45,0.1611948
46,0.1611948
47,0.169361203
48,0.189107136
49,0.189107136
50,0.19379661
51,0.204568631
52,0.204568631
53,0.215828766
54,0.215828766
55,0.2159595
56,0.2239187
57,0.224237655
58,0.224237655
59,0.226942794
60,0.233919794
61,0.246489763
62,0.259752682
63,0.259752682
64,0.264841553
65,0.264841553
66,0.269900565
67,0.269900565
68,0.271862943
69,0.301878804
70,0.301878804
71,0.302615697
72,0.304467446
73,0.304467446
74,0.326001146
75,0.334712302
76,0.334712302
77,0.357455926
78,0.358539316
79,0.368982856
80,0.368982856
81,0.371475457
82,0.388863687
83,0.388863687
84,0.389226289
85,0.389226289
86,0.405496133
87,0.405496133
88,0.407969447
89,0.407969447
90,0.409367072
91,0.412997517
92,0.421350237
93,0.425534239
94,0.425534239
95,0.432322371
96,0.432322371
97,0.443359964
98,0.444602698
99,0.446359133
100,0.446991425
101,0.446991425
102,0.460690061
103,0.477260079
104,0.477784716
105,0.477784716
106,0.478605719
107,0.495856581
108,0.500000274
109,0.500000274
110,0.503187522
111,0.5090475
112,0.511940442
113,0.517676757
114,0.51956365
115,0.51956365
116,0.521270218
117,0.521270218
118,0.53145819
119,0.533333303
120,0.542162228
121,0.542162228
122,0.54245307
123,0.54245307
124,0.548388126
125,0.548388126
126,0.555667665
127,0.562350768
128,0.566591754
129,0.566591754
130,0.567654278
131,0.567654278
132,0.581430241
133,0.582587271
134,0.583561808
135,0.588439285
136,0.588439285
137,0.601789042
138,0.603211701
139,0.606865769
140,0.61204792
141,0.61204792
142,0.618132074
143,0.618132074
144,0.629936846
145,0.629936846
146,0.630765172
147,0.631100803
148,0.635266332
149,0.637656295
150,0.641087312
151,0.651812729
152,0.653207584
153,0.659512091
154,0.6605148
155,0.6605148
156,0.681794568
157,0.687874659
158,0.691849395
159,0.693221471
160,0.693221471
161,0.697562869
162,0.701075416
163,0.701075416
164,0.703936011
165,0.703936011
166,0.704775918
167,0.705038885
168,0.715010587
169,0.715010587
170,0.725562535
171,0.732450625
172,0.747822939
173,0.747822939
174,0.764073533
175,0.776472741
176,0.776472741
177,0.776998714
178,0.776998714
179,0.782797539
180,0.782797539
181,0.789181814
182,0.789181814
183,0.796532857
184,0.799234017
185,0.812702621
186,0.812702621
187,0.820942415
188,0.820942415
189,0.821609346
190,0.827764724
191,0.830981237
192,0.836301071
193,0.837963447
194,0.837963447
195,0.838935159
196,0.853629176
197,0.853629176
198,0.861175263
199,0.864134092
200,0.864134092
201,0.869240048
202,0.869240048
203,0.869343674
204,0.869343674
205,0.869971226
206,0.869971226
207,0.877536526
208,0.877536526
209,0.881519898
210,0.887220464
211,0.887220464
212,0.887666675
213,0.891289958
214,0.891289958
215,0.894260061
216,0.894260061
217,0.9020403
218,0.9020403
219,0.902250001
220,0.904588822
221,0.904588822
222,0.906944362
223,0.918799116
224,0.920229437
