ÐòºÅ,normalization_mutual_sparseness,log10_nor_mutual_sp
1,0.000791192,-3.101717979
2,0.000791192,-3.101717979
3,0.000791192,-3.101717979
4,0.000791192,-3.101717979
5,0.000791192,-3.101717979
6,0.000791192,-3.101717979
7,0.000791192,-3.101717979
8,0.000791192,-3.101717979
9,0.000791192,-3.101717979
10,0.000791192,-3.101717979
11,0.000792455,-3.101025323
12,0.000792455,-3.101025323
13,0.000792455,-3.101025323
14,0.000792455,-3.101025323
15,0.000792455,-3.101025323
16,0.000792455,-3.101025323
17,0.000792455,-3.101025323
18,0.000792455,-3.101025323
19,0.000792455,-3.101025323
20,0.000792455,-3.101025323
21,0.000792455,-3.101025323
22,0.000792455,-3.101025323
23,0.000796232,-3.098960516
24,0.000796232,-3.098960516
25,0.000796232,-3.098960516
26,0.000796232,-3.098960516
27,0.000796232,-3.098960516
28,0.000796232,-3.098960516
29,0.000799991,-3.096915158
30,0.000799991,-3.096915158
31,0.000799991,-3.096915158
32,0.000799991,-3.096915158
33,0.000804975,-3.094217642
34,0.000804975,-3.094217642
35,0.000806216,-3.093548467
36,0.000806216,-3.093548467
37,0.000806216,-3.093548467
38,0.000806216,-3.093548467
39,0.000806216,-3.093548467
40,0.000806216,-3.093548467
41,0.000806216,-3.093548467
42,0.000806216,-3.093548467
43,0.000806216,-3.093548467
44,0.000806216,-3.093548467
45,0.000806216,-3.093548467
46,0.000806216,-3.093548467
47,0.000806216,-3.093548467
48,0.000806216,-3.093548467
49,0.000806216,-3.093548467
50,0.000806216,-3.093548467
51,0.000806216,-3.093548467
52,0.000806216,-3.093548467
53,0.000806216,-3.093548467
54,0.000806216,-3.093548467
55,0.000806216,-3.093548467
56,0.000809929,-3.091553225
57,0.000809929,-3.091553225
58,0.000809929,-3.091553225
59,0.000809929,-3.091553225
60,0.000816079,-3.088268031
61,0.000816079,-3.088268031
62,0.000816079,-3.088268031
63,0.000816079,-3.088268031
64,0.000816079,-3.088268031
65,0.000816079,-3.088268031
66,0.000816079,-3.088268031
67,0.000816079,-3.088268031
68,0.000816079,-3.088268031
69,0.000816079,-3.088268031
70,0.000816079,-3.088268031
71,0.000816079,-3.088268031
72,0.000816079,-3.088268031
73,0.000816079,-3.088268031
74,0.000816079,-3.088268031
75,0.000816079,-3.088268031
76,0.000820965,-3.085675197
77,0.000820965,-3.085675197
