Long,Lat,Value,Name,min_distance,sum_min_distance,normalization_mutual_sparseness,self_mean_distance,self_density,Long1,Lat1,Value1,Name1,dDist,dV,dV_dDist,log10_nor_mutual_sp,log10_self_sp
-5,-5,7.709303928,name1,1,121,0.008264463,7.833176193,0.127662135,-5,-4,6.957727044,name2,1,0.751576884,0.751576884,-2.08278537,-0.893937895
-5,-4,6.957727044,name2,1,121,0.008264463,7.253565151,0.137863241,-5,-5,7.709303928,name1,1,0.751576884,0.751576884,-2.08278537,-0.860551516
-5,-3,7.18541533,name3,1,121,0.008264463,6.790631883,0.147261701,-5,-4,6.957727044,name2,1,0.227688286,0.227688286,-2.08278537,-0.831910188
-5,-2,6.115090146,name4,1,121,0.008264463,6.454082871,0.154940682,-5,-3,7.18541533,name3,1,1.070325184,1.070325184,-2.08278537,-0.809834537
-5,-1,6.046289268,name5,1,121,0.008264463,6.249941295,0.160001503,-5,-2,6.115090146,name4,1,0.068800878,0.068800878,-2.08278537,-0.795875938
-5,0,5.637404384,name6,1,121,0.008264463,6.181537935,0.16177204,-5,-1,6.046289268,name5,1,0.408884884,0.408884884,-2.08278537,-0.791096539
-5,1,6.008410406,name7,1,121,0.008264463,6.249941295,0.160001503,-5,0,5.637404384,name6,1,0.371006022,0.371006022,-2.08278537,-0.795875938
-5,2,5.353310108,name8,1,121,0.008264463,6.454082871,0.154940682,-5,1,6.008410406,name7,1,0.655100298,0.655100298,-2.08278537,-0.809834537
-5,3,6.459703584,name9,1,121,0.008264463,6.790631883,0.147261701,-5,2,5.353310108,name8,1,1.106393476,1.106393476,-2.08278537,-0.831910188
-5,4,6.875120032,name10,1,121,0.008264463,7.253565151,0.137863241,-5,3,6.459703584,name9,1,0.415416448,0.415416448,-2.08278537,-0.860551516
-5,5,7.661682765,name11,1,121,0.008264463,7.833176193,0.127662135,-5,4,6.875120032,name10,1,0.786562733,0.786562733,-2.08278537,-0.893937895
-4,-5,7.324182063,name12,1,121,0.008264463,7.253565151,0.137863241,-5,-5,7.709303928,name1,1,0.385121865,0.385121865,-2.08278537,-0.860551516
-4,-4,6.548564612,name13,1,121,0.008264463,6.636092425,0.15069109,-5,-4,6.957727044,name2,1,0.409162432,0.409162432,-2.08278537,-0.821912426
-4,-3,6.583319338,name14,1,121,0.008264463,6.143461389,0.162774686,-5,-3,7.18541533,name3,1,0.602095992,0.602095992,-2.08278537,-0.788413133
-4,-2,5.315694916,name15,1,121,0.008264463,5.785795393,0.172837083,-5,-2,6.115090146,name4,1,0.79939523,0.79939523,-2.08278537,-0.762363071
-4,-1,5.059058537,name16,1,121,0.008264463,5.569056015,0.179563645,-5,-1,6.046289268,name5,1,0.987230731,0.987230731,-2.08278537,-0.745781586
-4,0,4.607671132,name17,1,121,0.008264463,5.49646783,0.181935023,-5,0,5.637404384,name6,1,1.029733252,1.029733252,-2.08278537,-0.74008369
-4,1,5.000821535,name18,1,121,0.008264463,5.569056015,0.179563645,-5,1,6.008410406,name7,1,1.007588871,1.007588871,-2.08278537,-0.745781586
