Long,Lat,Value,Name,min_distance,sum_min_distance,normalization_mutual_sparseness,self_mean_distance,self_density,Long1,Lat1,Value1,Name1,dDist,dV,dV_dDist,log10_nor_mutual_sp,log10_self_sp
-5,-5,7.709303928,name1,1,117.04,0.008544087,7.809449309,0.128050002,-5,-4,6.957727044,name2,1,0.751576884,0.751576884,-2.068334313,-0.89262041
-5,-4,6.957727044,name2,1,117.04,0.008544087,7.229875143,0.138314975,-5,-5,7.709303928,name1,1,0.751576884,0.751576884,-2.068334313,-0.859130797
-5,-3,7.18541533,name3,1,117.04,0.008544087,6.767143181,0.147772845,-5,-4,6.957727044,name2,1,0.227688286,0.227688286,-2.068334313,-0.830405365
-5,-2,6.115090146,name4,1,117.04,0.008544087,6.431028618,0.15549612,-5,-3,7.18541533,name3,1,1.070325184,1.070325184,-2.068334313,-0.808280442
-5,-1,6.046289268,name5,1,117.04,0.008544087,6.227633424,0.160574641,-5,-2,6.115090146,name4,1,0.068800878,0.068800878,-2.068334313,-0.794323041
-5,0,5.637404384,name6,1,117.04,0.008544087,6.160363573,0.162328081,-5,-1,6.046289268,name5,1,0.408884884,0.408884884,-2.068334313,-0.789606344
-5,1,6.008410406,name7,1,117.04,0.008544087,6.230335162,0.160505009,-5,0,5.637404384,name6,1,0.371006022,0.371006022,-2.068334313,-0.79451141
-5,2,5.353310108,name8,1,117.04,0.008544087,6.436471944,0.155364617,-5,1,6.008410406,name7,1,0.655100298,0.655100298,-2.068334313,-0.808647881
-5,3,6.459703584,name9,1,117.04,0.008544087,6.775364652,0.147593532,-5,2,5.353310108,name8,1,1.106393476,1.106393476,-2.068334313,-0.830932674
-5,4,6.875120032,name10,1,117.04,0.008544087,7.240853036,0.138105275,-5,3,6.459703584,name9,1,0.415416448,0.415416448,-2.068334313,-0.859789733
-5,5,7.661682765,name11,1,117.04,0.008544087,7.823072166,0.12782702,-5,4,6.875120032,name10,1,0.786562733,0.786562733,-2.068334313,-0.893377337
-4,-5,7.324182063,name12,1,117.04,0.008544087,7.229875143,0.138314975,-5,-5,7.709303928,name1,1,0.385121865,0.385121865,-2.068334313,-0.859130797
-4,-4,6.548564612,name13,1,117.04,0.008544087,6.612305345,0.151233185,-5,-4,6.957727044,name2,1,0.409162432,0.409162432,-2.068334313,-0.8203529
-4,-3,6.583319338,name14,1,117.04,0.008544087,6.11972616,0.163406004,-5,-3,7.18541533,name3,1,0.602095992,0.602095992,-2.068334313,-0.786731989
-4,-2,5.315694916,name15,1,117.04,0.008544087,5.762347205,0.173540393,-5,-2,6.115090146,name4,1,0.79939523,0.79939523,-2.068334313,-0.760599423
-4,-1,5.059058537,name16,1,117.04,0.008544087,5.546242016,0.180302265,-5,-1,6.046289268,name5,1,0.987230731,0.987230731,-2.068334313,-0.743998817
-4,0,4.607671132,name17,1,117.04,0.008544087,5.474758566,0.182656457,-5,0,5.637404384,name6,1,1.029733252,1.029733252,-2.068334313,-0.738364972
-4,1,5.000821535,name18,1,117.04,0.008544087,5.549019217,0.180212027,-5,1,6.008410406,name7,1,1.007588871,1.007588871,-2.068334313,-0.744216229
-4,2,5.106056447,name19,1,117.04,0.008544087,5.768013613,0.17336991,-5,2,5.353310108,name8,1,0.247253661,0.247253661,-2.068334313,-0.761026277
-4,3,6.009089707,name20,1,117.04,0.008544087,6.128408712,0.163174496,-5,3,6.459703584,name9,1,0.450613877,0.450613877,-2.068334313,-0.787347721
-4,4,6.940797963,name21,1,117.04,0.008544087,6.624029053,0.150965521,-5,4,6.875120032,name10,1,0.065677931,0.065677931,-2.068334313,-0.821122229
-4,5,7.552761169,name22,1,117.04,0.008544087,7.244507973,0.138035599,-5,5,7.661682765,name11,1,0.108921596,0.108921596,-2.068334313,-0.860008895
-3,-5,6.591656746,name23,1,117.04,0.008544087,6.767143181,0.147772845,-4,-5,7.324182063,name12,1,0.732525317,0.732525317,-2.068334313,-0.830405365
-3,-4,5.510837132,name24,1,117.04,0.008544087,6.11972616,0.163406004,-4,-4,6.548564612,name13,1,1.03772748,1.03772748,-2.068334313,-0.786731989
-3,-3,5.625356914,name25,1,117.04,0.008544087,5.602938472,0.178477776,-4,-3,6.583319338,name14,1,0.957962424,0.957962424,-2.068334313,-0.748415853
-3,-2,5.077630122,name26,1,117.04,0.008544087,5.227967973,0.191278907,-4,-2,5.315694916,name15,1,0.238064794,0.238064794,-2.068334313,-0.718332918
-3,-1,4.187355508,name27,1,117.04,0.008544087,5.001209635,0.199951626,-4,-1,5.059058537,name16,1,0.871703029,0.871703029,-2.068334313,-0.699075059
-3,0,3.802019679,name28,1,117.04,0.008544087,4.92613438,0.202998928,-4,0,4.607671132,name17,1,0.805651453,0.805651453,-2.068334313,-0.692506255
-3,1,4.411550533,name29,1,117.04,0.008544087,5.003961729,0.199841656,-4,1,5.000821535,name18,1,0.589271002,0.589271002,-2.068334313,-0.69931398
