Long,Lat,Value,Name,min_distance,sum_min_distance,normalization_mutual_sparseness,self_mean_distance,self_density,Long1,Lat1,Value1,Name1,dDist,dV,dV_dDist,log10_nor_mutual_sp,log10_self_sp
-4.01,-4.01,6.386635844,name1,0.01,117.04,8.54E-05,6.619361041,0.00151072,-4.01,-4,6.834438173,name2,0.01,0.447802329,44.7802329,-4.068334313,-2.82081607
-4.01,-4,6.834438173,name2,0.01,117.04,8.54E-05,6.6136445,0.001512026,-4.01,-4.01,6.386635844,name1,0.01,0.447802329,44.7802329,-4.068334313,-2.820440847
-5,-3,7.18541533,name3,1,117.04,0.008544087,6.782354206,0.14744143,-5,-2,6.115090146,name4,1,1.070325184,1.070325184,-2.068334313,-0.831380467
-5,-2,6.115090146,name4,1,117.04,0.008544087,6.442040647,0.155230315,-5,-3,7.18541533,name3,1,1.070325184,1.070325184,-2.068334313,-0.809023461
-5,-1,6.046289268,name5,1,117.04,0.008544087,6.236411441,0.160348625,-5,-2,6.115090146,name4,1,0.068800878,0.068800878,-2.068334313,-0.79493476
-5,0,5.637404384,name6,1,117.04,0.008544087,6.167245264,0.162146948,-5,-1,6.046289268,name5,1,0.408884884,0.408884884,-2.068334313,-0.79009122
-5,1,6.008410406,name7,1,117.04,0.008544087,6.235191367,0.160380001,-5,0,5.637404384,name6,1,0.371006022,0.371006022,-2.068334313,-0.794849787
-5,2,5.353310108,name8,1,117.04,0.008544087,6.439030194,0.15530289,-5,1,6.008410406,name7,1,0.655100298,0.655100298,-2.068334313,-0.808820462
-5,3,6.459703584,name9,1,117.04,0.008544087,6.775364652,0.147593532,-5,2,5.353310108,name8,1,1.106393476,1.106393476,-2.068334313,-0.830932674
-5,4,6.875120032,name10,1,117.04,0.008544087,7.238138208,0.138157075,-5,3,6.459703584,name9,1,0.415416448,0.415416448,-2.068334313,-0.859626871
-5,5,7.661682765,name11,1,117.04,0.008544087,7.817625868,0.127916073,-5,4,6.875120032,name10,1,0.786562733,0.786562733,-2.068334313,-0.893074882
-4,-4.01,6.808297903,name12,0.01,117.04,8.54E-05,6.6136445,0.001512026,-4.01,-4.01,6.386635844,name1,0.01,0.421662059,42.1662059,-4.068334313,-2.820440847
-4,-4,6.548564612,name13,0.01,117.04,8.54E-05,6.607925163,0.001513334,-4.01,-4,6.834438173,name2,0.01,0.285873561,28.5873561,-4.068334313,-2.820065116
-4,-3,6.583319338,name14,1,117.04,0.008544087,6.121543205,0.163357501,-5,-3,7.18541533,name3,1,0.602095992,0.602095992,-2.068334313,-0.786860919
-4,-2,5.315694916,name15,1,117.04,0.008544087,5.765976262,0.173431168,-5,-2,6.115090146,name4,1,0.79939523,0.79939523,-2.068334313,-0.76087285
-4,-1,5.059058537,name16,1,117.04,0.008544087,5.550178098,0.180174398,-5,-1,6.046289268,name5,1,0.987230731,0.987230731,-2.068334313,-0.744306919
-4,0,4.607671132,name17,1,117.04,0.008544087,5.478116995,0.182544477,-5,0,5.637404384,name6,1,1.029733252,1.029733252,-2.068334313,-0.738631303
-4,1,5.000821535,name18,1,117.04,0.008544087,5.551041331,0.18014638,-5,1,6.008410406,name7,1,1.007588871,1.007588871,-2.068334313,-0.744374461
-4,2,5.106056447,name19,1,117.04,0.008544087,5.768013613,0.17336991,-5,2,5.353310108,name8,1,0.247253661,0.247253661,-2.068334313,-0.761026277
-4,3,6.009089707,name20,1,117.04,0.008544087,6.125850462,0.16324264,-5,3,6.459703584,name9,1,0.450613877,0.450613877,-2.068334313,-0.787166391
-4,4,6.940797963,name21,1,117.04,0.008544087,6.618612172,0.151089076,-5,4,6.875120032,name10,1,0.065677931,0.065677931,-2.068334313,-0.820766934
-4,5,7.552761169,name22,1,117.04,0.008544087,7.23618807,0.138194308,-5,5,7.661682765,name11,1,0.108921596,0.108921596,-2.068334313,-0.859509846
-3,-5,6.591656746,name23,1,117.04,0.008544087,6.782354206,0.14744143,-3,-4,5.510837132,name24,1,1.080819614,1.080819614,-2.068334313,-0.831380467
-3,-4,5.510837132,name24,1,117.04,0.008544087,6.121543205,0.163357501,-4,-4,6.548564612,name13,1,1.03772748,1.03772748,-2.068334313,-0.786860919
-3,-3,5.625356914,name25,1,117.04,0.008544087,5.601560831,0.178521671,-4,-3,6.583319338,name14,1,0.957962424,0.957962424,-2.068334313,-0.748309057
-3,-2,5.077630122,name26,1,117.04,0.008544087,5.227915768,0.191280817,-4,-2,5.315694916,name15,1,0.238064794,0.238064794,-2.068334313,-0.718328582
-3,-1,4.187355508,name27,1,117.04,0.008544087,5.002155353,0.199913823,-4,-1,5.059058537,name16,1,0.871703029,0.871703029,-2.068334313,-0.699157176
-3,0,3.802019679,name28,1,117.04,0.008544087,4.927130013,0.202957908,-4,0,4.607671132,name17,1,0.805651453,0.805651453,-2.068334313,-0.692594022
-3,1,4.411550533,name29,1,117.04,0.008544087,5.003961729,0.199841656,-4,1,5.000821535,name18,1,0.589271002,0.589271002,-2.068334313,-0.69931398
-3,2,4.469075845,name30,1,117.04,0.008544087,5.231722241,0.191141646,-4,2,5.106056447,name19,1,0.636980602,0.636980602,-2.068334313,-0.718644679
-3,3,5.119488603,name31,1,117.04,0.008544087,5.607201389,0.178342087,-4,3,6.009089707,name20,1,0.889601104,0.889601104,-2.068334313,-0.748746155
-3,4,6.265913213,name32,1,117.04,0.008544087,6.124194468,0.163286781,-4,4,6.940797963,name21,1,0.67488475,0.67488475,-2.068334313,-0.787048973
-3,5,6.357833404,name33,1,117.04,0.008544087,6.771638486,0.147674747,-4,5,7.552761169,name22,1,1.194927765,1.194927765,-2.068334313,-0.830693765
-2,-5,5.760454983,name34,1,117.04,0.008544087,6.442040647,0.155230315,-3,-5,6.591656746,name23,1,0.831201763,0.831201763,-2.068334313,-0.809023461
-2,-4,5.587237875,name35,1,117.04,0.008544087,5.765976262,0.173431168,-3,-4,5.510837132,name24,1,0.076400743,0.076400743,-2.068334313,-0.76087285
-2,-3,4.697832245,name36,1,117.04,0.008544087,5.227915768,0.191280817,-3,-3,5.625356914,name25,1,0.927524669,0.927524669,-2.068334313,-0.718328582
-2,-2,3.846639366,name37,1,117.04,0.008544087,4.839445405,0.206635248,-3,-2,5.077630122,name26,1,1.230990756,1.230990756,-2.068334313,-0.684795595
-2,-1,3.3164332,name38,1,117.04,0.008544087,4.605079447,0.21715152,-3,-1,4.187355508,name27,1,0.870922308,0.870922308,-2.068334313,-0.663237127
-2,0,3.162336089,name39,1,117.04,0.008544087,4.527223847,0.220885919,-3,0,3.802019679,name28,1,0.63968359,0.63968359,-2.068334313,-0.655831969
-2,1,3.393089728,name40,1,117.04,0.008544087,4.606647494,0.217077604,-3,1,4.411550533,name29,1,1.018460805,1.018460805,-2.068334313,-0.663384981
-2,2,3.719590766,name41,1,117.04,0.008544087,4.842237474,0.2065161,-3,2,4.469075845,name30,1,0.749485079,0.749485079,-2.068334313,-0.685046084
-2,3,4.792069671,name42,1,117.04,0.008544087,5.230584678,0.191183216,-3,3,5.119488603,name31,1,0.327418932,0.327418932,-2.068334313,-0.718550237
-2,4,5.519537614,name43,1,117.04,0.008544087,5.765066355,0.173458541,-3,4,6.265913213,name32,1,0.746375599,0.746375599,-2.068334313,-0.76080431
-2,5,6.223766176,name44,1,117.04,0.008544087,6.433727252,0.155430897,-3,5,6.357833404,name33,1,0.134067228,0.134067228,-2.068334313,-0.808462646
-1,-5,5.735119748,name45,1,117.04,0.008544087,6.236411441,0.160348625,-2,-5,5.760454983,name34,1,0.025335235,0.025335235,-2.068334313,-0.79493476
-1,-4,5.288830648,name46,1,117.04,0.008544087,5.550178098,0.180174398,-2,-4,5.587237875,name35,1,0.298407227,0.298407227,-2.068334313,-0.744306919
-1,-3,4.088683888,name47,1,117.04,0.008544087,5.002155353,0.199913823,-2,-3,4.697832245,name36,1,0.609148357,0.609148357,-2.068334313,-0.699157176
-1,-2,3.243581242,name48,1,117.04,0.008544087,4.605079447,0.21715152,-2,-2,3.846639366,name37,1,0.603058124,0.603058124,-2.068334313,-0.663237127
-1,-1,2.318496332,name49,1,117.04,0.008544087,4.365145016,0.229087464,-2,-1,3.3164332,name38,1,0.997936868,0.997936868,-2.068334313,-0.639998676
-1,0,1.844948553,name50,1,117.04,0.008544087,4.285201473,0.233361256,-2,0,3.162336089,name39,1,1.317387536,1.317387536,-2.068334313,-0.631971246
-1,1,2.434925868,name51,1,117.04,0.008544087,4.365965937,0.229044389,-2,1,3.393089728,name40,1,0.95816386,0.95816386,-2.068334313,-0.640080343
-1,2,3.226013656,name52,1,117.04,0.008544087,4.606185222,0.21709939,-2,2,3.719590766,name41,1,0.49357711,0.49357711,-2.068334313,-0.663341398
-1,3,4.411812008,name53,1,117.04,0.008544087,5.002252812,0.199909928,-2,3,4.792069671,name42,1,0.380257663,0.380257663,-2.068334313,-0.699165637
-1,4,5.328466357,name54,1,117.04,0.008544087,5.547204394,0.180270985,-2,4,5.519537614,name43,1,0.191071257,0.191071257,-2.068334313,-0.744074168
-1,5,6.420225773,name55,1,117.04,0.008544087,6.228493883,0.160552458,-2,5,6.223766176,name44,1,0.196459597,0.196459597,-2.068334313,-0.794383042
0,-5,5.775336974,name56,1,117.04,0.008544087,6.167245264,0.162146948,-1,-5,5.735119748,name45,1,0.040217226,0.040217226,-2.068334313,-0.79009122
0,-4,4.765918376,name57,1,117.04,0.008544087,5.478116995,0.182544477,-1,-4,5.288830648,name46,1,0.522912272,0.522912272,-2.068334313,-0.738631303
