Long,Lat,Value,Name
-5,-5,7.709303928,name1
-5,-4,6.957727044,name2
-5,-3,7.18541533,name3
-5,-2,6.115090146,name4
-5,-1,6.046289268,name5
-5,0,5.637404384,name6
-5,1,6.008410406,name7
-5,2,5.353310108,name8
-5,3,6.459703584,name9
-5,4,6.875120032,name10
-5,5,7.661682765,name11
-4,-5,7.324182063,name12
-4,-4,6.548564612,name13
-4,-3,6.583319338,name14
-4,-2,5.315694916,name15
-4,-1,5.059058537,name16
-4,0,4.607671132,name17
-4,1,5.000821535,name18
-4,2,5.106056447,name19
-4,3,6.009089707,name20
-4,4,6.940797963,name21
-4,5,7.552761169,name22
-3,-5,6.591656746,name23
-3,-4,5.510837132,name24
-3,-3,5.625356914,name25
-3,-2,5.077630122,name26
-3,-1,4.187355508,name27
-3,0,3.802019679,name28
-3,1,4.411550533,name29
-3,2,4.469075845,name30
-3,3,5.119488603,name31
-3,4,6.265913213,name32
-3,5,6.357833404,name33
-2,-5,5.760454983,name34
-2,-4,5.587237875,name35
-2,-3,4.697832245,name36
-2,-2,3.846639366,name37
-2,-1,3.3164332,name38
-2,0,3.162336089,name39
-2,1,3.393089728,name40
-2,2,3.719590766,name41
-2,3,4.792069671,name42
-2,4,5.519537614,name43
-2,5,6.223766176,name44
-1,-5,5.735119748,name45
-1,-4,5.288830648,name46
-1,-3,4.088683888,name47
-1,-2,3.243581242,name48
-1,-1,2.318496332,name49
-1,0,1.844948553,name50
-1,1,2.434925868,name51
-1,2,3.226013656,name52
-1,3,4.411812008,name53
-1,4,5.328466357,name54
-1,5,6.420225773,name55
0,-5,5.775336974,name56
0,-4,4.765918376,name57
0,-3,3.746182645,name58
0,-2,3.074697093,name59
0,-1,2.278908113,name60
0,0,1.036378602,name61
0,1,1.92269359,name62
0,2,3.125495063,name63
0,3,3.774333938,name64
0,4,4.643882477,name65
0,5,6.215232695,name66
1,-5,5.861796466,name67
1,-4,5.204047078,name68
1,-3,4.454997149,name69
1,-2,3.300971307,name70
1,-1,2.526433486,name71
1,0,1.83941978,name72
1,1,2.494068051,name73
1,2,3.582084911,name74
1,3,4.274896285,name75
1,4,4.728401798,name76
1,5,6.03707092,name77
2,-5,6.22554679,name78
2,-4,5.576933901,name79
2,-3,4.700433779,name80
2,-2,3.906047059,name81
2,-1,3.177207016,name82
2,0,2.910109194,name83
2,1,3.140670475,name84
2,2,3.991813069,name85
2,3,4.178845091,name86
2,4,5.415416401,name87
2,5,6.471485276,name88
3,-5,6.607999526,name89
3,-4,6.143168186,name90
3,-3,5.223945522,name91
3,-2,4.389481541,name92
3,-1,4.195859652,name93
3,0,3.946363424,name94
3,1,4.076977472,name95
3,2,4.441749615,name96
3,3,5.258747517,name97
3,4,5.446161229,name98
3,5,6.694902176,name99
4,-5,7.201926524,name100
4,-4,6.353335478,name101
4,-3,6.195809577,name102
4,-2,5.271234347,name103
4,-1,5.261591647,name104
4,0,5.243960221,name105
4,1,5.08292244,name106
4,2,5.548143738,name107
4,3,6.191855191,name108
4,4,6.629901307,name109
4,5,7.603330681,name110
5,-5,7.561555488,name111
5,-4,7.81415452,name112
5,-3,6.492969142,name113
5,-2,5.801293865,name114
5,-1,6.521223685,name115
5,0,5.981181962,name116
5,1,6.235918447,name117
5,2,6.269191546,name118
5,3,6.482374092,name119
5,4,6.265638441,name120
5,5,8.323804825,name121
2.081472369,2.090579194,4.137918617,name122
2.012698682,2.091337586,3.818229289,name123
2.063235925,2.00975404,4.00619092,name124
2.027849822,2.054688152,3.816874487,name125
2.095750684,2.096488854,4.104280205,name126
2.015761308,2.097059278,4.185482956,name127
2.095716695,2.048537565,3.615283094,name128
2.080028047,2.014188634,4.095813565,name129
2.042176128,2.091573553,4.209206893,name130
2.079220733,2.095949243,3.96169578,name131
2.06557407,2.003571168,4.216223177,name132
2.084912931,2.093399325,3.985243168,name133
2.067873515,2.075774013,3.686912166,name134
2.074313247,2.039222702,3.480116828,name135
2.065547789,2.017118669,3.822285169,name136
2.070604609,2.003183285,4.019460511,name137
2.027692298,2.004617139,3.912441971,name138
2.009713178,2.082345783,3.974507903,name139
2.069482862,2.031709948,3.787569548,name140
2.095022205,2.003444608,3.926848587,name141
2.043874436,2.038155846,3.568005805,name142
2.076551679,2.07951999,3.789095571,name143
2.01868726,2.04897644,3.7176558,name144
2.04455862,2.064631301,4.00716522,name145
2.070936483,2.075468668,3.929169117,name146
2.027602508,2.067970268,3.671042282,name147
2.0655098,2.016261174,3.884607103,name148
2.011899768,2.049836405,3.738652022,name149
2.095974396,2.034038573,3.789992559,name150
2.058526775,2.022381194,4.053644355,name151
