Long,Lat,Value,Name,min_distance,sum_min_distance,normalization_mutual_sparseness,self_mean_distance,self_density,Long1,Lat1,Value1,Name1,dDist,dV,dV_dDist,log10_nor_mutual_sp,log10_self_sp
-5,-5,7.709303928,name1,1,120.371335067096,0.00830762572702705,4.88292668276529,0.204795210939699,-5,-4,6.957727044,name2,1,0.751576883999999,0.751576883999999,-2.08052307741718,-0.688680203393378
-5,-4,6.957727044,name2,0.901550121491955,120.371335067096,0.00748974098351093,4.38856463300067,0.205431660892624,-4.098451287,-4.001593628,7.193751881,name178,0.901550121491955,0.236024837,0.261798907651864,-2.12553320117597,-0.687332622611548
-5,-3,7.18541533,name3,1,120.371335067096,0.00830762572702705,4.34752139768862,0.230016119191881,-5,-4,6.957727044,name2,1,0.227688285999999,0.227688285999999,-2.08052307741718,-0.638241728196366
-5,-2,6.115090146,name4,1,120.371335067096,0.00830762572702705,4.54744449255469,0.219903728706805,-5,-3,7.18541533,name3,1,1.070325184,1.070325184,-2.08052307741718,-0.657767406641661
-5,-1,6.046289268,name5,1,120.371335067096,0.00830762572702705,4.86118997374041,0.20571094843071,-5,-2,6.115090146,name4,1,0.0688008780000002,0.0688008780000002,-2.08052307741718,-0.68674259349483
-5,0,5.637404384,name6,1,120.371335067096,0.00830762572702705,5.26272440631811,0.190015650220912,-5,-1,6.046289268,name5,1,0.408884884,0.408884884,-2.08052307741718,-0.721210627864681
-5,1,6.008410406,name7,1,120.371335067096,0.00830762572702705,5.74489346245243,0.174067631808286,-5,0,5.637404384,name6,1,0.371006022,0.371006022,-2.08052307741718,-0.759281979221338
-5,2,5.353310108,name8,1,120.371335067096,0.00830762572702705,6.30423320018901,0.158623573755174,-5,1,6.008410406,name7,1,0.655100298000001,0.655100298000001,-2.08052307741718,-0.799632269786395
-5,3,6.459703584,name9,1,120.371335067096,0.00830762572702705,6.93762547964726,0.144141537033626,-5,2,5.353310108,name8,1,1.106393476,1.106393476,-2.08052307741718,-0.841210851211896
-5,4,6.875120032,name10,1,120.371335067096,0.00830762572702705,7.64111464465971,0.130870958819979,-5,3,6.459703584,name9,1,0.415416448,0.415416448,-2.08052307741718,-0.883156715737404
-5,5,7.661682765,name11,1,120.371335067096,0.00830762572702705,8.40902683729978,0.118919825010466,-5,4,6.875120032,name10,1,0.786562733,0.786562733,-2.08052307741718,-0.924745738527351
-4,-5,7.324182063,name12,0.902938737949096,120.371335067096,0.00750127708931524,4.3889415480299,0.205730408588924,-4.011348807,-4.097132585,6.595881312,name158,0.902938737949096,0.728300751,0.806589329254205,-2.12486479185806,-0.686701511385843
-4,-4,6.548564612,name13,0.00932019111948509,120.371335067096,7.74286595250434e-05,3.65457614478616,0.00255027963578809,-4.004836954,-4.007966796,6.325752534,name182,0.00932019111948509,0.222812078,23.9063850884111,-4.11109825934574,-2.59341219696944
-4,-3,6.583319338,name14,1,120.371335067096,0.00830762572702705,3.82917276791441,0.261153011527516,-5,-3,7.18541533,name3,1,0.602095992,0.602095992,-2.08052307741718,-0.583104961662174
-4,-2,5.315694916,name15,1,120.371335067096,0.00830762572702705,4.08826889869956,0.244602305958419,-5,-2,6.115090146,name4,1,0.79939523,0.79939523,-2.08052307741718,-0.611539453022152
-4,-1,5.059058537,name16,1,120.371335067096,0.00830762572702705,4.42446908869103,0.22601581793305,-5,-1,6.046289268,name5,1,0.987230730999999,0.987230730999999,-2.08052307741718,-0.645861165274528
-4,0,4.607671132,name17,1,120.371335067096,0.00830762572702705,4.8393582857277,0.206638967598083,-5,0,5.637404384,name6,1,1.029733252,1.029733252,-2.08052307741718,-0.684787776635242
-4,1,5.000821535,name18,1,120.371335067096,0.00830762572702705,5.33345941252884,0.187495567633063,-5,1,6.008410406,name7,1,1.007588871,1.007588871,-2.08052307741718,-0.727008994470956
-4,2,5.106056447,name19,1,120.371335067096,0.00830762572702705,5.9062009807639,0.169313574539189,-5,2,5.353310108,name8,1,0.247253660999999,0.247253660999999,-2.08052307741718,-0.771308221388223
-4,3,6.009089707,name20,1,120.371335067096,0.00830762572702705,6.55581880627837,0.152536247500056,-5,3,6.459703584,name9,1,0.450613876999999,0.450613876999999,-2.08052307741718,-0.816626941768365
-4,4,6.940797963,name21,1,120.371335067096,0.00830762572702705,7.27905843998782,0.137380405480255,-5,4,6.875120032,name10,1,0.0656779309999997,0.0656779309999997,-2.08052307741718,-0.862075206131244
-4,5,7.552761169,name22,1,120.371335067096,0.00830762572702705,8.07039655836587,0.123909648400535,-5,5,7.661682765,name11,1,0.108921596,0.108921596,-2.08052307741718,-0.906894875351399
-3,-5,6.591656746,name23,1,120.371335067096,0.00830762572702705,4.34803489698162,0.229988954480148,-4,-5,7.324182063,name12,1,0.732525317,0.732525317,-2.08052307741718,-0.638293021041151
-3,-4,5.510837132,name24,1,120.371335067096,0.00830762572702705,3.8295221203258,0.261129187553805,-4,-4,6.548564612,name13,1,1.03772748,1.03772748,-2.08052307741718,-0.583144582466196
-3,-3,5.625356914,name25,1,120.371335067096,0.00830762572702705,3.74475914402161,0.267039871334974,-4,-3,6.583319338,name14,1,0.957962424,0.957962424,-2.08052307741718,-0.573423889916342
-3,-2,5.077630122,name26,1,120.371335067096,0.00830762572702705,3.9120164322319,0.255622648146566,-4,-2,5.315694916,name15,1,0.238064794,0.238064794,-2.08052307741718,-0.592400670351927
-3,-1,4.187355508,name27,1,120.371335067096,0.00830762572702705,4.20729143262075,0.237682607923619,-4,-1,5.059058537,name16,1,0.871703029000001,0.871703029000001,-2.08052307741718,-0.624002595971207
-3,0,3.802019679,name28,1,120.371335067096,0.00830762572702705,4.60130256395614,0.217329763931067,-4,0,4.607671132,name17,1,0.805651453,0.805651453,-2.08052307741718,-0.662880791738224
-3,1,4.411550533,name29,1,120.371335067096,0.00830762572702705,5.08554189292328,0.196635878939772,-4,1,5.000821535,name18,1,0.589271002,0.589271002,-2.08052307741718,-0.706337236229749
-3,2,4.469075845,name30,1,120.371335067096,0.00830762572702705,5.65600837540004,0.176803132815246,-4,2,5.106056447,name19,1,0.636980602,0.636980602,-2.08052307741718,-0.75251004389127
-3,3,5.119488603,name31,1,120.371335067096,0.00830762572702705,6.30934736731456,0.158494998259325,-4,3,6.009089707,name20,1,0.889601104,0.889601104,-2.08052307741718,-0.799984438573358
-3,4,6.265913213,name32,1,120.371335067096,0.00830762572702705,7.04134031015866,0.142018416374122,-4,4,6.940797963,name21,1,0.674884749999999,0.674884749999999,-2.08052307741718,-0.847655334412347
-3,5,6.357833404,name33,1,120.371335067096,0.00830762572702705,7.84547750446944,0.127461967666126,-4,5,7.552761169,name22,1,1.194927765,1.194927765,-2.08052307741718,-0.894619381478743
-2,-5,5.760454983,name34,1,120.371335067096,0.00830762572702705,4.54792822278033,0.219880339137951,-3,-5,6.591656746,name23,1,0.831201763,0.831201763,-2.08052307741718,-0.657813601860813
-2,-4,5.587237875,name35,1,120.371335067096,0.00830762572702705,4.08862534967478,0.24458098125316,-3,-4,5.510837132,name24,1,0.0764007429999998,0.0764007429999998,-2.08052307741718,-0.611577316956062
-2,-3,4.697832245,name36,1,120.371335067096,0.00830762572702705,3.9121752576639,0.255612270447499,-3,-3,5.625356914,name25,1,0.927524669,0.927524669,-2.08052307741718,-0.592418302079637
-2,-2,3.846639366,name37,1,120.371335067096,0.00830762572702705,3.97142495356288,0.251798790533073,-3,-2,5.077630122,name26,1,1.230990756,1.230990756,-2.08052307741718,-0.598946360272929
-2,-1,3.3164332,name38,1,120.371335067096,0.00830762572702705,4.19582716428589,0.238332028666914,-3,-1,4.187355508,name27,1,0.870922307999999,0.870922307999999,-2.08052307741718,-0.622817590307299
-2,0,3.162336089,name39,1,120.371335067096,0.00830762572702705,4.54575269599744,0.219985570460202,-3,0,3.802019679,name28,1,0.63968359,0.63968359,-2.08052307741718,-0.65760580497339
-2,1,3.393089728,name40,1,120.371335067096,0.00830762572702705,5.00269299638049,0.199892338131385,-3,1,4.411550533,name29,1,1.018460805,1.018460805,-2.08052307741718,-0.69920385206013
-2,2,3.719590766,name41,1,120.371335067096,0.00830762572702705,5.55701999406678,0.179952564696132,-3,2,4.469075845,name30,1,0.749485079,0.749485079,-2.08052307741718,-0.744841959372612
-2,3,4.792069671,name42,1,120.371335067096,0.00830762572702705,6.20222274898684,0.161232519448508,-3,3,5.119488603,name31,1,0.327418932,0.327418932,-2.08052307741718,-0.792547359598608
-2,4,5.519537614,name43,1,120.371335067096,0.00830762572702705,6.93209771433149,0.144256477794967,-3,4,6.265913213,name32,1,0.746375599,0.746375599,-2.08052307741718,-0.840864675867597
-2,5,6.223766176,name44,1,120.371335067096,0.00830762572702705,7.73858180776011,0.129222643740384,-3,5,6.357833404,name33,1,0.134067228,0.134067228,-2.08052307741718,-0.888661378060474
-1,-5,5.735119748,name45,1,120.371335067096,0.00830762572702705,4.86164612384421,0.205691647340485,-2,-5,5.760454983,name34,1,0.025335235,0.025335235,-2.08052307741718,-0.686783343636282
-1,-4,5.288830648,name46,1,120.371335067096,0.00830762572702705,4.42482788272262,0.225997491089912,-2,-4,5.587237875,name35,1,0.298407226999999,0.298407226999999,-2.08052307741718,-0.645896382143993
-1,-3,4.088683888,name47,1,120.371335067096,0.00830762572702705,4.20751778737291,0.237669821147537,-2,-3,4.697832245,name36,1,0.609148357,0.609148357,-2.08052307741718,-0.624025960641105
-1,-2,3.243581242,name48,1,120.371335067096,0.00830762572702705,4.19592648938862,0.238326386920498,-2,-2,3.846639366,name37,1,0.603058124,0.603058124,-2.08052307741718,-0.622827870957998
-1,-1,2.318496332,name49,1,120.371335067096,0.00830762572702705,4.3553421966411,0.229603083948539,-2,-1,3.3164332,name38,1,0.997936868,0.997936868,-2.08052307741718,-0.639022282942888
-1,0,1.844948553,name50,1,120.371335067096,0.00830762572702705,4.65545446665263,0.214801800160022,-2,0,3.162336089,name39,1,1.317387536,1.317387536,-2.08052307741718,-0.667962083324959
-1,1,2.434925868,name51,1,120.371335067096,0.00830762572702705,5.07626705927423,0.196995151815944,-2,1,3.393089728,name40,1,0.95816386,0.95816386,-2.08052307741718,-0.705544461988113
-1,2,3.226013656,name52,1,120.371335067096,0.00830762572702705,5.60503634032344,0.178410975287681,-2,2,3.719590766,name41,1,0.49357711,0.49357711,-2.08052307741718,-0.748578432693843
-1,3,4.411812008,name53,1,120.371335067096,0.00830762572702705,6.23265557483645,0.160445252909109,-2,3,4.792069671,name42,1,0.380257663,0.380257663,-2.08052307741718,-0.794673127841632
-1,4,5.328466357,name54,1,120.371335067096,0.00830762572702705,6.95097377163998,0.143864735050506,-2,4,5.519537614,name43,1,0.191071257,0.191071257,-2.08052307741718,-0.842045649773699
-1,5,6.420225773,name55,1,120.371335067096,0.00830762572702705,7.75039475021438,0.129025686075195,-2,5,6.223766176,name44,1,0.196459597,0.196459597,-2.08052307741718,-0.889323822954549
0,-5,5.775336974,name56,1,120.371335067096,0.00830762572702705,5.26316214438467,0.189999846587837,-1,-5,5.735119748,name45,1,0.0402172260000002,0.0402172260000002,-2.08052307741718,-0.721246749710764
0,-4,4.765918376,name57,1,120.371335067096,0.00830762572702705,4.83971824619054,0.20662359855083,-1,-4,5.288830648,name46,1,0.522912272,0.522912272,-2.08052307741718,-0.684820079064564
0,-3,3.746182645,name58,1,120.371335067096,0.00830762572702705,4.60156403813126,0.217317414625422,-1,-3,4.088683888,name47,1,0.342501243,0.342501243,-2.08052307741718,-0.662905470307708
0,-2,3.074697093,name59,1,120.371335067096,0.00830762572702705,4.54591337436529,0.219977794922153,-1,-2,3.243581242,name48,1,0.168884149,0.168884149,-2.08052307741718,-0.657621155675447
0,-1,2.278908113,name60,1,120.371335067096,0.00830762572702705,4.6555263799799,0.214798482143778,-1,-1,2.318496332,name49,1,0.0395882190000001,0.0395882190000001,-2.08052307741718,-0.667968791868714
0,0,1.036378602,name61,1,120.371335067096,0.00830762572702705,4.91031175027545,0.203653057251182,-1,0,1.844948553,name50,1,0.808569951,0.808569951,-2.08052307741718,-0.691109065875788
0,1,1.92269359,name62,1,120.371335067096,0.00830762572702705,5.29336514460238,0.1889157412501,-1,1,2.434925868,name51,1,0.512232278,0.512232278,-2.08052307741718,-0.723731853336862
0,2,3.125495063,name63,1,120.371335067096,0.00830762572702705,5.79177589524337,0.172658614229407,-1,2,3.226013656,name52,1,0.100518593,0.100518593,-2.08052307741718,-0.762811749089967
0,3,3.774333938,name64,1,120.371335067096,0.00830762572702705,6.39530802275124,0.156364634266639,-1,3,4.411812008,name53,1,0.63747807,0.63747807,-2.08052307741718,-0.805861466619147
0,4,4.643882477,name65,1,120.371335067096,0.00830762572702705,7.09458508648455,0.140952569855711,-1,4,5.328466357,name54,1,0.68458388,0.68458388,-2.08052307741718,-0.850927001637143
0,5,6.215232695,name66,1,120.371335067096,0.00830762572702705,7.8789238872035,0.126920885937754,-1,5,6.420225773,name55,1,0.204993078,0.204993078,-2.08052307741718,-0.896466905083011
1,-5,5.861796466,name67,1,120.371335067096,0.00830762572702705,5.7453185934446,0.174054751487759,0,-5,5.775336974,name56,1,0.0864594920000004,0.0864594920000004,-2.08052307741718,-0.759314116494901
1,-4,5.204047078,name68,1,120.371335067096,0.00830762572702705,5.33382007111867,0.187482889686278,0,-4,4.765918376,name57,1,0.438128702,0.438128702,-2.08052307741718,-0.727038361290436
1,-3,4.454997149,name69,1,120.371335067096,0.00830762572702705,5.08582448768036,0.19662495283161,0,-3,3.746182645,name58,1,0.708814504,0.708814504,-2.08052307741718,-0.706361368551613
1,-2,3.300971307,name70,1,120.371335067096,0.00830762572702705,5.0028936013028,0.199884322892574,0,-2,3.074697093,name59,1,0.226274214,0.226274214,-2.08052307741718,-0.699221266653459
