Long,Lat,Value,true-Value,abs-Resiual,SQ-Residual,R_error
-5,-5,7.709303925,8.071067812,0.361763887,0.13087311,0.044822308
-4.6,-5,7.558235914,7.794115101,0.235879186,0.055638991,0.030263755
-4.2,-5,7.412226607,7.529931087,0.11770448,0.013854345,0.015631548
-3.8,-5,7.181069904,7.280127387,0.099057483,0.009812385,0.013606559
-3.4,-5,6.875958159,7.046486583,0.170528424,0.029079943,0.024200489
-3,-5,6.591656747,6.830951895,0.239295148,0.057262168,0.035031011
-2.6,-5,6.214836879,6.635601121,0.420764243,0.177042548,0.063410117
-2.2,-5,5.885772952,6.462600113,0.576827162,0.332729575,0.089256205
-1.8,-5,5.738277564,6.314132102,0.575854538,0.331608449,0.091200901
-1.4,-5,5.740648031,6.192301994,0.451653963,0.203991302,0.072937974
-1,-5,5.735119751,6.099019514,0.363899762,0.132423037,0.059665289
-0.6,-5,5.74266687,6.035871325,0.293204455,0.085968852,0.048576989
-0.2,-5,5.759880132,6.003998401,0.244118269,0.059593729,0.040659283
0.2,-5,5.774843994,6.003998401,0.229154407,0.052511742,0.038166967
0.6,-5,5.796659051,6.035871325,0.239212273,0.057222512,0.039631772
1,-5,5.861796465,6.099019514,0.237223049,0.056274775,0.038895276
1.4,-5,5.995150926,6.192301994,0.197151068,0.038868544,0.03183809
1.8,-5,6.146761782,6.314132102,0.167370321,0.028012824,0.026507257
2.2,-5,6.301608878,6.462600113,0.160991236,0.025918178,0.024911217
2.6,-5,6.452951054,6.635601121,0.182650068,0.033361047,0.027525776
3,-5,6.607999528,6.830951895,0.222952367,0.049707758,0.03263855
3.4,-5,6.825077416,7.046486583,0.221409167,0.049022019,0.031421215
3.8,-5,7.074006898,7.280127387,0.20612049,0.042485656,0.028312759
4.2,-5,7.279874408,7.529931087,0.250056679,0.062528343,0.033208362
4.6,-5,7.422954534,7.794115101,0.371160566,0.137760166,0.047620617
5,-5,7.561555489,8.071067812,0.509512322,0.259602807,0.063128242
-5,-4.6,7.377339671,7.794115101,0.41677543,0.173701759,0.053473091
-4.6,-4.6,7.229171083,7.505382387,0.276211304,0.076292685,0.036801763
-4.2,-4.6,7.06308673,7.228964601,0.165877871,0.027515468,0.022946283
-3.8,-4.6,6.802249374,6.966573556,0.164324183,0.027002437,0.023587518
-3.4,-4.6,6.462336164,6.720139858,0.257803694,0.066462745,0.038362847
-3,-4.6,6.14196729,6.491812087,0.349844797,0.122391382,0.053890161
-2.6,-4.6,5.896544529,6.283937925,0.387393397,0.150073644,0.06164819
-2.2,-4.6,5.73502252,6.099019514,0.363996994,0.132493811,0.059681231
-1.8,-4.6,5.6514246,5.939635614,0.288211014,0.083065588,0.048523349
-1.4,-4.6,5.617411859,5.808326112,0.190914253,0.036448252,0.032869066
-1,-4.6,5.56792101,5.707440918,0.139519908,0.019465805,0.024445265
-0.6,-4.6,5.48727094,5.638965402,0.151694462,0.02301121,0.026901116
-0.2,-4.6,5.422325651,5.604345773,0.182020123,0.033131325,0.032478389
0.2,-4.6,5.419133191,5.604345773,0.185212583,0.034303701,0.033048029
0.6,-4.6,5.489084771,5.638965402,0.149880631,0.022464203,0.026579456
1,-4.6,5.603513338,5.707440918,0.103927581,0.010800942,0.018209138
1.4,-4.6,5.745938436,5.808326112,0.062387676,0.003892222,0.010741077
1.8,-4.6,5.90357672,5.939635614,0.036058894,0.001300244,0.006070893
2.2,-4.6,6.073541295,6.099019514,0.025478218,0.00064914,0.004177429
2.6,-4.6,6.25133919,6.283937925,0.032598735,0.001062678,0.005187628
3,-4.6,6.424232392,6.491812087,0.067579695,0.004567015,0.010409989
3.4,-4.6,6.585094544,6.720139858,0.135045315,0.018237237,0.020095611
3.8,-4.6,6.775800222,6.966573556,0.190773334,0.036394465,0.027384098
4.2,-4.6,7.044040856,7.228964601,0.184923745,0.034196791,0.025580945
4.6,-4.6,7.373280914,7.505382387,0.132101473,0.017450799,0.017600898
5,-4.6,7.679944184,7.794115101,0.114170917,0.013034998,0.014648349
-5,-4.2,7.061828355,7.529931087,0.468102732,0.219120168,0.062165606
-4.6,-4.2,6.942535581,7.228964601,0.28642902,0.082041584,0.039622413
-4.2,-4.2,6.770673619,6.939696962,0.169023343,0.02856889,0.024356012
-3.8,-4.2,6.475433379,6.663920903,0.188487524,0.035527547,0.028284778
-3.4,-4.2,6.070338303,6.403702434,0.333364131,0.111131644,0.05205803
-3,-4.2,5.686637357,6.16139516,0.474757804,0.225394972,0.07705362
-2.6,-4.2,5.604790237,5.939635614,0.334845377,0.112121427,0.056374734
-2.2,-4.2,5.632665716,5.741307836,0.108642121,0.01180311,0.018922887
-1.8,-4.2,5.601173444,5.569463864,0.031709581,0.001005498,0.005693471
-1.4,-4.2,5.505938135,5.427188724,0.078749411,0.00620147,0.014510166
-1,-4.2,5.405125158,5.317406629,0.087718529,0.00769454,0.016496487
-0.6,-4.2,5.200638289,5.242640687,0.042002398,0.001764201,0.008011687
-0.2,-4.2,5.024313696,5.204759208,0.180445512,0.032560583,0.03466933
0.2,-4.2,5.015854958,5.204759208,0.18890425,0.035684816,0.036294523
0.6,-4.2,5.160371577,5.242640687,0.08226911,0.006768206,0.015692304
