Long	Lat	Value	true-Value	abs-Resiual	SQ-Residual	R_error
-5	-5	7.159879299	8.071067812	0.911188513	0.830264506	0.112895658
-4.6	-5	6.940905901	7.794115101	0.8532092	0.727965938	0.109468386
-4.2	-5	6.772944176	7.529931087	0.756986911	0.573029183	0.10053039
-3.8	-5	6.694554504	7.280127387	0.585572883	0.342895602	0.080434428
-3.4	-5	6.657336647	7.046486583	0.389149936	0.151437673	0.055226095
-3	-5	6.591656749	6.830951895	0.239295146	0.057262167	0.03503101
-2.6	-5	6.238271835	6.635601121	0.397329286	0.157870562	0.059878416
-2.2	-5	5.893957677	6.462600113	0.568642436	0.32335422	0.08798973
-1.8	-5	5.735503716	6.314132102	0.578628386	0.33481081	0.091640209
-1.4	-5	5.738515315	6.192301994	0.45378668	0.205922351	0.073282388
-1	-5	5.735119746	6.099019514	0.363899767	0.132423041	0.05966529
-0.6	-5	5.74200926	6.035871325	0.293862065	0.086354913	0.048685939
-0.2	-5	5.75988013	6.003998401	0.244118272	0.05959373	0.040659283
0.2	-5	5.774843994	6.003998401	0.229154407	0.052511742	0.038166967
0.6	-5	5.796659051	6.035871325	0.239212273	0.057222512	0.039631772
1	-5	5.861796465	6.099019514	0.237223049	0.056274775	0.038895276
1.4	-5	5.995150926	6.192301994	0.197151068	0.038868544	0.03183809
1.8	-5	6.146761782	6.314132102	0.167370321	0.028012824	0.026507257
2.2	-5	6.30160888	6.462600113	0.160991234	0.025918177	0.024911217
2.6	-5	6.452951054	6.635601121	0.182650068	0.033361047	0.027525776
3	-5	6.607999524	6.830951895	0.222952371	0.04970776	0.032638551
3.4	-5	6.825077419	7.046486583	0.221409164	0.049022018	0.031421214
3.8	-5	7.074006898	7.280127387	0.206120489	0.042485656	0.028312759
4.2	-5	7.27987441	7.529931087	0.250056677	0.062528342	0.033208362
4.6	-5	7.422954537	7.794115101	0.371160564	0.137760164	0.047620616
5	-5	7.561555491	8.071067812	0.509512321	0.259602805	0.063128242
-5	-4.6	7.081580658	7.794115101	0.712534443	0.507705332	0.091419543
-4.6	-4.6	6.780928437	7.505382387	0.72445395	0.524833526	0.096524589
-4.2	-4.6	6.542593531	7.228964601	0.686371069	0.471105245	0.094947355
-3.8	-4.6	6.469909178	6.966573556	0.496664378	0.246675504	0.07129249
-3.4	-4.6	6.352853301	6.720139858	0.367286558	0.134899415	0.0546546
-3	-4.6	6.145380105	6.491812087	0.346431982	0.120015118	0.05336445
-2.6	-4.6	5.922671079	6.283937925	0.361266846	0.130513734	0.057490518
-2.2	-4.6	5.752606541	6.099019514	0.346412973	0.120001948	0.056798141
-1.8	-4.6	5.662152155	5.939635614	0.277483459	0.07699707	0.046717253
-1.4	-4.6	5.624146735	5.808326112	0.184179377	0.033922043	0.031709545
-1	-4.6	5.572886029	5.707440918	0.134554889	0.018105018	0.023575345
-0.6	-4.6	5.490430984	5.638965402	0.148534418	0.022062473	0.026340722
-0.2	-4.6	5.422325646	5.604345773	0.182020127	0.033131327	0.03247839
0.2	-4.6	5.419133192	5.604345773	0.185212582	0.0343037	0.033048029
