Long	Lat	Value	true-Value	abs-Resiual	SQ-Residual	R_error
-5	-5	7.709303929	8.071067812	0.361763883	0.130873107	0.044822307
-4.6	-5	7.558235908	7.794115101	0.235879193	0.055638994	0.030263755
-4.2	-5	7.412226605	7.529931087	0.117704482	0.013854345	0.015631548
-3.8	-5	7.181069902	7.280127387	0.099057486	0.009812385	0.013606559
-3.4	-5	6.875958154	7.046486583	0.17052843	0.029079945	0.02420049
-3	-5	6.591656744	6.830951895	0.23929515	0.057262169	0.035031011
-2.6	-5	6.214836878	6.635601121	0.420764243	0.177042548	0.063410117
-2.2	-5	5.885772947	6.462600113	0.576827167	0.33272958	0.089256206
-1.8	-5	5.738277565	6.314132102	0.575854538	0.331608449	0.091200901
-1.4	-5	5.740648031	6.192301994	0.451653963	0.203991302	0.072937974
-1	-5	5.735119753	6.099019514	0.363899761	0.132423036	0.059665289
-0.6	-5	5.74266687	6.035871325	0.293204455	0.085968853	0.048576989
-0.2	-5	5.759880132	6.003998401	0.244118269	0.059593729	0.040659283
0.2	-5	5.774843994	6.003998401	0.229154407	0.052511742	0.038166967
0.6	-5	5.796659052	6.035871325	0.239212273	0.057222512	0.039631772
1	-5	5.861796466	6.099019514	0.237223047	0.056274774	0.038895276
1.4	-5	5.995150924	6.192301994	0.19715107	0.038868544	0.03183809
1.8	-5	6.146761782	6.314132102	0.167370321	0.028012824	0.026507257
2.2	-5	6.30160888	6.462600113	0.160991234	0.025918177	0.024911217
2.6	-5	6.452951054	6.635601121	0.182650068	0.033361047	0.027525776
3	-5	6.607999529	6.830951895	0.222952366	0.049707758	0.03263855
3.4	-5	6.825077417	7.046486583	0.221409166	0.049022019	0.031421215
3.8	-5	7.074006905	7.280127387	0.206120483	0.042485653	0.028312758
4.2	-5	7.279874415	7.529931087	0.250056672	0.062528339	0.033208361
4.6	-5	7.42295454	7.794115101	0.37116056	0.137760162	0.047620616
5	-5	7.561555488	8.071067812	0.509512324	0.259602808	0.063128242
-5	-4.6	7.377339671	7.794115101	0.41677543	0.173701759	0.053473091
-4.6	-4.6	7.229171083	7.505382387	0.276211304	0.076292685	0.036801763
-4.2	-4.6	7.06308673	7.228964601	0.165877871	0.027515468	0.022946283
-3.8	-4.6	6.802249374	6.966573556	0.164324183	0.027002437	0.023587518
-3.4	-4.6	6.462336164	6.720139858	0.257803694	0.066462745	0.038362847
-3	-4.6	6.14230009	6.491812087	0.349511997	0.122158636	0.053838896
-2.6	-4.6	5.896544528	6.283937925	0.387393397	0.150073644	0.06164819
-2.2	-4.6	5.73502252	6.099019514	0.363996994	0.132493811	0.059681231
-1.8	-4.6	5.6514246	5.939635614	0.288211014	0.083065588	0.048523349
-1.4	-4.6	5.617411858	5.808326112	0.190914254	0.036448252	0.032869066
-1	-4.6	5.568250311	5.707440918	0.139190607	0.019374025	0.024387569
-0.6	-4.6	5.48727094	5.638965402	0.151694462	0.02301121	0.026901116
-0.2	-4.6	5.422325648	5.604345773	0.182020125	0.033131326	0.03247839
0.2	-4.6	5.41913319	5.604345773	0.185212584	0.034303701	0.033048029
0.6	-4.6	5.489084771	5.638965402	0.149880631	0.022464203	0.026579456
1	-4.6	5.603513338	5.707440918	0.103927581	0.010800942	0.018209138
1.4	-4.6	5.745938435	5.808326112	0.062387677	0.003892222	0.010741077
1.8	-4.6	5.90357672	5.939635614	0.036058894	0.001300244	0.006070893
2.2	-4.6	6.073541296	6.099019514	0.025478217	0.00064914	0.004177428
2.6	-4.6	6.251339189	6.283937925	0.032598736	0.001062678	0.005187629
3	-4.6	6.424818368	6.491812087	0.066993719	0.004488158	0.010319725
3.4	-4.6	6.585094545	6.720139858	0.135045313	0.018237237	0.020095611
3.8	-4.6	6.775800217	6.966573556	0.190773339	0.036394467	0.027384099
4.2	-4.6	7.044040857	7.228964601	0.184923744	0.034196791	0.025580945
4.6	-4.6	7.37429208	7.505382387	0.131090307	0.017184669	0.017466173
5	-4.6	7.679944184	7.794115101	0.114170917	0.013034998	0.014648349
-5	-4.2	7.061828355	7.529931087	0.468102732	0.219120168	0.062165606
-4.6	-4.2	6.942535581	7.228964601	0.28642902	0.082041584	0.039622413
-4.2	-4.2	6.770673619	6.939696962	0.169023343	0.02856889	0.024356012
-3.8	-4.2	6.475433379	6.663920903	0.188487524	0.035527547	0.028284778
-3.4	-4.2	6.070338303	6.403702434	0.333364131	0.111131644	0.05205803
-3	-4.2	5.686680103	6.16139516	0.474715058	0.225354386	0.077046683
-2.6	-4.2	5.604790235	5.939635614	0.334845379	0.112121428	0.056374734
-2.2	-4.2	5.632665716	5.741307836	0.10864212	0.01180311	0.018922887
-1.8	-4.2	5.601173444	5.569463864	0.031709581	0.001005498	0.005693471
-1.4	-4.2	5.505938136	5.427188724	0.078749411	0.00620147	0.014510166
-1	-4.2	5.405125161	5.317406629	0.087718532	0.007694541	0.016496487
-0.6	-4.2	5.20063829	5.242640687	0.042002397	0.001764201	0.008011687
-0.2	-4.2	5.024313696	5.204759208	0.180445512	0.032560583	0.03466933
0.2	-4.2	5.015854958	5.204759208	0.18890425	0.035684816	0.036294522
0.6	-4.2	5.160371571	5.242640687	0.082269116	0.006768207	0.015692305
1	-4.2	5.339505538	5.317406629	0.022098909	0.000488362	0.004155956
1.4	-4.2	5.490309651	5.427188724	0.063120927	0.003984251	0.011630502
1.8	-4.2	5.637438496	5.569463864	0.067974632	0.004620551	0.012204879
2.2	-4.2	5.819419567	5.741307836	0.07811173	0.006101442	0.013605215
2.6	-4.2	6.039901788	5.939635614	0.100266174	0.010053306	0.016880863
3	-4.2	6.244364603	6.16139516	0.082969442	0.006883928	0.013466015
3.4	-4.2	6.33182786	6.403702434	0.071874574	0.005165954	0.011223909
