Long	Lat	Value	true-Value	abs-Resiual	SQ-Residual	R_error
-5	-5	7.709303928	8.071067812	0.361763884	0.130873108	0.044822308
-4.6	-5	7.720139582	7.794115101	0.073975518	0.005472377	0.009491202
-4.2	-5	7.316599074	7.529931087	0.213332013	0.045510548	0.028331204
-3.8	-5	7.192557407	7.280127387	0.08756998	0.007668501	0.012028633
-3.4	-5	6.629379703	7.046486583	0.41710688	0.17397815	0.059193596
-3	-5	6.591656746	6.830951895	0.239295149	0.057262168	0.035031011
-2.6	-5	6.175601339	6.635601121	0.459999783	0.2115998	0.069323001
-2.2	-5	5.869705556	6.462600113	0.592894558	0.351523957	0.091742418
-1.8	-5	5.741213474	6.314132102	0.572918628	0.328235754	0.090735927
-1.4	-5	5.746587176	6.192301994	0.445714818	0.198661699	0.071978857
-1	-5	5.735119748	6.099019514	0.363899766	0.132423039	0.05966529
-0.6	-5	5.742440038	6.035871325	0.293431287	0.08610192	0.04861457
-0.2	-5	5.759880133	6.003998401	0.244118268	0.059593729	0.040659283
0.2	-5	5.774843994	6.003998401	0.229154407	0.052511742	0.038166967
0.6	-5	5.796659052	6.035871325	0.239212273	0.057222512	0.039631772
1	-5	5.861796466	6.099019514	0.237223048	0.056274774	0.038895276
1.4	-5	5.995150922	6.192301994	0.197151072	0.038868545	0.031838091
1.8	-5	6.146761782	6.314132102	0.167370321	0.028012824	0.026507257
2.2	-5	6.30160888	6.462600113	0.160991234	0.025918177	0.024911217
2.6	-5	6.452951054	6.635601121	0.182650068	0.033361047	0.027525776
3	-5	6.607999523	6.830951895	0.222952372	0.04970776	0.032638551
3.4	-5	6.825077421	7.046486583	0.221409162	0.049022017	0.031421214
3.8	-5	7.074006897	7.280127387	0.20612049	0.042485657	0.028312759
4.2	-5	7.279874408	7.529931087	0.250056679	0.062528343	0.033208362
4.6	-5	7.422954535	7.794115101	0.371160565	0.137760165	0.047620616
5	-5	7.56155549	8.071067812	0.509512321	0.259602806	0.063128242
-5	-4.6	7.558099706	7.794115101	0.236015395	0.055703267	0.03028123
-4.6	-4.6	6.878008985	7.505382387	0.627373402	0.393597385	0.083589799
-4.2	-4.6	6.946860564	7.228964601	0.282104037	0.079582688	0.039024128
-3.8	-4.6	7.353148822	6.966573556	0.386575266	0.149440436	0.055490014
-3.4	-4.6	6.834359761	6.720139858	0.114219903	0.013046186	0.016996656
-3	-4.6	6.273220168	6.491812087	0.218591919	0.047782427	0.033671942
-2.6	-4.6	5.875249013	6.283937925	0.408688912	0.167026627	0.06503707
-2.2	-4.6	5.712219066	6.099019514	0.386800448	0.149614586	0.063420103
-1.8	-4.6	5.655733112	5.939635614	0.283902502	0.080600631	0.047797966
-1.4	-4.6	5.620359476	5.808326112	0.187966637	0.035331456	0.032361585
-1	-4.6	5.56540918	5.707440918	0.142031738	0.020173015	0.024885363
-0.6	-4.6	5.485778125	5.638965402	0.153187277	0.023466342	0.027165848
-0.2	-4.6	5.422325648	5.604345773	0.182020125	0.033131326	0.032478389
0.2	-4.6	5.419133188	5.604345773	0.185212585	0.034303702	0.03304803
0.6	-4.6	5.489084771	5.638965402	0.149880631	0.022464203	0.026579456
1	-4.6	5.603513338	5.707440918	0.103927581	0.010800942	0.018209138
1.4	-4.6	5.745938433	5.808326112	0.062387679	0.003892222	0.010741077
