Long,Lat,Value,Name,min_distance,sum_min_distance,normalization_mutual_sparseness,self_mean_distance,self_density,Long1,Lat1,Value1,Name1,dDist,dV,dV_dDist,log10_nor_mutual_sp,log10_self_sp
-5,-5,8.071067812,name1,1,121,0.008264463,7.833176193,0.127662135,-5,-4,7.403124237,name2,1,0.667943574,0.667943574,-2.08278537,-0.893937895
-5,-4,7.403124237,name2,1,121,0.008264463,7.253565151,0.137863241,-5,-5,8.071067812,name1,1,0.667943574,0.667943574,-2.08278537,-0.860551516
-5,-3,6.830951895,name3,1,121,0.008264463,6.790631883,0.147261701,-5,-4,7.403124237,name2,1,0.572172343,0.572172343,-2.08278537,-0.831910188
-5,-2,6.385164807,name4,1,121,0.008264463,6.454082871,0.154940682,-5,-3,6.830951895,name3,1,0.445787088,0.445787088,-2.08278537,-0.809834537
-5,-1,6.099019514,name5,1,121,0.008264463,6.249941295,0.160001503,-5,-2,6.385164807,name4,1,0.286145294,0.286145294,-2.08278537,-0.795875938
-5,0,6,name6,1,121,0.008264463,6.181537935,0.16177204,-5,-1,6.099019514,name5,1,0.099019514,0.099019514,-2.08278537,-0.791096539
-5,1,6.099019514,name7,1,121,0.008264463,6.249941295,0.160001503,-5,0,6,name6,1,0.099019514,0.099019514,-2.08278537,-0.795875938
-5,2,6.385164807,name8,1,121,0.008264463,6.454082871,0.154940682,-5,1,6.099019514,name7,1,0.286145294,0.286145294,-2.08278537,-0.809834537
-5,3,6.830951895,name9,1,121,0.008264463,6.790631883,0.147261701,-5,2,6.385164807,name8,1,0.445787088,0.445787088,-2.08278537,-0.831910188
-5,4,7.403124237,name10,1,121,0.008264463,7.253565151,0.137863241,-5,3,6.830951895,name9,1,0.572172343,0.572172343,-2.08278537,-0.860551516
-5,5,8.071067812,name11,1,121,0.008264463,7.833176193,0.127662135,-5,4,7.403124237,name10,1,0.667943574,0.667943574,-2.08278537,-0.893937895
-4,-5,7.403124237,name12,1,121,0.008264463,7.253565151,0.137863241,-5,-5,8.071067812,name1,1,0.667943574,0.667943574,-2.08278537,-0.860551516
-4,-4,6.656854249,name13,1,121,0.008264463,6.636092425,0.15069109,-5,-4,7.403124237,name2,1,0.746269988,0.746269988,-2.08278537,-0.821912426
-4,-3,6,name14,1,121,0.008264463,6.143461389,0.162774686,-5,-3,6.830951895,name3,1,0.830951895,0.830951895,-2.08278537,-0.788413133
-4,-2,5.472135955,name15,1,121,0.008264463,5.785795393,0.172837083,-5,-2,6.385164807,name4,1,0.913028852,0.913028852,-2.08278537,-0.762363071
-4,-1,5.123105626,name16,1,121,0.008264463,5.569056015,0.179563645,-5,-1,6.099019514,name5,1,0.975913888,0.975913888,-2.08278537,-0.745781586
-4,0,5,name17,1,121,0.008264463,5.49646783,0.181935023,-5,0,6,name6,1,1,1,-2.08278537,-0.74008369
-4,1,5.123105626,name18,1,121,0.008264463,5.569056015,0.179563645,-5,1,6.099019514,name7,1,0.975913888,0.975913888,-2.08278537,-0.745781586
-4,2,5.472135955,name19,1,121,0.008264463,5.785795393,0.172837083,-5,2,6.385164807,name8,1,0.913028852,0.913028852,-2.08278537,-0.762363071
-4,3,6,name20,1,121,0.008264463,6.143461389,0.162774686,-5,3,6.830951895,name9,1,0.830951895,0.830951895,-2.08278537,-0.788413133
-4,4,6.656854249,name21,1,121,0.008264463,6.636092425,0.15069109,-5,4,7.403124237,name10,1,0.746269988,0.746269988,-2.08278537,-0.821912426
