Long,Lat,Value,Name
-5,-5,8.07106781186548,  name1
-5,-4,7.40312423743285,  name2
-5,-3,6.8309518948453,  name3
-5,-2,6.3851648071345,  name4
-5,-1,6.09901951359278,  name5
-5,0,6,  name6
-5,1,6.09901951359278,  name7
-5,2,6.3851648071345,  name8
-5,3,6.8309518948453,  name9
-5,4,7.40312423743285, name10
-5,5,8.07106781186548, name11
-4,-5,7.40312423743285, name12
-4,-4,6.65685424949238, name13
-4,-3,6, name14
-4,-2,5.47213595499958, name15
-4,-1,5.12310562561766, name16
-4,0,5, name17
-4,1,5.12310562561766, name18
-4,2,5.47213595499958, name19
-4,3,6, name20
-4,4,6.65685424949238, name21
-4,5,7.40312423743285, name22
-3,-5,6.8309518948453, name23
-3,-4,6, name24
-3,-3,5.24264068711928, name25
-3,-2,4.60555127546399, name26
-3,-1,4.16227766016838, name27
-3,0,4, name28
-3,1,4.16227766016838, name29
-3,2,4.60555127546399, name30
-3,3,5.24264068711928, name31
-3,4,6, name32
-3,5,6.8309518948453, name33
-2,-5,6.3851648071345, name34
-2,-4,5.47213595499958, name35
-2,-3,4.60555127546399, name36
-2,-2,3.82842712474619, name37
-2,-1,3.23606797749979, name38
-2,0,3, name39
-2,1,3.23606797749979, name40
-2,2,3.82842712474619, name41
-2,3,4.60555127546399, name42
-2,4,5.47213595499958, name43
-2,5,6.3851648071345, name44
-1,-5,6.09901951359278, name45
-1,-4,5.12310562561766, name46
-1,-3,4.16227766016838, name47
-1,-2,3.23606797749979, name48
-1,-1,2.41421356237309, name49
-1,0,2, name50
-1,1,2.41421356237309, name51
-1,2,3.23606797749979, name52
-1,3,4.16227766016838, name53
-1,4,5.12310562561766, name54
-1,5,6.09901951359278, name55
0,-5,6, name56
0,-4,5, name57
0,-3,4, name58
0,-2,3, name59
0,-1,2, name60
0,0,1, name61
0,1,2, name62
0,2,3, name63
0,3,4, name64
0,4,5, name65
0,5,6, name66
1,-5,6.09901951359278, name67
1,-4,5.12310562561766, name68
1,-3,4.16227766016838, name69
1,-2,3.23606797749979, name70
1,-1,2.41421356237309, name71
1,0,2, name72
1,1,2.41421356237309, name73
1,2,3.23606797749979, name74
1,3,4.16227766016838, name75
1,4,5.12310562561766, name76
1,5,6.09901951359278, name77
2,-5,6.3851648071345, name78
2,-4,5.47213595499958, name79
2,-3,4.60555127546399, name80
2,-2,3.82842712474619, name81
2,-1,3.23606797749979, name82
2,0,3, name83
2,1,3.23606797749979, name84
2,2,3.82842712474619, name85
2,3,4.60555127546399, name86
2,4,5.47213595499958, name87
2,5,6.3851648071345, name88
3,-5,6.8309518948453, name89
3,-4,6, name90
3,-3,5.24264068711928, name91
3,-2,4.60555127546399, name92
3,-1,4.16227766016838, name93
3,0,4, name94
3,1,4.16227766016838, name95
3,2,4.60555127546399, name96
3,3,5.24264068711928, name97
3,4,6, name98
3,5,6.8309518948453, name99
4,-5,7.40312423743285,name100
4,-4,6.65685424949238,name101
4,-3,6,name102
4,-2,5.47213595499958,name103
4,-1,5.12310562561766,name104
4,0,5,name105
4,1,5.12310562561766,name106
4,2,5.47213595499958,name107
4,3,6,name108
4,4,6.65685424949238,name109
4,5,7.40312423743285,name110
5,-5,8.07106781186548,name111
5,-4,7.40312423743285,name112
5,-3,6.8309518948453,name113
5,-2,6.3851648071345,name114
5,-1,6.09901951359278,name115
5,0,6,name116
5,1,6.09901951359278,name117
5,2,6.3851648071345,name118
5,3,6.8309518948453,name119
5,4,7.40312423743285,name120
5,5,8.07106781186548,name121
