Long,Lat,Value,Name,min_distance,sum_min_distance,normalization_mutual_sparseness,self_mean_distance,self_density,Long1,Lat1,Value1,Name1,dDist,dV,dV_dDist,log10_nor_mutual_sp,log10_self_sp
-5,-5,8.071067812,name1,1,117.04,0.008544087,7.809449309,0.128050002,-5,-4,7.403124237,name2,1,0.667943574,0.667943574,-2.068334313,-0.89262041
-5,-4,7.403124237,name2,1,117.04,0.008544087,7.229875143,0.138314975,-5,-5,8.071067812,name1,1,0.667943574,0.667943574,-2.068334313,-0.859130797
-5,-3,6.830951895,name3,1,117.04,0.008544087,6.767143181,0.147772845,-5,-4,7.403124237,name2,1,0.572172343,0.572172343,-2.068334313,-0.830405365
-5,-2,6.385164807,name4,1,117.04,0.008544087,6.431028618,0.15549612,-5,-3,6.830951895,name3,1,0.445787088,0.445787088,-2.068334313,-0.808280442
-5,-1,6.099019514,name5,1,117.04,0.008544087,6.227633424,0.160574641,-5,-2,6.385164807,name4,1,0.286145294,0.286145294,-2.068334313,-0.794323041
-5,0,6,name6,1,117.04,0.008544087,6.160363573,0.162328081,-5,-1,6.099019514,name5,1,0.099019514,0.099019514,-2.068334313,-0.789606344
-5,1,6.099019514,name7,1,117.04,0.008544087,6.230335162,0.160505009,-5,0,6,name6,1,0.099019514,0.099019514,-2.068334313,-0.79451141
-5,2,6.385164807,name8,1,117.04,0.008544087,6.436471944,0.155364617,-5,1,6.099019514,name7,1,0.286145294,0.286145294,-2.068334313,-0.808647881
-5,3,6.830951895,name9,1,117.04,0.008544087,6.775364652,0.147593532,-5,2,6.385164807,name8,1,0.445787088,0.445787088,-2.068334313,-0.830932674
-5,4,7.403124237,name10,1,117.04,0.008544087,7.240853036,0.138105275,-5,3,6.830951895,name9,1,0.572172343,0.572172343,-2.068334313,-0.859789733
-5,5,8.071067812,name11,1,117.04,0.008544087,7.823072166,0.12782702,-5,4,7.403124237,name10,1,0.667943574,0.667943574,-2.068334313,-0.893377337
-4,-5,7.403124237,name12,1,117.04,0.008544087,7.229875143,0.138314975,-5,-5,8.071067812,name1,1,0.667943574,0.667943574,-2.068334313,-0.859130797
-4,-4,6.656854249,name13,1,117.04,0.008544087,6.612305345,0.151233185,-5,-4,7.403124237,name2,1,0.746269988,0.746269988,-2.068334313,-0.8203529
-4,-3,6,name14,1,117.04,0.008544087,6.11972616,0.163406004,-5,-3,6.830951895,name3,1,0.830951895,0.830951895,-2.068334313,-0.786731989
-4,-2,5.472135955,name15,1,117.04,0.008544087,5.762347205,0.173540393,-5,-2,6.385164807,name4,1,0.913028852,0.913028852,-2.068334313,-0.760599423
-4,-1,5.123105626,name16,1,117.04,0.008544087,5.546242016,0.180302265,-5,-1,6.099019514,name5,1,0.975913888,0.975913888,-2.068334313,-0.743998817
-4,0,5,name17,1,117.04,0.008544087,5.474758566,0.182656457,-5,0,6,name6,1,1,1,-2.068334313,-0.738364972
-4,1,5.123105626,name18,1,117.04,0.008544087,5.549019217,0.180212027,-5,1,6.099019514,name7,1,0.975913888,0.975913888,-2.068334313,-0.744216229
-4,2,5.472135955,name19,1,117.04,0.008544087,5.768013613,0.17336991,-5,2,6.385164807,name8,1,0.913028852,0.913028852,-2.068334313,-0.761026277
-4,3,6,name20,1,117.04,0.008544087,6.128408712,0.163174496,-5,3,6.830951895,name9,1,0.830951895,0.830951895,-2.068334313,-0.787347721
-4,4,6.656854249,name21,1,117.04,0.008544087,6.624029053,0.150965521,-5,4,7.403124237,name10,1,0.746269988,0.746269988,-2.068334313,-0.821122229
-4,5,7.403124237,name22,1,117.04,0.008544087,7.244507973,0.138035599,-5,5,8.071067812,name11,1,0.667943574,0.667943574,-2.068334313,-0.860008895
-3,-5,6.830951895,name23,1,117.04,0.008544087,6.767143181,0.147772845,-4,-5,7.403124237,name12,1,0.572172343,0.572172343,-2.068334313,-0.830405365
-3,-4,6,name24,1,117.04,0.008544087,6.11972616,0.163406004,-4,-4,6.656854249,name13,1,0.656854249,0.656854249,-2.068334313,-0.786731989
-3,-3,5.242640687,name25,1,117.04,0.008544087,5.602938472,0.178477776,-4,-3,6,name14,1,0.757359313,0.757359313,-2.068334313,-0.748415853
-3,-2,4.605551275,name26,1,117.04,0.008544087,5.227967973,0.191278907,-4,-2,5.472135955,name15,1,0.86658468,0.86658468,-2.068334313,-0.718332918
-3,-1,4.16227766,name27,1,117.04,0.008544087,5.001209635,0.199951626,-4,-1,5.123105626,name16,1,0.960827965,0.960827965,-2.068334313,-0.699075059
-3,0,4,name28,1,117.04,0.008544087,4.92613438,0.202998928,-4,0,5,name17,1,1,1,-2.068334313,-0.692506255
-3,1,4.16227766,name29,1,117.04,0.008544087,5.003961729,0.199841656,-4,1,5.123105626,name18,1,0.960827965,0.960827965,-2.068334313,-0.69931398
-3,2,4.605551275,name30,1,117.04,0.008544087,5.233744356,0.191067796,-4,2,5.472135955,name19,1,0.86658468,0.86658468,-2.068334313,-0.718812506
