Long,Lat,Value,Name,min_distance,sum_min_distance,normalization_mutual_sparseness
-5,-5,8.07106781186548,name1,1,117.04,0.00854408749145591
-5,-4,7.40312423743285,name2,1,117.04,0.00854408749145591
-5,-3,6.8309518948453,name3,1,117.04,0.00854408749145591
-5,-2,6.3851648071345,name4,1,117.04,0.00854408749145591
-5,-1,6.09901951359278,name5,1,117.04,0.00854408749145591
-5,0,6,name6,1,117.04,0.00854408749145591
-5,1,6.09901951359278,name7,1,117.04,0.00854408749145591
-5,2,6.3851648071345,name8,1,117.04,0.00854408749145591
-5,3,6.8309518948453,name9,1,117.04,0.00854408749145591
-5,4,7.40312423743285,name10,1,117.04,0.00854408749145591
-5,5,8.07106781186548,name11,1,117.04,0.00854408749145591
-4,-5,7.40312423743285,name12,1,117.04,0.00854408749145591
-4,-4,6.65685424949238,name13,1,117.04,0.00854408749145591
-4,-3,6,name14,1,117.04,0.00854408749145591
-4,-2,5.47213595499958,name15,1,117.04,0.00854408749145591
-4,-1,5.12310562561766,name16,1,117.04,0.00854408749145591
-4,0,5,name17,1,117.04,0.00854408749145591
-4,1,5.12310562561766,name18,1,117.04,0.00854408749145591
-4,2,5.47213595499958,name19,1,117.04,0.00854408749145591
-4,3,6,name20,1,117.04,0.00854408749145591
-4,4,6.65685424949238,name21,1,117.04,0.00854408749145591
-4,5,7.40312423743285,name22,1,117.04,0.00854408749145591
-3,-5,6.8309518948453,name23,1,117.04,0.00854408749145591
-3,-4,6,name24,1,117.04,0.00854408749145591
-3,-3,5.24264068711928,name25,1,117.04,0.00854408749145591
-3,-2,4.60555127546399,name26,1,117.04,0.00854408749145591
-3,-1,4.16227766016838,name27,1,117.04,0.00854408749145591
-3,0,4,name28,1,117.04,0.00854408749145591
-3,1,4.16227766016838,name29,1,117.04,0.00854408749145591
-3,2,4.60555127546399,name30,1,117.04,0.00854408749145591
-3,3,5.24264068711928,name31,1,117.04,0.00854408749145591
-3,4,6,name32,1,117.04,0.00854408749145591
-3,5,6.8309518948453,name33,1,117.04,0.00854408749145591
-2,-5,6.3851648071345,name34,1,117.04,0.00854408749145591
-2,-4,5.47213595499958,name35,1,117.04,0.00854408749145591
