Long,Lat,Value,Name,min_distance,sum_min_distance,normalization_mutual_sparseness,self_mean_distance,self_density,Long1,Lat1,Value1,Name1,dDist,dV,dV_dDist,log10_nor_mutual_sp,log10_self_sp
-4.01,-4.01,6.670996385,name1,0.01,117.04,8.54E-05,6.619361041,0.00151072,-4.01,-4,6.663929731,name2,0.01,0.007066654,0.706665391,-4.068334313,-2.82081607
-4.01,-4,6.663929731,name2,0.01,117.04,8.54E-05,6.6136445,0.001512026,-4.01,-4.01,6.670996385,name1,0.01,0.007066654,0.706665391,-4.068334313,-2.820440847
-5,-3,6.830951895,name3,1,117.04,0.008544087,6.782354206,0.14744143,-5,-2,6.385164807,name4,1,0.445787088,0.445787088,-2.068334313,-0.831380467
-5,-2,6.385164807,name4,1,117.04,0.008544087,6.442040647,0.155230315,-5,-3,6.830951895,name3,1,0.445787088,0.445787088,-2.068334313,-0.809023461
-5,-1,6.099019514,name5,1,117.04,0.008544087,6.236411441,0.160348625,-5,-2,6.385164807,name4,1,0.286145294,0.286145294,-2.068334313,-0.79493476
-5,0,6,name6,1,117.04,0.008544087,6.167245264,0.162146948,-5,-1,6.099019514,name5,1,0.099019514,0.099019514,-2.068334313,-0.79009122
-5,1,6.099019514,name7,1,117.04,0.008544087,6.235191367,0.160380001,-5,0,6,name6,1,0.099019514,0.099019514,-2.068334313,-0.794849787
-5,2,6.385164807,name8,1,117.04,0.008544087,6.439030194,0.15530289,-5,1,6.099019514,name7,1,0.286145294,0.286145294,-2.068334313,-0.808820462
-5,3,6.830951895,name9,1,117.04,0.008544087,6.775364652,0.147593532,-5,2,6.385164807,name8,1,0.445787088,0.445787088,-2.068334313,-0.830932674
-5,4,7.403124237,name10,1,117.04,0.008544087,7.238138208,0.138157075,-5,3,6.830951895,name9,1,0.572172343,0.572172343,-2.068334313,-0.859626871
-5,5,8.071067812,name11,1,117.04,0.008544087,7.817625868,0.127916073,-5,4,7.403124237,name10,1,0.667943574,0.667943574,-2.068334313,-0.893074882
-4,-4.01,6.663929731,name12,0.01,117.04,8.54E-05,6.6136445,0.001512026,-4.01,-4.01,6.670996385,name1,0.01,0.007066654,0.706665391,-4.068334313,-2.820440847
-4,-4,6.656854249,name13,0.01,117.04,8.54E-05,6.607925163,0.001513334,-4.01,-4,6.663929731,name2,0.01,0.007075482,0.707548171,-4.068334313,-2.820065116
-4,-3,6,name14,1,117.04,0.008544087,6.121543205,0.163357501,-5,-3,6.830951895,name3,1,0.830951895,0.830951895,-2.068334313,-0.786860919
-4,-2,5.472135955,name15,1,117.04,0.008544087,5.765976262,0.173431168,-5,-2,6.385164807,name4,1,0.913028852,0.913028852,-2.068334313,-0.76087285
-4,-1,5.123105626,name16,1,117.04,0.008544087,5.550178098,0.180174398,-5,-1,6.099019514,name5,1,0.975913888,0.975913888,-2.068334313,-0.744306919
