Long,Lat,Value,Name
-5,-5,8.07106781186548,name1
-5,-4,7.40312423743285,name2
-5,-3,6.8309518948453,name3
-5,-2,6.3851648071345,name4
-5,-1,6.09901951359278,name5
-5,0,6,name6
-5,1,6.09901951359278,name7
-5,2,6.3851648071345,name8
-5,3,6.8309518948453,name9
-5,4,7.40312423743285,name10
-5,5,8.07106781186548,name11
-4,-5,7.40312423743285,name12
-4,-4,6.65685424949238,name13
-4,-3,6,name14
-4,-2,5.47213595499958,name15
-4,-1,5.12310562561766,name16
-4,0,5,name17
-4,1,5.12310562561766,name18
-4,2,5.47213595499958,name19
-4,3,6,name20
-4,4,6.65685424949238,name21
-4,5,7.40312423743285,name22
-3,-5,6.8309518948453,name23
-3,-4,6,name24
-3,-3,5.24264068711928,name25
-3,-2,4.60555127546399,name26
-3,-1,4.16227766016838,name27
-3,0,4,name28
-3,1,4.16227766016838,name29
-3,2,4.60555127546399,name30
-3,3,5.24264068711928,name31
-3,4,6,name32
-3,5,6.8309518948453,name33
-2,-5,6.3851648071345,name34
-2,-4,5.47213595499958,name35
-2,-3,4.60555127546399,name36
-2,-2,3.82842712474619,name37
-2,-1,3.23606797749979,name38
-2,0,3,name39
-2,1,3.23606797749979,name40
-2,2,3.82842712474619,name41
-2,3,4.60555127546399,name42
-2,4,5.47213595499958,name43
-2,5,6.3851648071345,name44
-1,-5,6.09901951359278,name45
-1,-4,5.12310562561766,name46
-1,-3,4.16227766016838,name47
-1,-2,3.23606797749979,name48
-1,-1,2.41421356237309,name49
-1,0,2,name50
-1,1,2.41421356237309,name51
-1,2,3.23606797749979,name52
-1,3,4.16227766016838,name53
-1,4,5.12310562561766,name54
-1,5,6.09901951359278,name55
0,-5,6,name56
0,-4,5,name57
0,-3,4,name58
0,-2,3,name59
0,-1,2,name60
0,0,1,name61
0,1,2,name62
0,2,3,name63
0,3,4,name64
0,4,5,name65
0,5,6,name66
1,-5,6.09901951359278,name67
1,-4,5.12310562561766,name68
1,-3,4.16227766016838,name69
1,-2,3.23606797749979,name70
1,-1,2.41421356237309,name71
1,0,2,name72
1,1,2.41421356237309,name73
1,2,3.23606797749979,name74
1,3,4.16227766016838,name75
1,4,5.12310562561766,name76
1,5,6.09901951359278,name77
2,-5,6.3851648071345,name78
2,-4,5.47213595499958,name79
2,-3,4.60555127546399,name80
2,-2,3.82842712474619,name81
2,-1,3.23606797749979,name82
2,0,3,name83
2,1,3.23606797749979,name84
2,2,3.82842712474619,name85
2,3,4.60555127546399,name86
2,4,5.47213595499958,name87
2,5,6.3851648071345,name88
3,-5,6.8309518948453,name89
3,-4,6,name90
3,-3,5.24264068711928,name91
3,-2,4.60555127546399,name92
3,-1,4.16227766016838,name93
3,0,4,name94
3,1,4.16227766016838,name95
3,2,4.60555127546399,name96
3,3,5.24264068711928,name97
3,4,6,name98
3,5,6.8309518948453,name99
4,-5,7.40312423743285,name100
4,-4,6.65685424949238,name101
4,-3,6,name102
4,-2,5.47213595499958,name103
4,-1,5.12310562561766,name104
4,0,5,name105
4,1,5.12310562561766,name106
4,2,5.47213595499958,name107
4,3,6,name108
4,4,6.65685424949238,name109
4,5,7.40312423743285,name110
5,-5,8.07106781186548,name111
5,-4,7.40312423743285,name112
5,-3,6.8309518948453,name113
5,-2,6.3851648071345,name114
5,-1,6.09901951359278,name115
5,0,6,name116
5,1,6.09901951359278,name117
5,2,6.3851648071345,name118
5,3,6.8309518948453,name119
5,4,7.40312423743285,name120
5,5,8.07106781186548,name121
-4.0745209843403,-4.07759599691758,6.7644176085627,name122
-4.03321672729863,-4.01556078434728,6.69135885199213,name123
-4.0655537588699,-4.02194803472686,6.71881048473408,name124
-4.0324667934253,-4.09932846856815,6.75024193693544,name125
-4.03978295124182,-4.0613228805479,6.72836711753061,name126
-4.00840087558686,-4.09988489428709,6.73378877582781,name127
-4.05375508407577,-4.05756509601846,6.73557013644654,name128
-4.0539083633971,-4.02298402713914,6.71126724129047,name129
-4.06775281928132,-4.02152607052393,6.72007735390657,name130
-4.05286428462894,-4.09642372667309,6.76249913302129,name131
-4.08241255843165,-4.02782419666089,6.73493330880555,name132
-4.05265140070347,-4.08472787995618,6.75404077400526,name133
-4.06588753929509,-4.03926107862317,6.73123647596878,name134
-4.08082547445382,-4.02615731600231,6.73263284068936,name135
-4.07571504016818,-4.00825756579506,6.71643086220821,name136
-4.0730938413314,-4.02344999833786,6.72522867049139,name137
-4.08113380232085,-4.07125018269339,6.76461023509194,name138
-4.09088865363135,-4.0423790619337,6.75119104679802,name139
-4.03166367567053,-4.04534068854097,6.71131274577801,name140
-4.05742711581288,-4.03555572185687,6.72262394224409,name141
-4.03523823698273,-4.03209832459068,6.70446882087846,name142
-4.03642132894859,-4.00548258868906,6.68652687614174,name143
-4.0791065077574,-4.02907182972895,6.73345704708286,name144
-4.07637694230062,-4.08806037522027,6.77313490290728,name145
-4.03926960593144,-4.05498623030341,6.7235139798337,name146
