Long,Lat,Value,true-Value,abs-Resiual,SQ-Residual,R_error
-5,-5,8.071067813,8.071067812,1.49212E-09,2.22643E-18,1.84873E-10
-4.6,-5,7.805541466,7.794115101,0.011426365,0.000130562,0.001466025
-4.2,-5,7.534443178,7.529931087,0.004512091,2.0359E-05,0.000599221
-3.8,-5,7.278316872,7.280127387,0.001810516,3.27797E-06,0.000248693
-3.4,-5,7.044409137,7.046486583,0.002077447,4.31578E-06,0.00029482
-3,-5,6.830951894,6.830951895,6.62401E-10,4.38775E-19,9.69705E-11
-2.6,-5,6.635151524,6.635601121,0.000449598,2.02138E-07,6.77554E-05
-2.2,-5,6.462445867,6.462600113,0.000154247,2.37921E-08,2.38676E-05
-1.8,-5,6.313978234,6.314132102,0.000153868,2.36755E-08,2.43689E-05
-1.4,-5,6.19206269,6.192301994,0.000239304,5.72663E-08,3.86454E-05
-1,-5,6.099019513,6.099019514,5.13085E-10,2.63256E-19,8.41258E-11
-0.6,-5,6.035713992,6.035871325,0.000157333,2.47537E-08,2.60664E-05
-0.2,-5,6.003871228,6.003998401,0.000127173,1.61731E-08,2.11815E-05
0.2,-5,6.003871225,6.003998401,0.000127176,1.61737E-08,2.11819E-05
0.6,-5,6.035713993,6.035871325,0.000157331,2.47532E-08,2.60661E-05
1,-5,6.099019512,6.099019514,1.63208E-09,2.6637E-18,2.67598E-10
1.4,-5,6.192062687,6.192301994,0.000239307,5.72678E-08,3.86459E-05
1.8,-5,6.313978234,6.314132102,0.000153868,2.36753E-08,2.43688E-05
2.2,-5,6.462445863,6.462600113,0.000154251,2.37934E-08,2.38683E-05
2.6,-5,6.635151523,6.635601121,0.000449599,2.02139E-07,6.77555E-05
3,-5,6.830951893,6.830951895,1.425E-09,2.03063E-18,2.08609E-10
3.4,-5,7.044409137,7.046486583,0.002077446,4.31578E-06,0.00029482
3.8,-5,7.278316871,7.280127387,0.001810516,3.27797E-06,0.000248693
4.2,-5,7.534443177,7.529931087,0.00451209,2.0359E-05,0.000599221
4.6,-5,7.805541465,7.794115101,0.011426364,0.000130562,0.001466025
5,-5,8.071067814,8.071067812,1.86022E-09,3.46043E-18,2.30481E-10
-5,-4.6,7.805541467,7.794115101,0.011426366,0.000130562,0.001466025
-4.6,-4.6,7.529155297,7.505382387,0.02377291,0.000565151,0.003167448
-4.2,-4.6,7.245497373,7.228964601,0.016532772,0.000273333,0.002287018
-3.8,-4.6,6.975502286,6.966573556,0.00892873,7.97222E-05,0.001281653
-3.4,-4.6,6.726856036,6.720139858,0.006716177,4.5107E-05,0.00099941
-3,-4.6,6.499219875,6.491812087,0.007407788,5.48753E-05,0.001141097
-2.6,-4.6,6.290183631,6.283937925,0.006245706,3.90088E-05,0.000993916
-2.2,-4.6,6.104851507,6.099019514,0.005831993,3.40121E-05,0.000956218
-1.8,-4.6,5.945644439,5.939635614,0.006008825,3.6106E-05,0.001011649
-1.4,-4.6,5.813778232,5.808326112,0.00545212,2.97256E-05,0.000938673
-1,-4.6,5.712688849,5.707440918,0.00524793,2.75408E-05,0.000919489
-0.6,-4.6,5.644549614,5.638965402,0.005584212,3.11834E-05,0.00099029
-0.2,-4.6,5.609491943,5.604345773,0.00514617,2.64831E-05,0.000918246
0.2,-4.6,5.609491942,5.604345773,0.005146168,2.6483E-05,0.000918246
0.6,-4.6,5.644549617,5.638965402,0.005584216,3.11835E-05,0.000990291
1,-4.6,5.71268885,5.707440918,0.005247932,2.75408E-05,0.000919489
1.4,-4.6,5.813778233,5.808326112,0.005452121,2.97256E-05,0.000938673
1.8,-4.6,5.945644441,5.939635614,0.006008827,3.6106E-05,0.001011649
2.2,-4.6,6.104851507,6.099019514,0.005831993,3.40121E-05,0.000956218
2.6,-4.6,6.290183632,6.283937925,0.006245707,3.90089E-05,0.000993916
3,-4.6,6.499219863,6.491812087,0.007407776,5.48751E-05,0.001141095
3.4,-4.6,6.726856036,6.720139858,0.006716178,4.5107E-05,0.00099941
3.8,-4.6,6.975502285,6.966573556,0.008928729,7.97222E-05,0.001281653
4.2,-4.6,7.245497372,7.228964601,0.016532771,0.000273333,0.002287018
4.6,-4.6,7.529155296,7.505382387,0.023772909,0.000565151,0.003167448
5,-4.6,7.805541474,7.794115101,0.011426373,0.000130562,0.001466026
-5,-4.2,7.534443176,7.529931087,0.004512089,2.03589E-05,0.00059922
-4.6,-4.2,7.245497369,7.228964601,0.016532768,0.000273332,0.002287017
-4.2,-4.2,6.950780939,6.939696962,0.011083977,0.000122855,0.001597185
-3.8,-4.2,6.667963859,6.663920903,0.004042955,1.63455E-05,0.000606693
-3.4,-4.2,6.406432063,6.403702434,0.002729629,7.45087E-06,0.000426258
-3,-4.2,6.164599983,6.16139516,0.003204822,1.02709E-05,0.000520146
-2.6,-4.2,5.944582892,5.939635614,0.004947278,2.44756E-05,0.000832926
-2.2,-4.2,5.744890927,5.741307836,0.003583091,1.28385E-05,0.00062409
-1.8,-4.2,5.573018797,5.569463864,0.003554934,1.26376E-05,0.00063829
-1.4,-4.2,5.431611182,5.427188724,0.004422458,1.95581E-05,0.000814871
-1,-4.2,5.319636402,5.317406629,0.002229773,4.97189E-06,0.000419335
-0.6,-4.2,5.246758162,5.242640687,0.004117475,1.69536E-05,0.000785382
-0.2,-4.2,5.207892012,5.204759208,0.003132804,9.81446E-06,0.000601911
0.2,-4.2,5.207892008,5.204759208,0.003132799,9.81443E-06,0.000601911
0.6,-4.2,5.246758157,5.242640687,0.00411747,1.69536E-05,0.000785381
1,-4.2,5.319636397,5.317406629,0.002229768,4.97186E-06,0.000419334
1.4,-4.2,5.431611183,5.427188724,0.004422458,1.95581E-05,0.000814871
1.8,-4.2,5.573018785,5.569463864,0.003554922,1.26375E-05,0.000638288
2.2,-4.2,5.744890927,5.741307836,0.003583091,1.28385E-05,0.00062409
2.6,-4.2,5.944582887,5.939635614,0.004947273,2.44755E-05,0.000832925
3,-4.2,6.164599979,6.16139516,0.003204818,1.02709E-05,0.000520145
3.4,-4.2,6.406432064,6.403702434,0.00272963,7.45088E-06,0.000426258
3.8,-4.2,6.667963856,6.663920903,0.004042953,1.63455E-05,0.000606693
4.2,-4.2,6.950780935,6.939696962,0.011083973,0.000122854,0.001597184
4.6,-4.2,7.245497372,7.228964601,0.016532771,0.000273333,0.002287018
5,-4.2,7.53444318,7.529931087,0.004512093,2.0359E-05,0.000599221
-5,-3.8,7.278316868,7.280127387,0.00181052,3.27798E-06,0.000248693
-4.6,-3.8,6.975502283,6.966573556,0.008928727,7.97222E-05,0.001281653
-4.2,-3.8,6.667963856,6.663920903,0.004042953,1.63455E-05,0.000606693
-3.8,-3.8,6.372347327,6.374011537,0.00166421,2.7696E-06,0.000261093
-3.4,-3.8,6.097672153,6.099019514,0.001347361,1.81538E-06,0.000220914
-3,-3.8,5.840308291,5.841487375,0.001179084,1.39024E-06,0.000201846
-2.6,-3.8,5.605368593,5.604345773,0.00102282,1.04616E-06,0.000182505
-2.2,-3.8,5.390678363,5.39089968,0.000221317,4.8981E-08,4.10537E-05
-1.8,-3.8,5.204578963,5.204759208,0.000180246,3.24885E-08,3.46309E-05
-1.4,-3.8,5.050567974,5.049691346,0.000876627,7.68476E-07,0.0001736
-1,-3.8,4.928293119,4.929376541,0.001083422,1.1738E-06,0.000219789
-0.6,-3.8,4.847486315,4.847076812,0.000409502,1.67692E-07,8.44844E-05
-0.2,-3.8,4.804785774,4.805259518,0.000473744,2.24434E-07,9.85887E-05
0.2,-3.8,4.804997488,4.805259518,0.00026203,6.86595E-08,5.45298E-05
0.6,-3.8,4.847486314,4.847076812,0.000409502,1.67692E-07,8.44842E-05
1,-3.8,4.928293118,4.929376541,0.001083423,1.1738E-06,0.000219789
1.4,-3.8,5.050567978,5.049691346,0.000876631,7.68483E-07,0.000173601
1.8,-3.8,5.204800589,5.204759208,4.13807E-05,1.71236E-09,7.95055E-06
2.2,-3.8,5.39067837,5.39089968,0.00022131,4.89781E-08,4.10525E-05
2.6,-3.8,5.605368594,5.604345773,0.001022821,1.04616E-06,0.000182505
3,-3.8,5.840308295,5.841487375,0.00117908,1.39023E-06,0.000201846
3.4,-3.8,6.097672152,6.099019514,0.001347361,1.81538E-06,0.000220914
3.8,-3.8,6.372347324,6.374011537,0.001664213,2.76961E-06,0.000261094
4.2,-3.8,6.667963861,6.663920903,0.004042957,1.63455E-05,0.000606693
4.6,-3.8,6.975502281,6.966573556,0.008928725,7.97221E-05,0.001281652
5,-3.8,7.278316865,7.280127387,0.001810522,3.27799E-06,0.000248694
-5,-3.4,7.044409136,7.046486583,0.002077447,4.31579E-06,0.00029482
-4.6,-3.4,6.726856035,6.720139858,0.006716176,4.5107E-05,0.00099941
-4.2,-3.4,6.406432066,6.403702434,0.002729631,7.45089E-06,0.000426258
-3.8,-3.4,6.097672154,6.099019514,0.001347359,1.81538E-06,0.000220914
-3.4,-3.4,5.806889037,5.808326112,0.001437075,2.06518E-06,0.000247416
-3,-3.4,5.533337643,5.53431362,0.000975977,9.52531E-07,0.00017635
-2.6,-3.4,5.279708966,5.280186912,0.000477946,2.28432E-07,9.05168E-05
-2.2,-3.4,5.049080947,5.049691346,0.000610399,3.72588E-07,0.000120879
-1.8,-3.4,4.846698913,4.847076812,0.000377899,1.42808E-07,7.79644E-05
-1.4,-3.4,4.676398582,4.676955262,0.00055668,3.09893E-07,0.000119026
-1,-3.4,4.542798942,4.544009029,0.001210088,1.46431E-06,0.000266304
-0.6,-3.4,4.451528584,4.4525353,0.001006716,1.01348E-06,0.0002261
-0.2,-3.4,4.404722718,4.405877273,0.001154556,1.333E-06,0.000262049
0.2,-3.4,4.404722716,4.405877273,0.001154557,1.333E-06,0.000262049
0.6,-3.4,4.451528581,4.4525353,0.001006719,1.01348E-06,0.0002261
1,-3.4,4.542798936,4.544009029,0.001210094,1.46433E-06,0.000266305
1.4,-3.4,4.676175183,4.676955262,0.000780079,6.08524E-07,0.000166792
1.8,-3.4,4.846698908,4.847076812,0.000377904,1.42811E-07,7.79653E-05
2.2,-3.4,5.049080951,5.049691346,0.000610395,3.72582E-07,0.000120878
2.6,-3.4,5.279708961,5.280186912,0.000477951,2.28437E-07,9.05178E-05
3,-3.4,5.533337641,5.53431362,0.000975978,9.52534E-07,0.00017635
3.4,-3.4,5.806889037,5.808326112,0.001437075,2.06518E-06,0.000247416
3.8,-3.4,6.097672152,6.099019514,0.001347362,1.81538E-06,0.000220914
4.2,-3.4,6.406432064,6.403702434,0.00272963,7.45088E-06,0.000426258
4.6,-3.4,6.726856033,6.720139858,0.006716175,4.5107E-05,0.00099941
5,-3.4,7.04440913,7.046486583,0.002077453,4.31581E-06,0.000294821
-5,-3,6.830951897,6.830951895,1.8581E-09,3.45253E-18,2.72012E-10
-4.6,-3,6.499427636,6.491812087,0.007615549,5.79966E-05,0.001173101
-4.2,-3,6.164618527,6.16139516,0.003223367,1.03901E-05,0.000523155
-3.8,-3,5.84030829,5.841487375,0.001179085,1.39024E-06,0.000201847
-3.4,-3,5.533337646,5.53431362,0.000975973,9.52524E-07,0.000176349
-3,-3,5.242640688,5.242640687,6.32615E-10,4.00202E-19,1.20667E-10
-2.6,-3,4.970278191,4.969886648,0.000391543,1.53306E-07,7.87831E-05
-2.2,-3,4.720561557,4.720215048,0.000346509,1.20069E-07,7.34096E-05
-1.8,-3,4.498821912,4.498571137,0.000250775,6.28882E-08,5.57455E-05
-1.4,-3,4.311125295,4.310589071,0.000536224,2.87536E-07,0.000124397
-1,-3,4.16227766,4.16227766,9.15197E-11,8.37585E-21,2.19879E-11
-0.6,-3,4.060159868,4.059411708,0.00074816,5.59744E-07,0.000184303
-0.2,-3,4.00732082,4.006659276,0.000661544,4.37641E-07,0.000165111
0.2,-3,4.00723294,4.006659276,0.000573665,3.29091E-07,0.000143178
0.6,-3,4.059940647,4.059411708,0.000528939,2.79777E-07,0.000130299
1,-3,4.16227766,4.16227766,1.2092E-10,1.46217E-20,2.90514E-11
1.4,-3,4.311125296,4.310589071,0.000536224,2.87537E-07,0.000124397
1.8,-3,4.498735478,4.498571137,0.000164341,2.70079E-08,3.65318E-05
2.2,-3,4.720504133,4.720215048,0.000289086,8.35706E-08,6.12442E-05
2.6,-3,4.970278189,4.969886648,0.000391541,1.53304E-07,7.87827E-05
3,-3,5.242640688,5.242640687,6.95815E-10,4.84158E-19,1.32722E-10
3.4,-3,5.533337646,5.53431362,0.000975974,9.52524E-07,0.00017635
3.8,-3,5.840308291,5.841487375,0.001179084,1.39024E-06,0.000201846
4.2,-3,6.164618536,6.16139516,0.003223375,1.03901E-05,0.000523157
4.6,-3,6.499427639,6.491812087,0.007615552,5.79966E-05,0.001173101
5,-3,6.83095189,6.830951895,4.7041E-09,2.21286E-17,6.88645E-10
-5,-2.6,6.635151524,6.635601121,0.000449597,2.02138E-07,6.77553E-05
-4.6,-2.6,6.290183631,6.283937925,0.006245705,3.90088E-05,0.000993916
-4.2,-2.6,5.94458289,5.939635614,0.004947276,2.44755E-05,0.000832926
-3.8,-2.6,5.605368592,5.604345773,0.001022818,1.04616E-06,0.000182505
-3.4,-2.6,5.279708963,5.280186912,0.000477949,2.28435E-07,9.05174E-05
-3,-2.6,4.969943514,4.969886648,5.68661E-05,3.23375E-09,1.14421E-05
-2.6,-2.6,4.678287245,4.676955262,0.001331983,1.77418E-06,0.000284797
