Long	Lat	Value	true-Value	abs-Resiual	SQ-Residual	R_error
-5	-5	7.836938601	8.071067812	0.234129211	0.054816488	0.029008455
-4.6	-5	7.624792911	7.794115101	0.16932219	0.028670004	0.021724364
-4.2	-5	7.419295546	7.529931087	0.110635541	0.012240223	0.014692769
-3.8	-5	7.215722494	7.280127387	0.064404893	0.00414799	0.008846671
-3.4	-5	7.0188141	7.046486583	0.027672483	0.000765766	0.003927132
-3	-5	6.830951898	6.830951895	2.9294E-09	8.58138E-18	4.28842E-10
-2.6	-5	6.63809994	6.635601121	0.002498818	6.24409E-06	0.000376578
-2.2	-5	6.463364268	6.462600113	0.000764154	5.83932E-07	0.000118243
-1.8	-5	6.313480672	6.314132102	0.00065143	4.24361E-07	0.00010317
-1.4	-5	6.191586922	6.192301994	0.000715072	5.11328E-07	0.000115478
-1	-5	6.099019509	6.099019514	4.21758E-09	1.7788E-17	6.91518E-10
-0.6	-5	6.035737005	6.035871325	0.00013432	1.80418E-08	2.22536E-05
-0.2	-5	6.003871226	6.003998401	0.000127175	1.61735E-08	2.11817E-05
0.2	-5	6.003871228	6.003998401	0.000127173	1.6173E-08	2.11814E-05
0.6	-5	6.035713989	6.035871325	0.000157335	2.47544E-08	2.60667E-05
1	-5	6.099019512	6.099019514	1.57138E-09	2.46925E-18	2.57645E-10
1.4	-5	6.192062688	6.192301994	0.000239307	5.72677E-08	3.86458E-05
1.8	-5	6.313978235	6.314132102	0.000153868	2.36753E-08	2.43688E-05
2.2	-5	6.462445862	6.462600113	0.000154251	2.37934E-08	2.38683E-05
2.6	-5	6.635151523	6.635601121	0.000449599	2.02139E-07	6.77555E-05
3	-5	6.830951897	6.830951895	2.0442E-09	4.17875E-18	2.99255E-10
3.4	-5	7.044409136	7.046486583	0.002077447	4.31579E-06	0.00029482
3.8	-5	7.278316864	7.280127387	0.001810523	3.27799E-06	0.000248694
4.2	-5	7.53444317	7.529931087	0.004512083	2.03589E-05	0.00059922
4.6	-5	7.805541458	7.794115101	0.011426357	0.000130562	0.001466024
5	-5	8.071067811	8.071067812	7.13476E-10	5.09047E-19	8.83991E-11
-5	-4.6	7.624792925	7.794115101	0.169322176	0.028669999	0.021724362
-4.6	-4.6	7.403325305	7.505382387	0.102057082	0.010415648	0.013597852
-4.2	-4.6	7.174330625	7.228964601	0.054633976	0.002984871	0.007557649
-3.8	-4.6	6.943443033	6.966573556	0.023130523	0.000535021	0.003320215
-3.4	-4.6	6.719625501	6.720139858	0.000514357	2.64563E-07	7.65397E-05
-3	-4.6	6.504257325	6.491812087	0.012445238	0.000154884	0.001917067
-2.6	-4.6	6.297091038	6.283937925	0.013153113	0.000173004	0.002093132
-2.2	-4.6	6.109046463	6.099019514	0.010026949	0.00010054	0.001644026
-1.8	-4.6	5.948619916	5.939635614	0.008984302	8.07177E-05	0.001512601
-1.4	-4.6	5.814347074	5.808326112	0.006020961	3.6252E-05	0.001036609
-1	-4.6	5.713169982	5.707440918	0.005729063	3.28222E-05	0.001003788
-0.6	-4.6	5.645190648	5.638965402	0.006225246	3.87537E-05	0.00110397
-0.2	-4.6	5.609491942	5.604345773	0.005146169	2.64831E-05	0.000918246
0.2	-4.6	5.609491942	5.604345773	0.005146168	2.6483E-05	0.000918246
0.6	-4.6	5.644549617	5.638965402	0.005584215	3.11835E-05	0.000990291
1	-4.6	5.71268885	5.707440918	0.005247931	2.75408E-05	0.000919489
1.4	-4.6	5.813778233	5.808326112	0.00545212	2.97256E-05	0.000938673
1.8	-4.6	5.945644438	5.939635614	0.006008824	3.6106E-05	0.001011649
2.2	-4.6	6.104851507	6.099019514	0.005831993	3.40121E-05	0.000956218
2.6	-4.6	6.290183631	6.283937925	0.006245706	3.90088E-05	0.000993916
3	-4.6	6.49942764	6.491812087	0.007615553	5.79966E-05	0.001173101
3.4	-4.6	6.726856037	6.720139858	0.006716179	4.51071E-05	0.000999411
3.8	-4.6	6.975502281	6.966573556	0.008928725	7.97221E-05	0.001281652
4.2	-4.6	7.245497372	7.228964601	0.016532771	0.000273333	0.002287018
4.6	-4.6	7.529155296	7.505382387	0.023772909	0.000565151	0.003167448
5	-4.6	7.805541462	7.794115101	0.011426362	0.000130562	0.001466024
-5	-4.2	7.419295565	7.529931087	0.110635522	0.012240219	0.014692767
-4.6	-4.2	7.174330616	7.228964601	0.054633984	0.002984872	0.00755765
-4.2	-4.2	6.920009525	6.939696962	0.019687437	0.000387595	0.00283693
-3.8	-4.2	6.66301562	6.663920903	0.000905284	8.19539E-07	0.000135849
-3.4	-4.2	6.408828968	6.403702434	0.005126533	2.62813E-05	0.000800558
-3	-4.2	6.166930495	6.16139516	0.005535335	3.06399E-05	0.00089839
-2.6	-4.2	5.9476988	5.939635614	0.008063186	6.5015E-05	0.001357522
-2.2	-4.2	5.747012354	5.741307836	0.005704517	3.25415E-05	0.000993592
-1.8	-4.2	5.574041251	5.569463864	0.004577387	2.09525E-05	0.000821872
-1.4	-4.2	5.431868437	5.427188724	0.004679712	2.18997E-05	0.000862272
-1	-4.2	5.320465379	5.317406629	0.00305875	9.35595E-06	0.000575233
-0.6	-4.2	5.246758164	5.242640687	0.004117476	1.69536E-05	0.000785382
-0.2	-4.2	5.207892014	5.204759208	0.003132805	9.81447E-06	0.000601912
0.2	-4.2	5.207892009	5.204759208	0.003132801	9.81444E-06	0.000601911
0.6	-4.2	5.246758159	5.242640687	0.004117471	1.69536E-05	0.000785381
1	-4.2	5.319636398	5.317406629	0.002229769	4.97187E-06	0.000419334
1.4	-4.2	5.431611184	5.427188724	0.00442246	1.95581E-05	0.000814871
1.8	-4.2	5.573018785	5.569463864	0.003554922	1.26375E-05	0.000638288
2.2	-4.2	5.744890931	5.741307836	0.003583095	1.28386E-05	0.00062409
2.6	-4.2	5.944582887	5.939635614	0.004947273	2.44755E-05	0.000832925
3	-4.2	6.164618534	6.16139516	0.003223374	1.03901E-05	0.000523157
3.4	-4.2	6.406432064	6.403702434	0.002729629	7.45088E-06	0.000426258
3.8	-4.2	6.667963857	6.663920903	0.004042953	1.63455E-05	0.000606693
4.2	-4.2	6.950780935	6.939696962	0.011083973	0.000122854	0.001597184
4.6	-4.2	7.245497368	7.228964601	0.016532767	0.000273332	0.002287017
5	-4.2	7.534443174	7.529931087	0.004512087	2.03589E-05	0.00059922
-5	-3.8	7.215722513	7.280127387	0.064404874	0.004147988	0.008846669
-4.6	-3.8	6.943443057	6.966573556	0.023130499	0.00053502	0.003320212
-4.2	-3.8	6.66301559	6.663920903	0.000905313	8.19592E-07	0.000135853
-3.8	-3.8	6.379586508	6.374011537	0.005574971	3.10803E-05	0.000874641
-3.4	-3.8	6.103005057	6.099019514	0.003985543	1.58846E-05	0.000653473
-3	-3.8	5.8409416	5.841487375	0.000545775	2.9787E-07	9.34308E-05
-2.6	-3.8	5.605491777	5.604345773	0.001146003	1.31332E-06	0.000204485
-2.2	-3.8	5.390964529	5.39089968	6.48488E-05	4.20536E-09	1.20293E-05
-1.8	-3.8	5.203772351	5.204759208	0.000986857	9.73887E-07	0.000189607
-1.4	-3.8	5.049763418	5.049691346	7.20715E-05	5.1943E-09	1.42725E-05
-1	-3.8	4.928293119	4.929376541	0.001083421	1.1738E-06	0.000219789
