Long,Lat,Value,true-Value,abs-Resiual,SQ-Residual,R_error
-5,-5,7.88557087,8.071067812,0.185496942,0.034409115,0.022982949
-4.6,-5,7.671973368,7.794115101,0.122141732,0.014918603,0.01567102
-4.2,-5,7.456454535,7.529931087,0.073476552,0.005398804,0.009757931
-3.8,-5,7.238118125,7.280127387,0.042009262,0.001764778,0.005770402
-3.4,-5,7.028253459,7.046486583,0.018233124,0.000332447,0.002587548
-3,-5,6.830951897,6.830951895,2.1841E-09,4.77029E-18,3.19736E-10
-2.6,-5,6.636841032,6.635601121,0.00123991,1.53738E-06,0.000186857
-2.2,-5,6.462937173,6.462600113,0.00033706,1.13609E-07,5.21554E-05
-1.8,-5,6.313677923,6.314132102,0.00045418,2.06279E-07,7.19306E-05
-1.4,-5,6.191787407,6.192301994,0.000514587,2.648E-07,8.31011E-05
-1,-5,6.099019518,6.099019514,4.09392E-09,1.67601E-17,6.71242E-10
-0.6,-5,6.035634335,6.035871325,0.00023699,5.61643E-08,3.92636E-05
-0.2,-5,6.003871228,6.003998401,0.000127173,1.61729E-08,2.11814E-05
0.2,-5,6.003871228,6.003998401,0.000127173,1.61729E-08,2.11814E-05
0.6,-5,6.035713992,6.035871325,0.000157333,2.47536E-08,2.60663E-05
1,-5,6.099019512,6.099019514,1.70408E-09,2.90391E-18,2.79403E-10
1.4,-5,6.192062687,6.192301994,0.000239307,5.72678E-08,3.86459E-05
1.8,-5,6.313978234,6.314132102,0.000153868,2.36753E-08,2.43688E-05
2.2,-5,6.462445863,6.462600113,0.000154251,2.37934E-08,2.38682E-05
2.6,-5,6.635151523,6.635601121,0.000449599,2.02139E-07,6.77555E-05
3,-5,6.830951894,6.830951895,3.57701E-10,1.2795E-19,5.23647E-11
3.4,-5,7.04440914,7.046486583,0.002077444,4.31577E-06,0.00029482
3.8,-5,7.27831687,7.280127387,0.001810517,3.27797E-06,0.000248693
4.2,-5,7.534443176,7.529931087,0.004512089,2.0359E-05,0.000599221
4.6,-5,7.805541464,7.794115101,0.011426364,0.000130562,0.001466025
5,-5,8.071067811,8.071067812,7.36575E-10,5.42543E-19,9.12612E-11
-5,-4.6,7.67197336,7.794115101,0.122141741,0.014918605,0.015671021
-4.6,-4.6,7.447694885,7.505382387,0.057687502,0.003327848,0.007686151
-4.2,-4.6,7.208414141,7.228964601,0.02055046,0.000422321,0.002842794
-3.8,-4.6,6.959507974,6.966573556,0.007065582,4.99225E-05,0.001014212
-3.4,-4.6,6.724352343,6.720139858,0.004212485,1.7745E-05,0.000626845
-3,-4.6,6.503548252,6.491812087,0.011736164,0.000137738,0.001807841
-2.6,-4.6,6.295301955,6.283937925,0.011364029,0.000129141,0.001808425
-2.2,-4.6,6.108081863,6.099019514,0.00906235,8.21262E-05,0.00148587
-1.8,-4.6,5.947764556,5.939635614,0.008128942,6.60797E-05,0.001368593
-1.4,-4.6,5.813711237,5.808326112,0.005385125,2.89996E-05,0.000927139
-1,-4.6,5.71296616,5.707440918,0.005525241,3.05283E-05,0.000968077
-0.6,-4.6,5.645408392,5.638965402,0.00644299,4.15121E-05,0.001142584
-0.2,-4.6,5.609491942,5.604345773,0.005146169,2.64831E-05,0.000918246
0.2,-4.6,5.609491942,5.604345773,0.005146169,2.64831E-05,0.000918246
0.6,-4.6,5.644549618,5.638965402,0.005584216,3.11835E-05,0.000990291
1,-4.6,5.712688851,5.707440918,0.005247932,2.75408E-05,0.00091949
1.4,-4.6,5.813778233,5.808326112,0.005452121,2.97256E-05,0.000938673
1.8,-4.6,5.945644439,5.939635614,0.006008825,3.6106E-05,0.001011649
2.2,-4.6,6.104851507,6.099019514,0.005831993,3.40121E-05,0.000956218
2.6,-4.6,6.290183632,6.283937925,0.006245706,3.90088E-05,0.000993916
3,-4.6,6.49942764,6.491812087,0.007615553,5.79966E-05,0.001173101
3.4,-4.6,6.726856037,6.720139858,0.006716178,4.5107E-05,0.00099941
3.8,-4.6,6.975502287,6.966573556,0.008928731,7.97222E-05,0.001281653
4.2,-4.6,7.24549737,7.228964601,0.016532769,0.000273332,0.002287018
4.6,-4.6,7.529155295,7.505382387,0.023772908,0.000565151,0.003167448
5,-4.6,7.805541463,7.794115101,0.011426362,0.000130562,0.001466024
-5,-4.2,7.456454527,7.529931087,0.07347656,0.005398805,0.009757933
-4.6,-4.2,7.208414148,7.228964601,0.020550453,0.000422321,0.002842793
-4.2,-4.2,6.942275569,6.939696962,0.002578607,6.64921E-06,0.000371573
-3.8,-4.2,6.666090882,6.663920903,0.002169978,4.70881E-06,0.000325631
-3.4,-4.2,6.408501715,6.403702434,0.00479928,2.30331E-05,0.000749454
-3,-4.2,6.166563983,6.16139516,0.005168822,2.67167E-05,0.000838905
-2.6,-4.2,5.947040961,5.939635614,0.007405347,5.48392E-05,0.001246768
-2.2,-4.2,5.746541012,5.741307836,0.005233176,2.73861E-05,0.000911495
-1.8,-4.2,5.5735856,5.569463864,0.004121737,1.69887E-05,0.00074006
-1.4,-4.2,5.431498618,5.427188724,0.004309894,1.85752E-05,0.00079413
-1,-4.2,5.320023723,5.317406629,0.002617094,6.84918E-06,0.000492175
-0.6,-4.2,5.246758162,5.242640687,0.004117475,1.69536E-05,0.000785382
-0.2,-4.2,5.207892011,5.204759208,0.003132803,9.81445E-06,0.000601911
0.2,-4.2,5.207892013,5.204759208,0.003132804,9.81446E-06,0.000601911
0.6,-4.2,5.246758162,5.242640687,0.004117475,1.69536E-05,0.000785382
1,-4.2,5.319636397,5.317406629,0.002229768,4.97187E-06,0.000419334
1.4,-4.2,5.431611183,5.427188724,0.004422459,1.95581E-05,0.000814871
1.8,-4.2,5.573018785,5.569463864,0.003554921,1.26375E-05,0.000638288
2.2,-4.2,5.744890927,5.741307836,0.003583091,1.28385E-05,0.00062409
2.6,-4.2,5.944582885,5.939635614,0.004947271,2.44755E-05,0.000832925
3,-4.2,6.164618531,6.16139516,0.003223371,1.03901E-05,0.000523156
3.4,-4.2,6.406432062,6.403702434,0.002729627,7.45087E-06,0.000426258
3.8,-4.2,6.667963857,6.663920903,0.004042953,1.63455E-05,0.000606693
4.2,-4.2,6.950780934,6.939696962,0.011083972,0.000122854,0.001597184
4.6,-4.2,7.245497373,7.228964601,0.016532772,0.000273333,0.002287018
5,-4.2,7.534443165,7.529931087,0.004512078,2.03588E-05,0.000599219
-5,-3.8,7.238118117,7.280127387,0.04200927,0.001764779,0.005770403
-4.6,-3.8,6.959507969,6.966573556,0.007065587,4.99225E-05,0.001014213
-4.2,-3.8,6.666090883,6.663920903,0.002169979,4.70881E-06,0.000325631
-3.8,-3.8,6.375555199,6.374011537,0.001543662,2.38289E-06,0.000242181
-3.4,-3.8,6.100091223,6.099019514,0.00107171,1.14856E-06,0.000175718
-3,-3.8,5.840386642,5.841487375,0.001100733,1.21161E-06,0.000188434
-2.6,-3.8,5.605456388,5.604345773,0.001110615,1.23347E-06,0.00019817
-2.2,-3.8,5.390967736,5.39089968,6.80557E-05,4.63157E-09,1.26242E-05
-1.8,-3.8,5.203888411,5.204759208,0.000870798,7.58288E-07,0.000167308
-1.4,-3.8,5.050168078,5.049691346,0.000476732,2.27274E-07,9.44082E-05
-1,-3.8,4.928293119,4.929376541,0.001083421,1.1738E-06,0.000219789
-0.6,-3.8,4.847486312,4.847076812,0.0004095,1.6769E-07,8.44839E-05
-0.2,-3.8,4.804785771,4.805259518,0.000473747,2.24436E-07,9.85893E-05
0.2,-3.8,4.804997488,4.805259518,0.00026203,6.86597E-08,5.45298E-05
0.6,-3.8,4.847486316,4.847076812,0.000409504,1.67693E-07,8.44847E-05
1,-3.8,4.928293117,4.929376541,0.001083424,1.17381E-06,0.000219789
1.4,-3.8,5.050567974,5.049691346,0.000876627,7.68475E-07,0.0001736
1.8,-3.8,5.204800593,5.204759208,4.13843E-05,1.71266E-09,7.95124E-06
2.2,-3.8,5.390678369,5.39089968,0.000221311,4.89786E-08,4.10527E-05
2.6,-3.8,5.605368594,5.604345773,0.001022821,1.04616E-06,0.000182505
3,-3.8,5.840308297,5.841487375,0.001179078,1.39023E-06,0.000201846
3.4,-3.8,6.097672158,6.099019514,0.001347356,1.81537E-06,0.000220914
3.8,-3.8,6.372347325,6.374011537,0.001664212,2.7696E-06,0.000261093
4.2,-3.8,6.66796386,6.663920903,0.004042957,1.63455E-05,0.000606693
4.6,-3.8,6.97550228,6.966573556,0.008928724,7.97221E-05,0.001281652
5,-3.8,7.278316864,7.280127387,0.001810523,3.27799E-06,0.000248694
-5,-3.4,7.028253458,7.046486583,0.018233125,0.000332447,0.002587548
-4.6,-3.4,6.724352342,6.720139858,0.004212483,1.7745E-05,0.000626845
-4.2,-3.4,6.408501709,6.403702434,0.004799274,2.3033E-05,0.000749453
-3.8,-3.4,6.100091223,6.099019514,0.001071709,1.14856E-06,0.000175718
-3.4,-3.4,5.808441566,5.808326112,0.000115454,1.33296E-08,1.98773E-05
-3,-3.4,5.533704938,5.53431362,0.000608682,3.70493E-07,0.000109983
-2.6,-3.4,5.280242421,5.280186912,5.55095E-05,3.0813E-09,1.05128E-05
-2.2,-3.4,5.048403592,5.049691346,0.001287754,1.65831E-06,0.000255016
-1.8,-3.4,4.844638573,4.847076812,0.00243824,5.94501E-06,0.000503033
-1.4,-3.4,4.675936974,4.676955262,0.001018289,1.03691E-06,0.000217725
-1,-3.4,4.542798936,4.544009029,0.001210093,1.46433E-06,0.000266305
-0.6,-3.4,4.451528584,4.4525353,0.001006717,1.01348E-06,0.0002261
-0.2,-3.4,4.404722719,4.405877273,0.001154554,1.333E-06,0.000262049
0.2,-3.4,4.404722715,4.405877273,0.001154558,1.33301E-06,0.00026205
0.6,-3.4,4.45152858,4.4525353,0.001006721,1.01349E-06,0.000226101
1,-3.4,4.542798936,4.544009029,0.001210094,1.46433E-06,0.000266305
1.4,-3.4,4.67617518,4.676955262,0.000780082,6.08528E-07,0.000166793
1.8,-3.4,4.846698915,4.847076812,0.000377897,1.42806E-07,7.7964E-05
2.2,-3.4,5.049080946,5.049691346,0.0006104,3.72588E-07,0.000120879
