Long,Lat,Value,true-Value,abs-Resiual,SQ-Residual,R_error
-5,-5,8.071067812,8.071067812,2.4869E-14,6.18467E-28,3.08125E-15
-4.6,-5,7.806144754,7.794115101,0.012029654,0.000144713,0.001543428
-4.2,-5,7.534582708,7.529931087,0.004651621,2.16376E-05,0.000617751
-3.8,-5,7.278032074,7.280127387,0.002095313,4.39034E-06,0.000287813
-3.4,-5,7.044370499,7.046486583,0.002116084,4.47781E-06,0.000300303
-3,-5,6.830951895,6.830951895,8.88178E-16,7.88861E-31,1.30023E-16
-2.6,-5,6.635569646,6.635601121,3.14752E-05,9.90691E-10,4.74339E-06
-2.2,-5,6.462684251,6.462600113,8.41373E-05,7.07909E-09,1.30191E-05
-1.8,-5,6.314293385,6.314132102,0.000161283,2.60122E-08,2.55432E-05
-1.4,-5,6.192579774,6.192301994,0.00027778,7.71618E-08,4.48589E-05
-1,-5,6.099019514,6.099019514,4.34316E-10,1.8863E-19,7.12107E-11
-0.6,-5,6.035807719,6.035871325,6.36057E-05,4.04569E-09,1.0538E-05
-0.2,-5,6.003871228,6.003998401,0.000127173,1.61731E-08,2.11815E-05
0.2,-5,6.003871228,6.003998401,0.000127173,1.6173E-08,2.11814E-05
0.6,-5,6.03571399,6.035871325,0.000157335,2.47543E-08,2.60666E-05
1,-5,6.099019512,6.099019514,1.70448E-09,2.90527E-18,2.79469E-10
1.4,-5,6.192062688,6.192301994,0.000239307,5.72676E-08,3.86458E-05
1.8,-5,6.313978235,6.314132102,0.000153868,2.36753E-08,2.43688E-05
2.2,-5,6.462445862,6.462600113,0.000154251,2.37934E-08,2.38683E-05
2.6,-5,6.635151523,6.635601121,0.000449599,2.02139E-07,6.77555E-05
3,-5,6.830951893,6.830951895,1.7434E-09,3.03945E-18,2.55221E-10
3.4,-5,7.044409138,7.046486583,0.002077445,4.31578E-06,0.00029482
3.8,-5,7.278316868,7.280127387,0.001810519,3.27798E-06,0.000248693
4.2,-5,7.534443173,7.529931087,0.004512086,2.03589E-05,0.00059922
4.6,-5,7.805541459,7.794115101,0.011426359,0.000130562,0.001466024
5,-5,8.071067811,8.071067812,7.60176E-10,5.77867E-19,9.41853E-11
-5,-4.6,7.806139969,7.794115101,0.012024869,0.000144597,0.001542814
-4.6,-4.6,7.532466451,7.505382387,0.027084064,0.000733547,0.003608619
-4.2,-4.6,7.247081052,7.228964601,0.018116451,0.000328206,0.002506092
-3.8,-4.6,6.976342346,6.966573556,0.00976879,9.54293E-05,0.001402237
-3.4,-4.6,6.728774719,6.720139858,0.008634861,7.45608E-05,0.001284923
-3,-4.6,6.502335469,6.491812087,0.010523382,0.000110742,0.001621024
-2.6,-4.6,6.29359138,6.283937925,0.009653455,9.31892E-05,0.001536211
-2.2,-4.6,6.10744719,6.099019514,0.008427676,7.10257E-05,0.001381808
-1.8,-4.6,5.947719007,5.939635614,0.008083392,6.53412E-05,0.001360924
-1.4,-4.6,5.815196639,5.808326112,0.006870527,4.72041E-05,0.001182876
-1,-4.6,5.712164027,5.707440918,0.004723108,2.23078E-05,0.000827535
-0.6,-4.6,5.644280495,5.638965402,0.005315093,2.82502E-05,0.000942565
-0.2,-4.6,5.609491944,5.604345773,0.005146171,2.64831E-05,0.000918246
0.2,-4.6,5.609491942,5.604345773,0.005146168,2.6483E-05,0.000918246
0.6,-4.6,5.644549618,5.638965402,0.005584216,3.11835E-05,0.000990291
1,-4.6,5.712688851,5.707440918,0.005247933,2.75408E-05,0.00091949
1.4,-4.6,5.813778233,5.808326112,0.005452121,2.97256E-05,0.000938673
1.8,-4.6,5.945644439,5.939635614,0.006008824,3.6106E-05,0.001011649
2.2,-4.6,6.104851507,6.099019514,0.005831994,3.40121E-05,0.000956218
2.6,-4.6,6.290183631,6.283937925,0.006245706,3.90088E-05,0.000993916
3,-4.6,6.499427638,6.491812087,0.00761555,5.79966E-05,0.001173101
3.4,-4.6,6.726856035,6.720139858,0.006716176,4.5107E-05,0.00099941
3.8,-4.6,6.975502289,6.966573556,0.008928733,7.97223E-05,0.001281653
4.2,-4.6,7.245497372,7.228964601,0.016532771,0.000273333,0.002287018
4.6,-4.6,7.529155296,7.505382387,0.023772909,0.000565151,0.003167448
5,-4.6,7.805541453,7.794115101,0.011426352,0.000130562,0.001466023
-5,-4.2,7.534579932,7.529931087,0.004648845,2.16118E-05,0.000617382
-4.6,-4.2,7.247101055,7.228964601,0.018136454,0.000328931,0.002508859
-4.2,-4.2,6.946714742,6.939696962,0.00701778,4.92492E-05,0.001011252
-3.8,-4.2,6.667636607,6.663920903,0.003715703,1.38064E-05,0.000557585
-3.4,-4.2,6.409559053,6.403702434,0.005856618,3.43E-05,0.000914568
-3,-4.2,6.165841871,6.16139516,0.004446711,1.97732E-05,0.000721705
-2.6,-4.2,5.944077621,5.939635614,0.004442007,1.97314E-05,0.000747858
-2.2,-4.2,5.745562017,5.741307836,0.004254181,1.80981E-05,0.000740978
-1.8,-4.2,5.572403191,5.569463864,0.002939327,8.63964E-06,0.000527758
-1.4,-4.2,5.430957658,5.427188724,0.003768934,1.42049E-05,0.000694454
-1,-4.2,5.320438485,5.317406629,0.003031856,9.19215E-06,0.000570176
-0.6,-4.2,5.246758164,5.242640687,0.004117477,1.69536E-05,0.000785382
-0.2,-4.2,5.207892007,5.204759208,0.003132799,9.81443E-06,0.00060191
0.2,-4.2,5.207892014,5.204759208,0.003132806,9.81447E-06,0.000601912
0.6,-4.2,5.24675816,5.242640687,0.004117473,1.69536E-05,0.000785382
1,-4.2,5.319636398,5.317406629,0.002229769,4.97187E-06,0.000419334
1.4,-4.2,5.431611183,5.427188724,0.004422458,1.95581E-05,0.000814871
1.8,-4.2,5.573018785,5.569463864,0.003554922,1.26375E-05,0.000638288
2.2,-4.2,5.744890927,5.741307836,0.00358309,1.28385E-05,0.00062409
2.6,-4.2,5.944582886,5.939635614,0.004947272,2.44755E-05,0.000832925
3,-4.2,6.164618536,6.16139516,0.003223376,1.03902E-05,0.000523157
3.4,-4.2,6.406432064,6.403702434,0.002729629,7.45088E-06,0.000426258
3.8,-4.2,6.667963856,6.663920903,0.004042953,1.63455E-05,0.000606693
4.2,-4.2,6.950780935,6.939696962,0.011083973,0.000122854,0.001597184
4.6,-4.2,7.245497372,7.228964601,0.016532771,0.000273333,0.002287018
5,-4.2,7.534443176,7.529931087,0.004512089,2.03589E-05,0.00059922
-5,-3.8,7.27804145,7.280127387,0.002085937,4.35113E-06,0.000286525
-4.6,-3.8,6.976403447,6.966573556,0.009829891,9.66268E-05,0.001411008
-4.2,-3.8,6.667751863,6.663920903,0.003830959,1.46763E-05,0.000574881
-3.8,-3.8,6.37318917,6.374011537,0.000822367,6.76287E-07,0.000129019
-3.4,-3.8,6.097219986,6.099019514,0.001799527,3.2383E-06,0.000295052
-3,-3.8,5.83892703,5.841487375,0.002560345,6.55537E-06,0.000438304
-2.6,-3.8,5.601119715,5.604345773,0.003226058,1.04075E-05,0.000575635
-2.2,-3.8,5.387907606,5.39089968,0.002992074,8.95251E-06,0.000555023
-1.8,-3.8,5.202844901,5.204759208,0.001914308,3.66457E-06,0.000367799
-1.4,-3.8,5.050108565,5.049691346,0.000417219,1.74072E-07,8.26227E-05
-1,-3.8,4.928293119,4.929376541,0.001083422,1.1738E-06,0.000219789
-0.6,-3.8,4.847486312,4.847076812,0.0004095,1.6769E-07,8.44838E-05
-0.2,-3.8,4.804785773,4.805259518,0.000473745,2.24435E-07,9.85889E-05
0.2,-3.8,4.804997487,4.805259518,0.000262031,6.86604E-08,5.45301E-05
0.6,-3.8,4.847486315,4.847076812,0.000409502,1.67692E-07,8.44844E-05
1,-3.8,4.928293121,4.929376541,0.00108342,1.1738E-06,0.000219789
1.4,-3.8,5.050567975,5.049691346,0.000876629,7.68478E-07,0.000173601
1.8,-3.8,5.204800593,5.204759208,4.13851E-05,1.71272E-09,7.95139E-06
2.2,-3.8,5.390678369,5.39089968,0.000221311,4.89786E-08,4.10527E-05
2.6,-3.8,5.605368595,5.604345773,0.001022822,1.04616E-06,0.000182505
3,-3.8,5.840308293,5.841487375,0.001179081,1.39023E-06,0.000201846
3.4,-3.8,6.097672154,6.099019514,0.001347359,1.81538E-06,0.000220914
3.8,-3.8,6.372347325,6.374011537,0.001664212,2.7696E-06,0.000261093
4.2,-3.8,6.66796386,6.663920903,0.004042957,1.63455E-05,0.000606693
4.6,-3.8,6.975502282,6.966573556,0.008928726,7.97221E-05,0.001281652
5,-3.8,7.278316866,7.280127387,0.001810521,3.27799E-06,0.000248694
-5,-3.4,7.044383498,7.046486583,0.002103085,4.42297E-06,0.000298459
-4.6,-3.4,6.728820295,6.720139858,0.008680436,7.535E-05,0.001291705
-4.2,-3.4,6.409620196,6.403702434,0.005917762,3.50199E-05,0.000924116
-3.8,-3.4,6.097238662,6.099019514,0.001780852,3.17143E-06,0.00029199
-3.4,-3.4,5.806367803,5.808326112,0.001958309,3.83497E-06,0.000337155
-3,-3.4,5.533081013,5.53431362,0.001232606,1.51932E-06,0.000222721
-2.6,-3.4,5.276324671,5.280186912,0.003862241,1.49169E-05,0.000731459
-2.2,-3.4,5.048632954,5.049691346,0.001058392,1.12019E-06,0.000209595
-1.8,-3.4,4.844575105,4.847076812,0.002501707,6.25854E-06,0.000516127
-1.4,-3.4,4.676055558,4.676955262,0.000899704,8.09467E-07,0.00019237
-1,-3.4,4.542798936,4.544009029,0.001210093,1.46433E-06,0.000266305
-0.6,-3.4,4.451528589,4.4525353,0.001006711,1.01347E-06,0.000226098
-0.2,-3.4,4.404722719,4.405877273,0.001154554,1.333E-06,0.000262049
0.2,-3.4,4.404722715,4.405877273,0.001154558,1.333E-06,0.00026205
0.6,-3.4,4.451528581,4.4525353,0.001006719,1.01348E-06,0.0002261
1,-3.4,4.542798935,4.544009029,0.001210094,1.46433E-06,0.000266305
1.4,-3.4,4.676175178,4.676955262,0.000780084,6.08532E-07,0.000166793
1.8,-3.4,4.846698912,4.847076812,0.0003779,1.42808E-07,7.79645E-05
2.2,-3.4,5.049080944,5.049691346,0.000610403,3.72591E-07,0.000120879
2.6,-3.4,5.279708967,5.280186912,0.000477945,2.28432E-07,9.05167E-05
3,-3.4,5.533337642,5.53431362,0.000975978,9.52533E-07,0.00017635
3.4,-3.4,5.806889037,5.808326112,0.001437075,2.06518E-06,0.000247416
3.8,-3.4,6.097672149,6.099019514,0.001347365,1.81539E-06,0.000220915
4.2,-3.4,6.406432063,6.403702434,0.002729629,7.45087E-06,0.000426258
4.6,-3.4,6.726856037,6.720139858,0.006716179,4.51071E-05,0.000999411
5,-3.4,7.044409139,7.046486583,0.002077444,4.31577E-06,0.00029482
-5,-3,6.830951895,6.830951895,8.88178E-16,7.88861E-31,1.30023E-16
-4.6,-3,6.502350234,6.491812087,0.010538147,0.000111053,0.001623298
-4.2,-3,6.165274705,6.16139516,0.003879545,1.50509E-05,0.000629654
-3.8,-3,5.838923726,5.841487375,0.002563649,6.5723E-06,0.000438869
-3.4,-3,5.533077192,5.53431362,0.001236428,1.52875E-06,0.000223411
-3,-3,5.242640687,5.242640687,1.5099E-14,2.27981E-28,2.88004E-15
-2.6,-3,4.966367377,4.969886648,0.003519271,1.23853E-05,0.000708119
-2.2,-3,4.717588852,4.720215048,0.002626195,6.8969E-06,0.000556372
-1.8,-3,4.497016503,4.498571137,0.001554634,2.41689E-06,0.000345584
-1.4,-3,4.310988389,4.310589071,0.000399317,1.59454E-07,9.26364E-05
-1,-3,4.16227766,4.16227766,1.4522E-10,2.10888E-20,3.48895E-11
-0.6,-3,4.060159868,4.059411708,0.00074816,5.59743E-07,0.000184303
-0.2,-3,4.007232939,4.006659276,0.000573664,3.2909E-07,0.000143178
0.2,-3,4.007320822,4.006659276,0.000661547,4.37644E-07,0.000165112
0.6,-3,4.059940644,4.059411708,0.000528936,2.79773E-07,0.000130299
1,-3,4.16227766,4.16227766,1.2072E-10,1.45734E-20,2.90034E-11
1.4,-3,4.311125296,4.310589071,0.000536224,2.87537E-07,0.000124397
