Long,Lat,Value,true-Value,abs-Resiual,SQ-Residual,R_error
-5,-5,8.071067812,8.071067812,2.16751E-11,4.6981E-22,2.68553E-12
-4.6,-5,7.805253185,7.794115101,0.011138085,0.000124057,0.001429038
-4.2,-5,7.53174526,7.529931087,0.001814173,3.29122E-06,0.000240928
-3.8,-5,7.292286699,7.280127387,0.012159312,0.000147849,0.001670206
-3.4,-5,7.053145119,7.046486583,0.006658536,4.43361E-05,0.000944944
-3,-5,6.830951893,6.830951895,1.9288E-09,3.72027E-18,2.82362E-10
-2.6,-5,6.623655411,6.635601121,0.01194571,0.0001427,0.001800245
-2.2,-5,6.460324016,6.462600113,0.002276098,5.18062E-06,0.000352195
-1.8,-5,6.313157554,6.314132102,0.000974548,9.49743E-07,0.000154344
-1.4,-5,6.192593757,6.192301994,0.000291763,8.51256E-08,4.7117E-05
-1,-5,6.099019515,6.099019514,9.42816E-10,8.88901E-19,1.54585E-10
-0.6,-5,6.035813212,6.035871325,5.8113E-05,3.37712E-09,9.62794E-06
-0.2,-5,6.003871228,6.003998401,0.000127173,1.6173E-08,2.11814E-05
0.2,-5,6.003871228,6.003998401,0.000127173,1.61729E-08,2.11814E-05
0.6,-5,6.035713992,6.035871325,0.000157333,2.47536E-08,2.60663E-05
1,-5,6.099019513,6.099019514,8.02284E-10,6.4366E-19,1.31543E-10
1.4,-5,6.192062692,6.192301994,0.000239303,5.72658E-08,3.86452E-05
1.8,-5,6.313978234,6.314132102,0.000153868,2.36753E-08,2.43688E-05
2.2,-5,6.462445863,6.462600113,0.000154251,2.37934E-08,2.38682E-05
2.6,-5,6.635151523,6.635601121,0.000449599,2.02139E-07,6.77555E-05
3,-5,6.830951891,6.830951895,4.0824E-09,1.6666E-17,5.97633E-10
3.4,-5,7.044409138,7.046486583,0.002077446,4.31578E-06,0.00029482
3.8,-5,7.278316869,7.280127387,0.001810518,3.27798E-06,0.000248693
4.2,-5,7.534443175,7.529931087,0.004512088,2.03589E-05,0.00059922
4.6,-5,7.805541463,7.794115101,0.011426362,0.000130562,0.001466024
5,-5,8.071067816,8.071067812,3.71023E-09,1.37658E-17,4.59694E-10
-5,-4.6,7.805249982,7.794115101,0.011134882,0.000123986,0.001428627
-4.6,-4.6,7.534041403,7.505382387,0.028659016,0.000821339,0.003818462
-4.2,-4.6,7.165847567,7.228964601,0.063117034,0.00398376,0.008731131
-3.8,-4.6,7.061272031,6.966573556,0.094698475,0.008967801,0.013593264
-3.4,-4.6,6.738305066,6.720139858,0.018165208,0.000329975,0.0027031
-3,-4.6,6.500874189,6.491812087,0.009062102,8.21217E-05,0.001395928
-2.6,-4.6,6.285395335,6.283937925,0.001457409,2.12404E-06,0.000231926
