ÐòºÅ,self_density
1,0.025543764
2,0.025651712
3,0.02584372
4,0.025867701
5,0.026158571
6,0.026217077
7,0.026360401
8,0.026407115
9,0.026420153
10,0.026564
11,0.026634945
12,0.026644561
13,0.026789172
14,0.026878963
15,0.027129689
16,0.027172374
17,0.027346703
18,0.027384658
19,0.027513176
20,0.027605089
21,0.027683331
22,0.02776849
23,0.027811091
24,0.027858182
25,0.027874433
26,0.027897222
27,0.028029174
28,0.028284052
29,0.028342589
30,0.028395953
31,0.028408844
32,0.028515985
33,0.02874982
34,0.029044879
35,0.02905729
36,0.029137117
37,0.029140318
38,0.029141915
39,0.029221104
40,0.029353049
41,0.029638932
42,0.029643445
43,0.029810267
44,0.029814863
45,0.029969715
46,0.030386502
47,0.030410768
48,0.03050312
49,0.030505074
50,0.030651392
51,0.030701621
52,0.030750277
53,0.030802464
54,0.030839885
55,0.030844006
56,0.030864056
57,0.030918694
58,0.030938844
59,0.03105989
60,0.031082788
61,0.03113432
62,0.031155437
63,0.031159742
64,0.031193896
65,0.031248929
66,0.031265653
67,0.031275299
68,0.031311577
69,0.031319331
70,0.031358029
71,0.031359829
72,0.031524302
73,0.031558624
74,0.031639627
75,0.031686151
76,0.031763231
77,0.03177558
78,0.031780053
79,0.031786726
80,0.031878256
81,0.031889557
82,0.031900274
83,0.031903326
84,0.031906971
85,0.03193028
86,0.031956003
87,0.031978229
88,0.032043026
89,0.03206049
90,0.032063305
91,0.032068987
92,0.032069246
93,0.032110254
94,0.03215151
95,0.032164996
96,0.03228647
97,0.032308163
98,0.0323158
99,0.032341598
100,0.032343498
101,0.032370376
102,0.0324192
103,0.032519722
104,0.032545976
105,0.032548437
106,0.032549924
107,0.032615859
108,0.032732992
109,0.032776135
110,0.032788499
111,0.03280694
112,0.032854933
113,0.032859789
114,0.032901836
115,0.032904109
116,0.033273144
117,0.033355465
118,0.033377164
119,0.033386477
120,0.033403222
121,0.03346472
122,0.033521154
123,0.03358581
124,0.033685788
125,0.033700084
126,0.033718252
127,0.033726702
128,0.03379721
129,0.033842108
130,0.033973304
131,0.034148469
132,0.034193198
133,0.034194393
134,0.034218774
135,0.034383006
136,0.034539234
137,0.034576885
138,0.03460919
139,0.034617403
140,0.034776627
141,0.034794211
142,0.034851551
143,0.034897479
144,0.034909227
145,0.034981264
146,0.034997231
147,0.03499885
148,0.035089278
149,0.035123175
150,0.035152593
151,0.035239089
152,0.035294465
153,0.035307933
154,0.035321247
155,0.035348298
156,0.0353735
157,0.035376808
158,0.035380277
159,0.035385661
160,0.035407667
161,0.035445625
162,0.035492082
163,0.035590575
164,0.035681906
165,0.035682626
166,0.035696626
167,0.035698177
168,0.03571091
169,0.035759983
170,0.035770672
171,0.035849138
172,0.035870134
173,0.035887831
174,0.035905844
175,0.035908835
176,0.035945888
177,0.035955327
178,0.035968605
179,0.035990024
180,0.036005121
181,0.036029691
182,0.03604037
183,0.03606993
184,0.036097791
185,0.036136077
186,0.036195913
187,0.036229868
188,0.036243769
189,0.036257189
190,0.036278053
191,0.036309684
192,0.036311489
193,0.036316062
194,0.036326705
195,0.036355078
196,0.036377575
197,0.036431652
198,0.036462816
199,0.036524784
200,0.03658108
201,0.036591094
202,0.036614317
203,0.036664531
204,0.036670844
205,0.036685549
206,0.036719482
207,0.036730976
208,0.036738883
209,0.036749103
210,0.036754942
211,0.036767514
212,0.036832827
213,0.036861353
214,0.036902821
215,0.036916519
216,0.036937588
217,0.036959483
218,0.036964997
219,0.036980799
220,0.037042774
221,0.037046311
222,0.037101856
223,0.037157132
224,0.037163417
225,0.037190947
226,0.037246343
227,0.037248384
228,0.037251923
229,0.037286221
230,0.037294005
231,0.037303358
232,0.037341307
233,0.037349158
234,0.03734929
235,0.037358651
236,0.03737732
237,0.037419414
238,0.03743314
239,0.03749431
240,0.037497239
241,0.037571694
242,0.037573062
243,0.037637043
244,0.037663077
245,0.037670418
246,0.03768118
247,0.037706618
248,0.03773136
249,0.037765293
250,0.037890617
251,0.037892204
252,0.037919004
253,0.037932496
254,0.037998431
255,0.038041245
256,0.038098926
257,0.038114349
258,0.038124096
259,0.038129462
260,0.038199765
261,0.038231308
262,0.038237781
263,0.038242301
264,0.038306357
265,0.03838194
266,0.038473573
267,0.038479378
268,0.038519648
269,0.038536588
270,0.03854659
271,0.038558378
272,0.038629774
273,0.038650563
274,0.038657629
