ÐòºÅ,self_density,log10_self_sp
1,0.025543869,-1.59271333
2,0.025651467,-1.590887794
3,0.02586143,-1.587347469
4,0.025864291,-1.587299426
5,0.026156987,-1.582412286
6,0.026215081,-1.581448796
7,0.026357058,-1.579103068
8,0.026403511,-1.578338315
9,0.026438765,-1.577758836
10,0.026560164,-1.575769241
11,0.026621874,-1.57476137
12,0.026631403,-1.574605948
13,0.026807763,-1.571739424
14,0.026874984,-1.570651784
15,0.027125526,-1.566621833
16,0.027170158,-1.565907843
17,0.027347928,-1.563075579
18,0.027370964,-1.5627099
19,0.027511901,-1.560479401
20,0.027592314,-1.559211879
21,0.027681288,-1.557813711
22,0.027769357,-1.556434171
23,0.027797435,-1.555995274
24,0.027857753,-1.555053919
25,0.027883755,-1.554648735
26,0.027894454,-1.554482131
27,0.028014947,-1.552610198
28,0.028270707,-1.548663325
29,0.028328659,-1.547773986
30,0.028381814,-1.546959847
31,0.028411587,-1.546504502
32,0.028537085,-1.544590397
33,0.028753071,-1.54131577
34,0.029040773,-1.536991831
35,0.029055835,-1.536766641
36,0.029138599,-1.53553133
37,0.029140909,-1.535496898
38,0.029162472,-1.535175671
39,0.029243537,-1.533970101
40,0.029350277,-1.53238779
41,0.029638903,-1.528137871
42,0.029659142,-1.527841421
43,0.0298116,-1.52561472
44,0.029811975,-1.525609258
45,0.029991008,-1.523008943
46,0.03040745,-1.517019995
47,0.030409599,-1.5169893
48,0.03052481,-1.515347027
49,0.03052811,-1.515300082
50,0.030634788,-1.513785124
51,0.030702583,-1.512825081
52,0.030735245,-1.512363316
53,0.030785715,-1.51165076
54,0.030835776,-1.510945111
55,0.030841051,-1.510870826
56,0.030850896,-1.510732221
57,0.030937126,-1.509520033
58,0.030943396,-1.509432022
59,0.031058669,-1.507817155
60,0.031084352,-1.507458178
61,0.031136459,-1.506730782
62,0.031143755,-1.50662903
63,0.031150181,-1.506539419
64,0.031214004,-1.505650524
65,0.031248368,-1.505172654
66,0.031252523,-1.50511492
67,0.031271594,-1.504849988
68,0.031302938,-1.504414896
69,0.031329311,-1.50404916
70,0.031360846,-1.503612233
71,0.031383024,-1.503305214
72,0.031547889,-1.501029691
73,0.031566573,-1.50077257
74,0.031665772,-1.499409915
75,0.031673263,-1.499307199
76,0.031754966,-1.49818835
77,0.031782623,-1.497810269
78,0.031784651,-1.497782547
79,0.03180066,-1.497563867
80,0.031875774,-1.496539266
81,0.031881607,-1.496459791
82,0.03188395,-1.496427874
83,0.031886733,-1.496389979
84,0.031927615,-1.495833521
85,0.031930621,-1.495792638
86,0.031939808,-1.495667698
87,0.031965547,-1.495317855
88,0.032051376,-1.494153318
89,0.032052006,-1.494144785
90,0.0320671,-1.493940313
91,0.032081536,-1.493744845
92,0.032093987,-1.493576321
93,0.032104468,-1.493434516
94,0.032142654,-1.492918267
95,0.03215636,-1.492733117
96,0.032272762,-1.49116387
97,0.032323863,-1.490476745
98,0.032325399,-1.490456108
99,0.032327043,-1.490434013
100,0.03233422,-1.490337615
101,0.032380236,-1.489719992
102,0.032445321,-1.488847926
103,0.032533016,-1.487675673
104,0.032533766,-1.487665666
105,0.032536556,-1.487628422
106,0.03256731,-1.487218111
107,0.032599605,-1.486787663
108,0.032715991,-1.485239914
109,0.032759253,-1.484666016
110,0.032772151,-1.484495049
111,0.032814655,-1.483932159
112,0.032859295,-1.483341763
113,0.032873157,-1.483158583
114,0.032896069,-1.482855992
115,0.032896492,-1.482850414
116,0.033299345,-1.477564303
117,0.033349453,-1.476911286
118,0.033360477,-1.47676775
119,0.033390454,-1.476377672
120,0.033408592,-1.476141827
121,0.033448534,-1.475622914
122,0.033504771,-1.474893344
123,0.033569644,-1.474053268
124,0.03366808,-1.472781652
125,0.033682494,-1.472595755
126,0.033739675,-1.471859101
127,0.033750919,-1.471714396
128,0.033783853,-1.471290818
129,0.033826123,-1.470747775
130,0.033975843,-1.468829761
131,0.034130752,-1.46685414
132,0.034176766,-1.466269032
133,0.034192112,-1.466074074
134,0.03420033,-1.4659697
135,0.034412961,-1.463277955
136,0.034537534,-1.461708672
137,0.03460067,-1.46091549
138,0.034603673,-1.460877801
139,0.034636762,-1.460462715
140,0.034758092,-1.458944073
141,0.034797909,-1.458446847
142,0.034835037,-1.457983722
143,0.034890299,-1.457295304
144,0.034906962,-1.457087948
145,0.034964515,-1.456372494
146,0.034994415,-1.456001267
147,0.035026336,-1.455605296
148,0.035098311,-1.454713787
149,0.035135568,-1.454253022
150,0.035153593,-1.454030282
151,0.035247157,-1.452875906
152,0.03529024,-1.452345385
153,0.035318597,-1.451996558
154,0.035333677,-1.451811159
155,0.035338578,-1.451750934
156,0.035354888,-1.451550538
157,0.035358655,-1.451504267
158,0.035366925,-1.451402693
159,0.03540234,-1.450968028
160,0.035405969,-1.450923513
161,0.035457717,-1.450289226
162,0.035513085,-1.449611603
163,0.035594821,-1.448613188
164,0.035664317,-1.447766091
165,0.035683464,-1.447532997
166,0.035686845,-1.447491851
167,0.035708267,-1.447231233
168,0.035723407,-1.447047126
169,0.035776553,-1.446401511
170,0.035785053,-1.446298331
171,0.035843024,-1.445595353
172,0.035867975,-1.44529314
173,0.035869555,-1.445274015
174,0.035923073,-1.444626515
175,0.035928409,-1.444562015
176,0.035928508,-1.444560813
177,0.035938655,-1.444438178
178,0.035950439,-1.444295805
179,0.035973684,-1.44401509
180,0.03601292,-1.443541669
181,0.036015215,-1.443513985
182,0.036075858,-1.442783333
183,0.036086579,-1.442654291
184,0.036109383,-1.442379938
185,0.036117807,-1.442278622
186,0.036189646,-1.441415668
187,0.036220794,-1.441042037
188,0.036223971,-1.441003945
189,0.036237606,-1.440840506
190,0.036295208,-1.440150706
191,0.036295968,-1.440141622
192,0.036298866,-1.440106942
193,0.036337902,-1.439640153
194,0.036345255,-1.439552284
195,0.036380836,-1.439127321
196,0.036398489,-1.438916649
197,0.036456672,-1.438222984
198,0.036493664,-1.437782529
199,0.036531453,-1.437333055
200,0.036572105,-1.436850043
201,0.036607861,-1.436425645
202,0.036650062,-1.435925283
203,0.036656975,-1.435843375
204,0.036666272,-1.435733239
205,0.036669839,-1.435690994
206,0.036713747,-1.435171284
207,0.036720894,-1.435086751
208,0.036734544,-1.434925344
209,0.036748558,-1.434759702
210,0.036756597,-1.434664705
211,0.036776739,-1.434426777
212,0.036813118,-1.433997392
213,0.036861058,-1.433432202
214,0.036883477,-1.433168142
215,0.036910099,-1.432854791
216,0.036918016,-1.432761648
217,0.036972899,-1.432116493
218,0.036974879,-1.43209324
219,0.036978066,-1.432055805
220,0.037039505,-1.431334825
221,0.037060063,-1.431093844
222,0.03711609,-1.430437783
223,0.037136739,-1.430196234
224,0.037165961,-1.429854639
225,0.03720688,-1.429376751
226,0.037226046,-1.429153092
227,0.037227782,-1.429132835
228,0.037270941,-1.428629644
229,0.037276085,-1.428569702
230,0.037290629,-1.428400291
231,0.037300845,-1.428281333
232,0.037335196,-1.427881561
233,0.037342705,-1.427794227
234,0.037351831,-1.427688099
235,0.037357095,-1.4276269
236,0.037391514,-1.427226945
237,0.037413053,-1.426976854
238,0.037456883,-1.42646837
239,0.03747352,-1.426275511
240,0.037477169,-1.426233225
241,0.037558492,-1.425291859
242,0.037592602,-1.424897611
243,0.03764337,-1.424311505
244,0.037667643,-1.424031554
245,0.037669099,-1.424014772
246,0.037675982,-1.423935423
247,0.037704933,-1.423601829
248,0.037710583,-1.423536748
249,0.037750091,-1.423081995
250,0.03788097,-1.421578908
251,0.037917978,-1.421154824
252,0.037918287,-1.42115129
253,0.03792996,-1.421017619
254,0.037978895,-1.420457674
255,0.038058184,-1.419551937
256,0.038083918,-1.419258376
257,0.038103038,-1.419040401
258,0.038112319,-1.418934621
259,0.038116537,-1.418886565
260,0.038179637,-1.418168208
261,0.038223449,-1.417670128
262,0.038238476,-1.41749943
263,0.038274335,-1.417092344
264,0.038299757,-1.41680398
265,0.038402013,-1.415646005
266,0.038482181,-1.414740318
